| Government | Albania |
| --- | --- |
| Country name: | conventional long form: Republic of Albania |
| Country name: | conventional short form: Albania |
| Country name: | local long form: Republika e Shqiperise |
| Country name: | local short form: Shqiperia |
| Country name: | former: People's Socialist Republic of Albania |
| Government type: | emerging democracy |
| Capital: | name: Tirana (Tirane) |
| Capital: | geographic coordinates: 41 19 N, 19 49 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 12 counties (qarqe, singular - qark); Berat, Diber, Durres, Elbasan, Fier, Gjirokaster, Korce, Kukes, Lezhe, Shkoder, Tirane, Vlore |
| Independence: | 28 November 1912 (from the Ottoman Empire) |
| National holiday: | Independence Day, 28 November (1912) |
| Constitution: | adopted by popular referendum on 22 November 1998; promulgated 28 November 1998 |
| Legal system: | has a civil law system; has not accepted compulsory ICJ jurisdiction; has accepted jurisdiction of the International Criminal Court for its citizens |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Republic Bamir TOPI (since 24 July 2007) |
| Executive branch: | head of government: Prime Minister Sali BERISHA (since 10 September 2005) |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, nominated by the president, and approved by parliament |
| Executive branch: | elections: president elected by the People's Assembly for a five-year term (eligible for a second term); four election rounds held between 8 and 20 July 2007 (next election to be held in 2012); prime minister appointed by the president |
| Executive branch: | election results: Bamir TOPI elected president; People's Assembly vote, fourth round (three-fifths majority (84 votes) required): Bamir TOPI 85 votes, Neritan CEKA 5 votes |
| Legislative branch: | unicameral Assembly or Kuvendi (140 seats; 100 members are elected by direct popular vote and 40 by proportional vote to serve four-year terms) |
| Legislative branch: | elections: last held 3 July 2005 (next to be held in 2009) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PD 56, PS 42, PR 11, PSD 7, LSI 5, other 19 |
| Judicial branch: | Constitutional Court, Supreme Court (chairman is elected by the People's Assembly for a four-year term), and multiple appeals and district courts |
| Political parties and leaders: | Agrarian Environmentalist Party or PAA [Lufter XHUVELI]; Christian Democratic Party or PDK [Nard NDOKA]; Communist Party of Albania or PKSH [Hysni MILLOSHI]; Democratic Alliance Party or AD [Neritan CEKA]; Democratic Party or PD [Sali BERISHA]; Legality Movement Party or PLL [Ekrem SPAHIU]; Liberal Union Party or BLD [Arjan STAROVA]; National Front Party (Balli Kombetar) or PBK [Adriatik ALIMADHI]; New Democratic Party or PDR [Genc POLLO]; Party of National Unity or PUK [Idajet BEQIRI]; Renewed Democratic Party or PDRN [Dashamir SHEHI]; Republican Party or PR [Fatmir MEDIU]; Social Democracy Party of Albania or PDSSh [Paskal MILO]; Social Democratic Party or PSD [Skender GJINUSHI]; Socialist Movement for Integration or LSI [Ilir META]; Socialist Party or PS [Edi RAMA]; Union for Human Rights Party or PBDNj [Vangjel DULE] |
| Political pressure groups and leaders: | Citizens Advocacy Office [Kreshnik SPAHIU]; Confederation of Trade Unions of Albania or KSSH [Kastriot MUCO]; Front for Albanian National Unification or FBKSH [Gafur ADILI]; Mjaft Movement [Erion VELIAJ]; Omonia [Jani JANI]; Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA] |
| International organization participation: | BSEC, CE, CEI, EAPC, EBRD, FAO, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, OIC, OIF, OPCW, OSCE, PFP, SECI, UN, UNCTAD, UNESCO, UNIDO, UNOMIG, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Aleksander SALLABANDA |
| Diplomatic representation in the US: | chancery: 2100 S Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 223-4942 |
| Diplomatic representation in the US: | FAX: [1] (202) 628-7342 |
| Diplomatic representation from the US: | chief of mission: Ambassador Dr. John L. WITHERS, II |
| Diplomatic representation from the US: | embassy: Rruga e Elbasanit, Labinoti #103, Tirana |
| Diplomatic representation from the US: | mailing address: US Department of State, 9510 Tirana Place, Dulles, VA 20189-9510 |
| Diplomatic representation from the US: | telephone: [355] (4) 247285 |
| Diplomatic representation from the US: | FAX: [355] (4) 232222 |
| Flag description: | red with a black two-headed eagle in the center |
