| Government | ALBANIA |
| --- | --- |
| Country name: | conventional long form: Republic of Albania |
| Country name: | conventional short form: Albania |
| Country name: | local long form: Republika e Shqiperise |
| Country name: | local short form: Shqiperia |
| Country name: | former: People's Socialist Republic of Albania |
| Country name: | note: the English-language country name seems to be derived from the ancient Illyrian tribe of the Albani; the native name "Shqiperia" is popularly interpreted to mean "Land of the Eagles" |
| Government type: | parliamentary democracy |
| Capital: | name: Tirana (Tirane) |
| Capital: | geographic coordinates: 41 19 N, 19 49 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 12 counties (qarqe, singular - qark); Berat, Diber, Durres, Elbasan, Fier, Gjirokaster, Korce, Kukes, Lezhe, Shkoder, Tirane, Vlore |
| Independence: | 28 November 1912 (from the Ottoman Empire) |
| National holiday: | Independence Day, 28 November (1912) also known as Flag Day |
| Constitution: | several previous; latest approved by parliament 21 October 1998, adopted by popular referendum 22 November 1998, promulgated 28 November 1998; amended 2007, 2008, 2012 (2014) |
| Legal system: | civil law system except in the northern rural areas where customary law known as the "Code of Leke" prevails |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | birthright citizenship: no |
| dual citizenship recognized: | residency requirement for naturalization: |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President of the Republic Bujar NISHANI (since 24 July 2012) |
| Executive branch: | head of government: Prime Minister Edi RAMA (since 10 September 2013); Deputy Prime Minister Niko PELESHI |
| Executive branch: | cabinet: Council of Ministers proposed by the prime minister, nominated by the president, and approved by the Assembly |
| Executive branch: | elections/appointments: president indirectly elected by the Assembly for a 5-year term (eligible for a second term); a candidate needs three-fifths majority vote of the Assembly in one of three rounds or a simple majority in 2 additional rounds to become president;  election last held in 4 rounds 30 May-11 June 2012 (next election to be held in 2017); prime minister appointed by the president on the proposal of the majority party or coalition of parties in the Assembly |
| Executive branch: | election results: Bujar NISHANI elected president; Assembly vote - 73 on fourth round |
| Legislative branch: | description: unicameral Assembly or Kuvendi (140 seats; members directly elected in multi-seat constituencies by proportional representation vote to serve 4-year terms); note - in late 2008, Albania replaced its mixed member electoral system with a proportional representation system |
| Legislative branch: | note: seats by parliamentary group as of April 2015 - ASHE 88, APMI 50, 2 - outside of the majority and opposition groups |
| Legislative branch: | elections: last held on 23 June 2013 (next to be held in 2017) |
| Legislative branch: | election results: percent of vote by party - PS 41.36%, PD 30.63%, LSI 10.46%, PR 3.02%, PDIU 2.61%, other 11.92%; seats by party- PS 65, PD 50, LSI 16, PDIU 4, PR 3, other 2 |
| Judicial branch: | highest court(s): Constitutional Court (consists of 9 judges, including a chairman); Court of Cassation (consists of 14 judges, including the chief justice) |
| Judicial branch: | judge selection and term of office: Constitutional Court judges appointed by the president with the consent of the Assembly to serve single 9-year terms; chairman elected by the People's Assembly for single 3-year term; Court of Cassation judges, including the chairman, appointed by the president with the consent of the Assembly to serve single, 9-year terms) |
| Judicial branch: | subordinate courts: Courts of Appeal; Courts of First Instance |
| Political parties and leaders: | Alliance for Employment, Welfare, and Integration or APMI (coalition of 24 centrist and center-right parties) [Sali BERISHA]: |
| Political parties and leaders: | Christian Democratic Party or PDK [Nard NDOKA] |
| Political parties and leaders: | Democratic Party or PD [Lulzim BASHA] |
| Political parties and leaders: | Movement for National Development of LZHK [Dashamir SHEHI] |
| Political parties and leaders: | Republican Party or PR [Fatmir MEDIU] |
| Alliance for a European Albania or ASHE (coalition of 38 parties from far left to right wing) [Edi RAMA]: | Christian Democratic Party of PKD [Mark FRROKU] |
| Alliance for a European Albania or ASHE (coalition of 38 parties from far left to right wing) [Edi RAMA]: | Party for Justice, Integration and Unity or PDIU [Shpetim IDRIZI] |
| Alliance for a European Albania or ASHE (coalition of 38 parties from far left to right wing) [Edi RAMA]: | Socialist Movement for Integration or LSI [Ilir META] |
| Alliance for a European Albania or ASHE (coalition of 38 parties from far left to right wing) [Edi RAMA]: | Socialist Party or PS [Edi RAMA] |
| Alliance for a European Albania or ASHE (coalition of 38 parties from far left to right wing) [Edi RAMA]: | Union for Human Rights Party or PBDNJ [Vangjel DULE] |
| other parties: | New Democratic Spirit or FRD [Bamir TOPI] |
| other parties: | note: only the major parties of each coalition are listed |
| Political pressure groups and leaders: | Confederation of Trade Unions of Albania or KSSH [Kol NIKOLLAJ] |
| Political pressure groups and leaders: | Omonia [Vasil BOLLANO] |
| Political pressure groups and leaders: | Union of Independent Trade Unions of Albania or BSPSH [Gezim KALAJA] |
