| Government | Chad |
| --- | --- |
| Country name: | conventional long form: Republic of Chad |
| Country name: | conventional short form: Chad |
| Country name: | local long form: Republique du Tchad |
| Country name: | local short form: Tchad |
| Government type: | republic |
| Capital: | N'Djamena |
| Administrative divisions: | 14 prefectures (prefectures, singular - prefecture); Batha, Biltine, Borkou-Ennedi-Tibesti, Chari-Baguirmi, Guera, Kanem, Lac, Logone Occidental, Logone Oriental, Mayo-Kebbi, Moyen-Chari, Ouaddai, Salamat, Tandjile |
| Administrative divisions: | note: instead of 14 prefectures, there may be a new administrative structure of 28 departments (departments, singular - department), and 1 city*; Assongha, Baguirmi, Bahr El Gazal, Bahr Koh, Batha Oriental, Batha Occidental, Biltine, Borkou, Dababa, Ennedi, Guera, Hadjer Lamis, Kabia, Kanem, Lac, Lac Iro, Logone Occidental, Logone Oriental, Mandoul, Mayo-Boneye, Mayo-Dallah, Monts de Lam, N'Djamena*, Ouaddai, Salamat, Sila, Tandjile Oriental, Tandjile Occidental, Tibesti |
| Independence: | 11 August 1960 (from France) |
| National holiday: | Independence Day, 11 August (1960) |
| Constitution: | passed by referendum 31 March 1996 |
| Legal system: | based on French civil law system and Chadian customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Lt. Gen. Idriss DEBY (since 4 December 1990) |
| Executive branch: | head of government: Prime Minister Pascal YOADIMNADJI (since 3 February 2005) |
| Executive branch: | cabinet: Council of State, members appointed by the president on the recommendation of the prime minister |
| Executive branch: | election results: Lt. Gen. Idriss DEBY reelected president; percent of vote - Lt. Gen. Idriss DEBY 63%, Ngarlegy YORONGAR 16%, Saleh KEBZABO 7% |
| Executive branch: | note: government coalition - MPS, UNDR, and URD |
| Executive branch: | elections: president elected by popular vote to serve five-year term; if no candidate receives at least 50% of the total vote, the two candidates receiving the most votes must stand for a second round of voting; last held 20 May 2001 (next to be held NA 2006); prime minister appointed by the president |
| Legislative branch: | bicameral according to constitution, consists of a National Assembly (155 seats; members elected by popular vote to serve four-year terms) and a Senate (not yet created and size unspecified, members to serve six-year terms, one-third of membership renewable every two years) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - MPS 110, RDP 12, FAR 9, RNDP 5, URD 5, UNDR 3, others 11 |
| Legislative branch: | elections: National Assembly - last held 21 April 2002 (next to be held in NA April 2006) |
| Judicial branch: | Supreme Court; Court of Appeal; Criminal Courts; Magistrate Courts |
| Political parties and leaders: | Federation Action for the Republic or FAR [Ngarlejy YORONGAR]; National Rally for Development and Progress or RNDP [Mamadou BISSO]; National Union for Democracy and Renewal or UNDR [Saleh KEBZABO]; Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman] (originally in opposition but now the party in power and the party of the president); Rally for Democracy and Progress or RPD [leader NA]; Union for Renewal and Democracy or URD [Gen. Wadal Abdelkader KAMOUGUE]; Viva Rally for Development and Progress or Viva RNDP [Delwa Kassire COUMAKOYE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, ACP, AfDB, AU, BDEAC, CEMAC, FAO, FZ, G-77, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, ITU, MIGA, NAM, OIC, ONUB, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WCL, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Hassaballah Abdelhadi Ahmat SOUBIANE |
| Diplomatic representation in the US: | chancery: 2002 R Street NW, Washington, DC 20009 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-1937 |
| Diplomatic representation in the US: | telephone: [1] (202) 462-4009 |
| Diplomatic representation from the US: | chief of mission: Ambassador Christopher E. GOLDTHWAIT |
| Diplomatic representation from the US: | embassy: Avenue Felix Eboue, N'Djamena |
| Diplomatic representation from the US: | mailing address: B. P. 413, N'Djamena |
| Diplomatic representation from the US: | telephone: [235] (51) 70-09 |
| Diplomatic representation from the US: | FAX: [235] (51) 56-54 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; similar to the flag of Romania; also similar to the flags of Andorra and Moldova, both of which have a national coat of arms centered in the yellow band; design was based on the flag of France |
