| Government | CHAD |
| --- | --- |
| Country name: | conventional long form: Republic of Chad |
| Country name: | conventional short form: Chad |
| Country name: | local long form: Republique du Tchad/Jumhuriyat Tshad |
| Country name: | local short form: Tchad/Tshad |
| Government type: | republic |
| Capital: | name: N'Djamena |
| Capital: | geographic coordinates: 12 06 N, 15 02 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 23 regions (regions, singular - region); Barh el Gazel, Batha, Borkou, Chari-Baguirmi, Ennedi-Est, Ennedi-Ouest, Guera, Hadjer-Lamis, Kanem, Lac, Logone Occidental, Logone Oriental, Mandoul, Mayo-Kebbi Est, Mayo-Kebbi Ouest, Moyen-Chari, Ouaddai, Salamat, Sila, Tandjile, Tibesti, Ville de N'Djamena, Wadi Fira |
| Independence: | 11 August 1960 (from France) |
| National holiday: | Independence Day, 11 August (1960) |
| Constitution: | several previous; latest passed by referendum 31 March 1996, entered into force 8 April 1996; amended 2005 (2010) |
| Legal system: | mixed legal system of civil and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Idriss DEBY Itno, Lt. Gen. (since 4 December 1990) |
| Executive branch: | head of government: Prime Minister Kalzeube Pahimi DEUBET (since 21 November 2013) |
| Executive branch: | cabinet: Council of Ministers; members appointed by the president on the recommendation of the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (no term limits); election last held on 25 April 2011 (next to be held by 2016); prime minister appointed by the president |
| Executive branch: | election results: Lt. Gen. Idriss DEBY Itno reelected president; percent of vote - Lt. Gen. Idriss DEBY (MPS) 83.6%, Albert Pahimi PADACKE (Viva-RNDP) 8.6%, Nadji MADOU 7.8% |
| Legislative branch: | description: unicameral National Assembly (188 seats; 118 directly elected in multi-seat constituencies by proportional representation vote and 70 directly elected in single-seat constituencies by absolute majority vote with a second round if needed; members serve 4-year terms) |
| Legislative branch: | elections: National Assembly - last held on 13 February 2011 (next to be held on 30 September 2015) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - ART 133, UNDR 11, other 44 |
| Judicial branch: | highest court(s): Supreme Court (consists of the chief justice and 15 judges or councilors and divided into 3 chambers); Constitutional Council (consists of 3 judges and 6 jurists) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice selected by the president; councilors - 8 designated by the president and 7 by the speaker of the National Assembly; chief justice and councilors appointed for life; Constitutional Council judges - 2 appointed by the president and 1 by the speaker of the National Assembly; jurists - 3 each by the president and by the speaker of the National Assembly; judge term NA |
| Judicial branch: | subordinate courts: High Court of Justice; Courts of Appeal; tribunals; justices of the peace |
| Political parties and leaders: | Alliance for the Renaissance of Chad or ART, an alliance among the ruling MPS, RDP, and Viva-RNDP |
| Political parties and leaders: | Federation Action for the Republic or FAR [Ngarledjy YORONGAR] |
| Political parties and leaders: | National Rally for Development and Progress or Viva-RNDP [Dr. Nouradine Delwa Kassire COUMAKOYE] |
| Political parties and leaders: | National Union for Democracy and Renewal or UNDR [Saleh KEBZABO] |
| Political parties and leaders: | Party for Liberty and Development or PLD [Jean-Baptiste LAOKOLE] |
| Political parties and leaders: | Patriotic Salvation Movement or MPS [Mahamat Saleh AHMAT, chairman] |
| Political parties and leaders: | Rally for Democracy and Progress or RDP [Lol Mahamat CHOUA] |
| Political parties and leaders: | Union for Renewal and Democracy or URD [Sande NGARYIMBE] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, BDEAC, CEMAC, EITI (compliant country), FAO, FZ, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, Interpol, IOC, IOM, IPU, ITSO, ITU, ITUC (NGOs), MIGA, MINUSMA, NAM, OIC, OIF, OPCW, UN, UN Security Council (temporary), UNCTAD, UNESCO, UNIDO, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mahamat Nasser HASSANE (since 21 May 2014) |
| Diplomatic representation in the US: | chancery: 2401 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 652-1312 |
| Diplomatic representation in the US: | FAX: [1] (202) 758-0431 |
| Diplomatic representation from the US: | chief of mission: Ambassador James KNIGHT (since 6 September 2013) |
| Diplomatic representation from the US: | embassy: Avenue Felix Eboue, N'Djamena |
| Diplomatic representation from the US: | mailing address: B. P. 413, N'Djamena |
| Diplomatic representation from the US: | telephone: [235] 2251-70-09 |
| Diplomatic representation from the US: | FAX: [235] 2251-56-54 |
| Flag description: | three equal vertical bands of blue (hoist side), yellow, and red; the flag combines the blue and red French (former colonial) colors with the red and yellow of the Pan-African colors; blue symbolizes the sky, hope, and the south of the country, which is relatively well-watered; yellow represents the sun, as well as the desert in the north of the country; red stands for progress, unity, and sacrifice |
| Flag description: | note: similar to the flag of Romania; also similar to the flags of Andorra and Moldova, both of which have a national coat of arms centered in the yellow band; design was based on the flag of France |
| National symbol(s): | goat (north), lion (south); national colors: blue, yellow, red |
| National anthem: | name: "La Tchadienne" (The Chadian) |
| National anthem: | lyrics/music: Louis GIDROL and his students/Paul VILLARD |
| National anthem: | note: adopted 1960 |
