| Government | Indonesia |
| --- | --- |
| Country name: | conventional long form: Republic of Indonesia |
| Country name: | conventional short form: Indonesia |
| Country name: | local long form: Republik Indonesia |
| Country name: | local short form: Indonesia |
| Country name: | former: Netherlands East Indies, Dutch East Indies |
| Country name: | etymology: the name is an 18th-century construct of two Greek words, "Indos" (India) and "nesoi" (islands), meaning "Indian islands" |
| Government type: | presidential republic |
| Capital: | name: Jakarta |
| Capital: | geographic coordinates: 6 10 S, 106 49 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: Indonesia has three time zones |
| Capital: | etymology: "Jakarta" derives from the Sanscrit "Jayakarta" meaning "victorious city" and refers to a successful defeat and expulsion of the Portuguese in 1527; previously the port had been named "Sunda Kelapa" |
| Administrative divisions: | 31 provinces (provinsi-provinsi, singular - provinsi), 1 autonomous province*, 1 special region** (daerah-daerah istimewa, singular - daerah istimewa), and 1 national capital district*** (daerah khusus ibukota); Aceh*, Bali, Banten, Bengkulu, Gorontalo, Jakarta Raya***, Jambi, Jawa Barat (West Java), Jawa Tengah (Central Java), Jawa Timur (East Java), Kalimantan Barat (West Kalimantan), Kalimantan Selatan (South Kalimantan), Kalimantan Tengah (Central Kalimantan), Kalimantan Timur (East Kalimantan), Kalimantan Utara (North Kalimantan), Kepulauan Bangka Belitung (Bangka Belitung Islands), Kepulauan Riau (Riau Islands), Lampung, Maluku, Maluku Utara (North Maluku), Nusa Tenggara Barat (West Nusa Tenggara), Nusa Tenggara Timur (East Nusa Tenggara), Papua, Papua Barat (West Papua), Riau, Sulawesi Barat (West Sulawesi), Sulawesi Selatan (South Sulawesi), Sulawesi Tengah (Central Sulawesi), Sulawesi Tenggara (Southeast Sulawesi), Sulawesi Utara (North Sulawesi), Sumatera Barat (West Sumatra), Sumatera Selatan (South Sumatra), Sumatera Utara (North Sumatra), Yogyakarta** |
| Administrative divisions: | note: following the implementation of decentralization beginning on 1 January 2001, regencies and municipalities have become the key administrative units responsible for providing most government services |
| Independence: | 17 August 1945 (declared independence from the Netherlands) |
| National holiday: | Independence Day, 17 August (1945) |
| Constitution: | history: drafted July to August 1945, effective 17 August 1945, abrogated by 1949 and 1950 constitutions; 1945 constitution restored 5 July 1959 (2017) |
| Constitution: | amendments: proposed by the Peopleâ€™s Consultative Assembly when at least two-thirds of its members are present; passage requires simple majority vote by the Assembly membership; constitutional articles on the unitary form of the state cannot be amended; amended several times, last in 2002 (2017) |
| Legal system: | civil law system based on the Roman-Dutch model and influenced by customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Indonesia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 continuous years |
| Suffrage: | 17 years of age; universal and married persons regardless of age |
| Judicial branch: | highest courts: Supreme Court or Mahkamah Agung (51 judges divided into 8 chambers); Constitutional Court or Mahkamah Konstitusi (consists of 9 judges) |
| Judicial branch: | judge selection and term of office: Supreme Court judges nominated by Judicial Commission, appointed by president with concurrence of parliament; judges serve until retirement at age 65; Constitutional Court judges - 3 nominated by president, 3 by Supreme Court, and 3 by parliament; judges appointed by the president; judges serve until mandatory retirement at age 70 |
| Judicial branch: | subordinate courts: High Courts of Appeal, district courts, religious courts |
| Executive branch: | chief of state: President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected by absolute majority popular vote for a 5-year term (eligible for a second term); election last held on 9 July 2014 (next to be held in 2019) |
| Executive branch: | election results: Joko WIDODO elected president; percent of vote - Joko WIDODO (PDI-P) 53.2%, PRABOWO Subianto (GERINDRA) 46.8% |
| Legislative branch: | description: bicameral People's Consultative Assembly or Majelis Permusyawaratan Rakyat consists of: |
| Legislative branch: | Regional Representative Council or Dewan Perwakilan Daerah (132 seats; non-partisan members directly elected in multi-seat constituencies - 4 each from the country's 33 electoral districts - by proportional representation vote to serve 5-year terms); note - the Regional Representative Council has no legislative authority |
