| Government | INDONESIA |
| --- | --- |
| Country name: | conventional long form: Republic of Indonesia |
| Country name: | conventional short form: Indonesia |
| Country name: | local long form: Republik Indonesia |
| Country name: | local short form: Indonesia |
| Country name: | former: Netherlands East Indies, Dutch East Indies |
| Country name: | etymology: the name is an 18th-century construct of two Greek words, "Indos" (India) and "nesoi" (islands), meaning "Indian islands" |
| Government type: | presidential republic |
| Capital: | name: Jakarta |
| Capital: | geographic coordinates: 6 10 S, 106 49 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Capital: | note: Indonesia has three time zones |
| Administrative divisions: | 31 provinces (provinsi-provinsi, singular - provinsi), 1 autonomous province*, 1 special region** (daerah-daerah istimewa, singular - daerah istimewa), and 1 national capital district*** (daerah khusus ibukota); Aceh*, Bali, Banten, Bengkulu, Gorontalo, Jakarta Raya***, Jambi, Jawa Barat (West Java), Jawa Tengah (Central Java), Jawa Timur (East Java), Kalimantan Barat (West Kalimantan), Kalimantan Selatan (South Kalimantan), Kalimantan Tengah (Central Kalimantan), Kalimantan Timur (East Kalimantan), Kalimantan Utara (North Kalimantan), Kepulauan Bangka Belitung (Bangka Belitung Islands), Kepulauan Riau (Riau Islands), Lampung, Maluku, Maluku Utara (North Maluku), Nusa Tenggara Barat (West Nusa Tenggara), Nusa Tenggara Timur (East Nusa Tenggara), Papua, Papua Barat (West Papua), Riau, Sulawesi Barat (West Sulawesi), Sulawesi Selatan (South Sulawesi), Sulawesi Tengah (Central Sulawesi), Sulawesi Tenggara (Southeast Sulawesi), Sulawesi Utara (North Sulawesi), Sumatera Barat (West Sumatra), Sumatera Selatan (South Sumatra), Sumatera Utara (North Sumatra), Yogyakarta** |
| Administrative divisions: | note: following the implementation of decentralization beginning on 1 January 2001, regencies and municipalities have become the key administrative units responsible for providing most government services |
| Independence: | 17 August 1945 (declared) |
| National holiday: | Independence Day, 17 August (1945) |
| Constitution: | drafted July to August 1945, effective 17 August 1945, abrogated by 1949 and 1950 constitutions, 1945 constitution restored 5 July 1959; amended several times, last in 2002; note - an amendment on "national character building and national consciousness awareness" was pending parliamentary review in early 2016 (2016) |
| Legal system: | civil law system based on the Roman-Dutch model and influenced by customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Indonesia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 continuous years |
| Suffrage: | 17 years of age; universal and married persons regardless of age |
| Executive branch: | chief of state: President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Joko WIDODO (since 20 October 2014); Vice President Jusuf KALLA (since 20 October 2014) |
| Executive branch: | cabinet: Cabinet appointed by the president |
| Executive branch: | elections/appointments: president and vice president directly elected by absolute majority popular vote for a 5-year term (eligible for a second term); election last held on 9 July 2014 (next to be held in 2019) |
| Executive branch: | election results: Joko WiDODO elected president; percent of vote - Joko WIDODO (PDI-P) 53.2%, PRABOWO Subianto (GERINDRA) 46.8% |
| Legislative branch: | description: bicameral People's Consultative Assembly or Majelis Permusyawaratan Rakyat consists of the Regional Representative Council or Dewan Perwakilan Daerah (132 seats; non-partisan members directly elected in multi-seat constituencies by proportional representation vote to serve 5-year terms) and the House of Representatives or Dewan Perwakilan Rakyat (560 seats; members directly elected in multi-seat constituencies by single non-transferable vote to serve 5-year terms) |
| Legislative branch: | note: 29 other parties received less than the 2.5% vote threshold and failed to win so did not obtain any seats; because of election rules, the number of seats won does not always follow the percentage of votes received by parties |
| Legislative branch: | elections: last held on 9 April 2014 (next to be held in 2019) |
| Legislative branch: | election results: House of Representatives - percent of vote by party - PDI-P 19%, Golkar 15%, Gerindra 12%, PD 10%, PKB 9%, PAN 8%, PKS 7%, NasDem 7%, PPP 7%, Hanura 5%; seats by party - PDI-P 109, Golkar 91, Gerindra 73, PD 61, PAN 49, PKB 47, PKS 40, NasDem 35, PPP 39, Hanura 16 |
| Judicial branch: | highest court(s): Supreme Court or Mahkamah Agung (51 judges divided into 8 chambers); Constitutional Court or Mahkamah Konstitusi (consists of 9 judges) |
