| Government | New Zealand |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: New Zealand |
| Country name: | abbreviation: NZ |
| Country name: | etymology: Dutch explorer Abel TASMAN was the first European to reach New Zealand in 1642; he named it Staten Landt, but Dutch cartographers renamed it Nova Zeelandia in 1645 after the Dutch province of Zeeland; British explorer Captain James COOK subsequently anglicized the name to New Zealand when he mapped the islands in 1769 |
| Government type: | parliamentary democracyÂ under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Wellington |
| Capital: | geographic coordinates: 41 18 S, 174 47 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in September; ends first Sunday in April |
| Capital: | note: New Zealand has two time zones: New Zealand standard time (UTC+12) and Chatham Islands time (45 minutes in advance of New Zealand standard time; UTC+12:45) |
| Capital: | etymology: named in 1840 after Arthur Wellesley, the first Duke of Wellington and victorious general at the Battle of Waterloo |
| Administrative divisions: | 16 regions and 1 territory*; Auckland, Bay of Plenty, Canterbury, Chatham Islands*, Gisborne, Hawke's Bay, Manawatu-Wanganui, Marlborough, Nelson, Northland, Otago, Southland, Taranaki, Tasman, Waikato, Wellington, West Coast |
| Dependent areas: | Cook Islands, Niue, Tokelau |
| Independence: | 26 September 1907 (from the UK) |
| National holiday: | Waitangi Day (Treaty of Waitangi established British sovereignty over New Zealand), 6 February (1840); Anzac Day (commemorated as the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | history: New Zealand has no single constitution document; the Constitution Act 1986, effective 1 January 1987, includes only part of the uncodified constitution; others include a collection of statutes or "acts of Parliament," the Treaty of Waitangi, Orders in Council, letters patent, court decisions, and unwritten conventions |
| Constitution: | amendments: proposed as bill by Parliament or by referendum called either by the government or by citizens; passage of a bill as an act normally requires two separate readings with committee reviews in between to make changes and corrections, a third reading approved by the House of Representatives membership or by the majority of votes in a referendum, and assent of the governor-general; passage of amendments to reserved constitutional provisions affecting the term of Parliament, electoral districts, and voting restrictions requires approval by 75% of the House membership or the majority of votes in a referendum; amended many times, last in 2014 (2018) |
| Legal system: | common law system, based on English model, with special legislation and land courts for the Maori |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of New Zealand |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor-General Dame Patricia Lee REDDY (since 28 September 2016) |
| Executive branch: | head of government: Prime Minister Jacinda ARDERN (since 26 October 2017); Deputy Prime Minister Winston PETERS (since 26 October 2017) |
| Executive branch: | cabinet: Executive Council appointed by the governor-general on the recommendation of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor-general appointed by the monarch on the advice of the prime minister; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the governor-general; deputy prime minister appointed by the governor-general; note - Prime Minister ARDERN heads up a minority coalition government consisting of the Labor and New Zealand First parties with confidence and supply support from the Green Party |
| Legislative branch: | description: unicameral House of Representatives - commonly called Parliament (usually 120 seats; 71 members directly elected in single-seat constituencies, including 7 Maori constituencies, by simple majority vote and 49 directly elected by proportional representation vote; members serve 3-year terms) |
| Legislative branch: | elections: last held on 23 September 2017 (next to be held by November 2020) |
| Legislative branch: | election results: percent of vote by party - National Party 44.5%, Labor Party 36.9%, NZ First 7.2%, Green Party 6.3%, ACT Party 0.5%; seats by party - National Party 56, Labor Party 46, NZ First 9, Green Party 8, ACT Party 1; composition - men 74, women 46, percent of women 38.3% |
| Judicial branch: | highest courts: Supreme Court (consists of 5 justices, including the chief justice); note - the Supreme Court in 2004 replaced the Judicial Committee of the Privy Council (in London) as the final appeals court |
| Judicial branch: | judge selection and term of office: justices appointed by the governor-general upon the recommendation of the attorney- general; justices appointed until compulsory retirement at age 70 |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; tribunals and authorities; district courts; specialized courts for issues related to employment, environment, family, Maori lands, youth, military; tribunals |
| Political parties and leaders: | ACT New Zealand [David SEYMOUR] |
| Political parties and leaders: | Green Party [James SHAW] |
| Political parties and leaders: | Mana Movement [Hone HARAWIRA] (formerly Mana Party) |
| Political parties and leaders: | Maori Party [Che WILSON and Kaapua SMITH] |
| Political parties and leaders: | New Zealand First Party or NZ First [Winston PETERS] |
| Political parties and leaders: | New Zealand Labor Party [Jacinda ARDERN] |
| Political parties and leaders: | New Zealand National Party [Simon BRIDGES] |
| Political parties and leaders: | United Future New Zealand [Damian LIGHT] |
