| Government | NEW ZEALAND |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: New Zealand |
| Country name: | abbreviation: NZ |
| Country name: | etymology: Dutch explorer Abel TASMAN was the first European to reach New Zealand in 1642; he named it Staten Landt, but Dutch cartographers renamed it Nova Zeelandia in 1645 after the Dutch province of Zeeland; British explorer Captain James COOK subsequently anglicized the name to New Zealand when he mapped the islands in 1769 |
| Government type: | parliamentary democracy (New Zealand Parliament) under a constitutional monarchy; a Commonwealth realm |
| Capital: | name: Wellington |
| Capital: | geographic coordinates: 41 18 S, 174 47 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in September; ends first Sunday in April |
| Capital: | note: New Zealand has two time zones - New Zealand standard time (12 hours in advance of UTC), and Chatham Islands time (45 minutes in advance of New Zealand standard time) |
| Administrative divisions: | 16 regions and 1 territory*; Auckland, Bay of Plenty, Canterbury, Chatham Islands*, Gisborne, Hawke's Bay, Manawatu-Wanganui, Marlborough, Nelson, Northland, Otago, Southland, Taranaki, Tasman, Waikato, Wellington, West Coast |
| Dependent areas: | Cook Islands, Niue, Tokelau |
| Independence: | 26 September 1907 (from the UK) |
| National holiday: | Waitangi Day (Treaty of Waitangi established British sovereignty over New Zealand), 6 February (1840); ANZAC Day (commemorated as the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | Constitution Act 1986 (the principal formal charter) adopted and effective 1 January 1987; amended 1999, 2005, 2014 (2016) |
| Legal system: | common law system, based on English model, with special legislation and land courts for the Maori |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of New Zealand |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Dame Patricia Lee REDDY (since 28 September 2016) |
| Executive branch: | head of government: Prime Minister Jacinda ARDERN (since 26 October 2017); Deputy Prime Minister Winston PETERS (since 26 October 2017) |
| Executive branch: | cabinet: Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or majority coalition usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general; note - Prime Minister ARDERN heads up a minority coalition government consisting of the Labor and New Zealand First parties with support from the Green Party |
| Legislative branch: | description: unicameral House of Representatives - commonly called Parliament (usually 120 seats; 70 members directly elected in single-seat constituencies, including 7 Maori constituencies, by simple majority vote and 50 directly elected by proportional representation vote; members serve 3-year terms) |
| Legislative branch: | elections: last held on 23 September 2017 (next to be held in September 2020) |
| Legislative branch: | election results: percent of vote by party - National Party 46%, Labor Party 35.9%, NZ First 7.5%, Green Party 5.9%, ACT Party .5%; seats by party - National Party 56, Labor Party 46, NZ First 9, Green Party 8, ACT Party 1 |
| Judicial branch: | highest court(s): Supreme Court (consists of 5 justices including the chief justice); note - the Supreme Court in 2004 replaced the Judicial Committee of the Privy Council (in London) as the final appeals court |
| Judicial branch: | judge selection and term of office: justices appointed by the governor-general on the recommendation of the attorney-general; justices appointed for life |
| Judicial branch: | subordinate courts: Court of Appeal; High Court; tribunals and authorities; district courts; specialized courts for issues related to employment, environment, Maori lands, and military |
| Political parties and leaders: | ACT New Zealand [David SEYMOUR] |
| Political parties and leaders: | Green Party [James SHAW] |
| Political parties and leaders: | Mana Movement [Hone HARAWIRA] (formerly Mana Party) |
| Political parties and leaders: | Maori Party [Marama FOX] |
| Political parties and leaders: | New Zealand First Party or NZ First [Winston PETERS] |
| Political parties and leaders: | New Zealand Labor Party [Jacinda ARDERN] |
| Political parties and leaders: | New Zealand National Party [Bill ENGLISH] |
| Political parties and leaders: | United Future New Zealand [Damian LIGHT] |
| Political pressure groups and leaders: | Women's Electoral Lobby or WEL |
| Political pressure groups and leaders: | other: apartheid groups; civil rights groups; farmers groups; Maori; nuclear weapons groups; women's rights groups |
