| Government | New Zealand |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: New Zealand |
| Country name: | abbreviation: NZ |
| Government type: | parliamentary democracy |
| Capital: | name: Wellington |
| Capital: | geographic coordinates: 41 28 S, 174 51 E |
| Capital: | time difference: UTC+12 (17 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins first Sunday in October; ends third Sunday in March |
| Capital: | note: New Zealand is divided into two time zones, including Chatham Island |
| Administrative divisions: | 16 regions and 1 territory*; Auckland, Bay of Plenty, Canterbury, Chatham Islands*, Gisborne, Hawke's Bay, Manawatu-Wanganui, Marlborough, Nelson, Northland, Otago, Southland, Taranaki, Tasman, Waikato, Wellington, West Coast |
| Dependent areas: | Cook Islands, Niue, Tokelau |
| Independence: | 26 September 1907 (from UK) |
| National holiday: | Waitangi Day (Treaty of Waitangi established British sovereignty over New Zealand), 6 February (1840); ANZAC Day (commemorated as the anniversary of the landing of troops of the Australian and New Zealand Army Corps during World War I at Gallipoli, Turkey), 25 April (1915) |
| Constitution: | consists of a series of legal documents, including certain acts of the UK and New Zealand Parliaments, as well as The Constitution Act 1986, which is the principal formal charter; adopted 1 January 1987, effective 1 January 1987 |
| Legal system: | based on English law, with special land legislation and land courts for the Maori; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen ELIZABETH II (since 6 February 1952); represented by Governor General Anand SATYANAND (since 23 August 2006) |
| Executive branch: | head of government: Prime Minister John KEY (since 19 November 2008); Deputy Prime Minister Bill ENGLISH (since 19 November 2008) |
| Executive branch: | cabinet: Executive Council appointed by the governor general on the recommendation of the prime minister |
| Executive branch: | elections: the monarch is hereditary; governor general appointed by the monarch; following legislative elections, the leader of the majority party or the leader of a majority coalition is usually appointed prime minister by the governor general; deputy prime minister appointed by the governor general |
| Legislative branch: | unicameral House of Representatives - commonly called Parliament (usually 120 seats; 69 members elected by popular vote in single-member constituencies including 7 Maori constituencies, and 51 proportional seats chosen from party lists; to serve three-year terms) |
| Legislative branch: | elections: last held 8 November 2008 (next to be held in 2011) |
| Legislative branch: | election results: percent of vote by party - NP 45.5%, NZLP 33.8%, Green Party 6.4%, ACT New Zealand 3.7%, Maori 2.2%, Progressive 0.9%, UF 0.9%, other 6.6%; seats by party - NP 59, NZLP 43, Green Party 8, ACT New Zealand 5, Maori 5, Progressive 1, UF 1 |
| Legislative branch: | note: results of 2008 election saw the total number of seats increase to 122 |
| Judicial branch: | Supreme Court; Court of Appeal; High Court; note - judges appointed by the Governor-General |
| Political parties and leaders: | ACT New Zealand [Rodney HIDE]; Green Party [Jeanette FITZSIMONS]; Maori Party [Whatarangi WINIATA]; National Party or NP [John KEY]; New Zealand First Party or NZFP [Winston PETERS]; New Zealand Labor Party or NZLP [Phil GOFF]; Progressive Party [James (Jim) ANDERTON]; United Future or UF [Peter DUNNE] |
| Political pressure groups and leaders: | Women's Electoral Lobby or WEL |
| Political pressure groups and leaders: | other: apartheid groups; civil rights groups; farmers groups; Maori; nuclear weapons groups; women's rights groups |
| International organization participation: | ADB, ANZUS (US suspended security obligations to NZ on 11 August 1986), APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CP, EAS, EBRD, FAO, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, NAM (guest), NSG, OECD, OPCW, PCA, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIS, UNMIT, UNTSO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Roy N. FERGUSON |
| Diplomatic representation in the US: | chancery: 37 Observatory Circle NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 328-4800 |
| Diplomatic representation in the US: | FAX: [1] (202) 667-5227 |
| Diplomatic representation in the US: | consulate(s) general: Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador William P. McCORMICK |
| Diplomatic representation from the US: | embassy: 29 Fitzherbert Terrace, Thorndon, Wellington |
| Diplomatic representation from the US: | mailing address: P. O. Box 1190, Wellington; PSC 467, Box 1, APO AP 96531-1034 |
| Diplomatic representation from the US: | telephone: [64] (4) 462-6000 |
| Diplomatic representation from the US: | FAX: [64] (4) 499-0490 |
| Diplomatic representation from the US: | consulate(s) general: Auckland |
| Flag description: | blue with the flag of the UK in the upper hoist-side quadrant with four red five-pointed stars edged in white centered in the outer half of the flag; the stars represent the Southern Cross constellation |
| Government - note: | while not an official symbol, the Kiwi, a small native flightless bird, represents New Zealand |
