| Government | Madagascar |
| --- | --- |
| Country name: | conventional long form: Republic of Madagascar |
| Country name: | conventional short form: Madagascar |
| Country name: | local short form: Madagascar |
| Country name: | former: Malagasy Republic |
| Country name: | local long form: Republique de Madagascar |
| Government type: | republic |
| Capital: | Antananarivo |
| Administrative divisions: | 6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| Independence: | 26 June 1960 (from France) |
| National holiday: | Independence Day, 26 June (1960) |
| Constitution: | 19 August 1992 by national referendum |
| Legal system: | based on French civil law system and traditional Malagasy law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Marc RAVALOMANANA (since 6 May 2002) |
| Executive branch: | head of government: Prime Minister Jacques SYLLA (27 May 2002) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 16 December 2001 (next to be held NA November 2006); prime minister appointed by the president from a list of candidates nominated by the National Assembly |
| Executive branch: | election results: percent of vote - Didier RATSIRAKA (AREMA) 40.89%, Marc RAVALOMANANA 46.21%; note - on 29 April 2002, the High Constitutional Court announced RAVALOMANANA the winner by 51.5% after a recount; RATSIRIKA's prime minister was put under house arrest on 27 May 2002, and SYLLA was appointed the new prime minister by President RAVALOMANANA |
| Legislative branch: | unicameral National Assembly or Assemblee Nationale (160 seats; members are directly elected by popular vote to serve four-year terms); note - the legislature is scheduled to become a bicameral Parliament with the establishment of a Senate; two-thirds of the seats of this Senate will be filled by regional assemblies whose members will be elected by popular vote; the remaining one-third of the seats will be appointed by the president; the total number of seats will be determined by the National Assembly; all members will serve four-year terms |
| Legislative branch: | elections: National Assembly - last held 15 December 2002 (next to be held NA 2006) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA%; seats by party - TIM 103, FP 22, AREMA 3, LEADER/Fanilo 2, RPSD 5, TTS 2, HBM 1, independents 22 |
| Judicial branch: | Supreme Court or Cour Supreme; High Constitutional Court or Haute Cour Constitutionnelle |
| Political parties and leaders: | Action, Truth, Development, and Harmony or AFFA [Professor Albert ZAFY]; Association for the Rebirth of Madagascar or AREMA [leader vacant]; Congress Party for Malagasy Independence or AKFM/Fanavaozana [leader NA]; Economic Liberalism and Democratic Action for National Recovery or LEADER/Fanilo [Herizo RAZAFIMAHALEO]; Fihaonana Rally or Fihaonana [Guy RAZANAMASY]; Group of Reflection and Action for the Development of Madagascar or GRAD/Iloafo; Judged by Your Work or AVI [Norbert RATSIRAHONANA]; Movement for the Progress of Madagascar or MFM [Manandafy RAKOTONIRINA]; Renewal of the Social Democratic Party or RPSD [Evariste MARSON]; Tranobe (Big House) [Ny Hasina ANDRIAMANJATO] |
| Political pressure groups and leaders: | Federalist Movement; National Council of Christian Churches or FFKM |
| International organization participation: | ACCT, ACP, AfDB, CCC, ECA, FAO, G-77, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, ISO (correspondent), ITU, NAM, OAU, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Zina ANDRIANARIVELO-RAZAFY |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 483-7603 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525, 5526 |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Wanda L. NESBITT |
| Diplomatic representation from the US: | embassy: 14-16 Rue Rainitovo, Antsahavola, Antananarivo 101 |
| Diplomatic representation from the US: | mailing address: B. P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | telephone: [261] (20) 22-212-57, 22-212-73, 22-209-56 |
| Diplomatic representation from the US: | FAX: [261] (20) 22-345-39 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side |
