| Government | MADAGASCAR |
| --- | --- |
| Country name: | conventional long form: Republic of Madagascar |
| Country name: | conventional short form: Madagascar |
| Country name: | local long form: Republique de Madagascar/Repoblikan'i Madagasikara |
| Country name: | local short form: Madagascar/Madagasikara |
| Country name: | former: Malagasy Republic |
| Country name: | note: the name "Madageiscar" was first used by the 13th-century Venetian explorer Marco POLO, as a corrupted transliteration of Mogadishu, the Somali port with which POLO confused the island |
| Government type: | semi-presidential republic |
| Capital: | name: Antananarivo |
| Capital: | geographic coordinates: 18 55 S, 47 31 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| Independence: | 26 June 1960 (from France) |
| National holiday: | Independence Day, 26 June (1960) |
| Constitution: | previous 1992; latest passed by referendum 17 November 2010, promulgated 11 December 2010 (2016) |
| Legal system: | civil law system based on the old French civil code and customary law in matters of marriage, family, and obligation |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Madagascar; in the case of a child born out of wedlock, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hery Martial RAJAONARIMAMPIANINA Rakotoarimana (since 25 January 2014) |
| Executive branch: | head of government: Prime Minister Olivier Mahafaly SOLONANDRASANA (since 13 April 2016); Prime Minister Jean RAVELONARIVO (since 17 January 2015) resigned 8 April 2016 |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 20 December 2013 (next to be held in 2018); prime minister nominated by the National Assembly, appointed by the president |
| Executive branch: | election results: Hery Martial RAJAONARIMAMPIANINA elected president; percent of vote in second round - Hery Martial RAJAONARIMAMPIANINA (FIDO) 53.5%, Jean Louis ROBINSON (AVANA) 46.5% |
