| Government | Iran |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Iran |
| Country name: | conventional short form: Iran |
| Country name: | local long form: Jomhuri-ye Eslami-ye Iran |
| Country name: | local short form: Iran |
| Country name: | former: Persia |
| Government type: | theocratic republic |
| Capital: | name: Tehran |
| Capital: | geographic coordinates: 35 42 N, 51 25 E |
| Capital: | time difference: UTC+3.5 (8.5 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins fourth Tuesday in March; ends fourth Thursday in September |
| Administrative divisions: | 31 provinces (ostanha, singular - ostan); Alborz, Ardabil, Azarbayjan-e Gharbi (West Azerbaijan), Azarbayjan-e Sharqi (East Azerbaijan), Bushehr, Chahar Mahal va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan-e Jonubi (South Khorasan), Khorasan-e Razavi (Razavi Khorasan), Khorasan-e Shomali (North Khorasan), Khuzestan, Kohgiluyeh va Bowyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| Independence: | 1 April 1979 (Islamic Republic of Iran proclaimed); notable earlier dates: ca. 625 B.C. (unification of Iran under the Medes); ca. A.D. 1501 (Iran reunified under the Safavids); 12 December 1925 (modern Iran established under the Pahlavis) |
| National holiday: | Republic Day, 1 April (1979) |
| Constitution: | 2-3 December 1979; revised 1989 |
| Constitution: | note: the revision in 1989 expanded powers of the presidency and eliminated the prime ministership |
| Legal system: | religious legal system based on sharia law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989) |
| Executive branch: | head of government: President Mahmud AHMADI-NEJAD (since 3 August 2005); First Vice President Mohammad Reza RAHIMI (since 13 September 2009) |
| Executive branch: | cabinet: Council of Ministers selected by the president with legislative approval; the Supreme Leader has some control over appointments to the more sensitive ministries |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | note: also considered part of the Executive branch of government are three oversight bodies: 1) Assembly of Experts (Majles-e Khoebregan), a popularly elected body charged with determining the succession of the Supreme Leader, reviewing his performance, and deposing him if deemed necessary; 2) Expediency Council or the Council for the Discernment of Expediency (Majma-ye- Tashkhis-e -Maslahat-e- Nezam) exerts supervisory authority over the executive, judicial, and legislative branches and resolves legislative issues when the Majles and the Council of Guardians disagree and since 1989 has been used to advise national religious leaders on matters of national policy; in 2005 the Council's powers were expanded to act as a supervisory body for the government; 3) Council of Guardians of the Constitution or Council of Guardians or Guardians Council (Shora-ye Negban-e Qanon-e Asasi) determines whether proposed legislation is both constitutional and faithful to Islamic law, vets candidates in popular elections for suitability, and supervises national elections |
| Executive branch: | elections: supreme leader appointed for life by the Assembly of Experts; president elected by popular vote for a four-year term (eligible for a second term and additional nonconsecutive term); election last held on 14 June 2009 (next presidential election slated for June 2013) |
