| Government | Iran |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Iran |
| Country name: | conventional short form: Iran |
| Country name: | local long form: Jomhuri-ye Eslami-ye Iran |
| Country name: | local short form: Iran |
| Country name: | former: Persia |
| Country name: | etymology: name derives from the Avestan term "aryanam" meaning "Land of the Noble [Ones]" |
| Government type: | theocratic republic |
| Capital: | name: Tehran |
| Capital: | geographic coordinates: 35 42 N, 51 25 E |
| Capital: | time difference: UTC+3.5 (8.5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins fourth Wednesday in March; ends fourth Friday in September |
| Administrative divisions: | 31 provinces (ostanha, singular - ostan); Alborz, Ardabil, Azarbayjan-e Gharbi (West Azerbaijan), Azarbayjan-e Sharqi (East Azerbaijan), Bushehr, Chahar Mahal va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan-e Jonubi (South Khorasan), Khorasan-e Razavi (Razavi Khorasan), Khorasan-e Shomali (North Khorasan), Khuzestan, Kohgiluyeh va Bowyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| Independence: | 1 April 1979 (Islamic Republic of Iran proclaimed); notable earlier dates: ca. 550 B.C. (Achaemenid (Persian) Empire established); A.D. 1501 (Iran reunified under the Safavid Dynasty); 1794 (beginning of Qajar Dynasty); 12 December 1925 (modern Iran established under the PAHLAVI Dynasty) |
| National holiday: | Republic Day, 1 April (1979) |
| Constitution: | history: previous 1906; latest adopted 24 October 1979, effective 3 December 1979 |
| Constitution: | amendments: proposed by the supreme leader â€“ after consultation with the Exigency Council â€“ and submitted as an edict to the "Council for Revision of the Constitution," a body consisting of various executive, legislative, judicial, and academic leaders and members; passage requires absolute majority vote in a referendum and approval of the supreme leader; articles including Iranâ€™s political system, its religious basis, and its form of government cannot be amended; amended 1989 (2016) |
| Legal system: | religious legal system based on secular and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Iran |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989) |
| Executive branch: | head of government: President Hasan Fereidun ROHANI (since 3 August 2013); First Vice President Eshagh JAHANGIRI (since 5 August 2013) |
| Executive branch: | cabinet: Council of Ministers selected by the president with legislative approval; the supreme leader has some control over appointments to several ministries |
| Executive branch: | elections/appointments: supreme leader appointed for life by Assembly of Experts; president directly elected by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term and an additional nonconsecutive term); election last held on 19 May 2017 (next to be held in 2021) |
