| Government |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Iran |
| Country name: | conventional short form: Iran |
| Country name: | local long form: Jomhuri-ye Eslami-ye Iran |
| Country name: | local short form: Iran |
| Country name: | former: Persia |
| Government type: | theocratic republic |
| Capital: | Tehran |
| Administrative divisions: | 28 provinces (ostanha, singular - ostan); Ardabil, Azarbayjan-e Gharbi, Azarbayjan-e Sharqi, Bushehr, Chahar Mahall va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan, Khuzestan, Kohgiluyeh va Buyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| Independence: | 1 April 1979 (Islamic Republic of Iran proclaimed) |
| National holiday: | Republic Day, 1 April (1979) |
| Constitution: | 2-3 December 1979; revised 1989 to expand powers of the presidency and eliminate the prime ministership |
| Legal system: | the Constitution codifies Islamic principles of government |
| Suffrage: | 15 years of age; universal |
| Executive branch: | chief of state: Leader of the Islamic Revolution Ayatollah Ali Hoseini-KHAMENEI (since 4 June 1989) |
| Executive branch: | head of government: President (Ali) Mohammad KHATAMI-Ardakani (since 3 August 1997); First Vice President Dr. Mohammad Reza AREF-YAZDI (since NA August 2001) |
| Executive branch: | cabinet: Council of Ministers selected by the president with legislative approval |
| Executive branch: | elections: leader of the Islamic Revolution appointed for life by the Assembly of Experts; president elected by popular vote for a four-year term; election last held 8 June 2001 (next to be held NA 2005) |
| Executive branch: | election results: (Ali) Mohammad KHATAMI-Ardakani reelected president; percent of vote - (Ali) Mohammad KHATAMI-Ardakani 77% |
| Legislative branch: | unicameral Islamic Consultative Assembly or Majles-e-Shura-ye-Eslami (290 seats, note - changed from 270 seats with the 18 February 2000 election; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 18 February-NA April 2000 (next to be held NA 2004) |
| Legislative branch: | election results: percent of vote - NA%; seats by party - reformers 170, conservatives 45, and independents 10; 65 seats were up for runoff election on 5 May 2000 (reformers 52, conservatives 10, independents 3) |
| Judicial branch: | Supreme Court |
| Political parties and leaders: the following organizations appeared to have achieved considerable success at elections to the sixth Majlis in early 2000: | Assembly of the Followers of the Imam's Line, Freethinkers' Front, Islamic Iran Participation Front, Moderation and Development Party, Servants of Construction Party, Society of Self-sacrificing Devotees |
| Political pressure groups and leaders: | active student groups include the pro-reform "Organization for Strengthening Unity" and "the Union of Islamic Student Societies'; groups that generally support the Islamic Republic include Ansar-e Hizballah, Mojahedin of the Islamic Revolution, Muslim Students Following the Line of the Imam, and the Islamic Coalition Association; opposition groups include the Liberation Movement of Iran and the Nation of Iran party; armed political groups that have been almost completely repressed by the government include Mojahedin-e Khalq Organization (MEK), People's Fedayeen, Democratic Party of Iranian Kurdistan; the Society for the Defense of Freedom |
| International organization participation: | CCC, CP, ECO, ESCAP, FAO, G-19, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Inmarsat, Intelsat, Interpol, IOC, IOM (observer), ISO, ITU, NAM, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WFTU, WHO, WMO, WToO |
| Diplomatic representation in the US: none; note - Iran has an Interests Section in the Pakistani Embassy; address: Iranian Interests Section, Pakistani Embassy, 2209 Wisconsin Avenue NW, Washington, DC 20007; telephone: | [1] (202) 965-4990 |
| Diplomatic representation from the US: | none; note - protecting power in Iran is Switzerland |
| Flag description: | three equal horizontal bands of green (top), white, and red; the national emblem (a stylized representation of the word Allah) in red is centered in the white band; ALLAH AKBAR (God is Great) in white Arabic script is repeated 11 times along the bottom edge of the green band and 11 times along the top edge of the red band |
