| Government | Iran |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Iran |
| Country name: | conventional short form: Iran |
| Country name: | local long form: Jomhuri-ye Eslami-ye Iran |
| Country name: | local short form: Iran |
| Country name: | former: Persia |
| Government type: | theocratic republic |
| Capital: | name: Tehran |
| Capital: | geographic coordinates: 35 40 N, 51 25 E |
| Capital: | time difference: UTC+3.5 (8.5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 30 provinces (ostanha, singular - ostan); Ardabil, Azarbayjan-e Gharbi, Azarbayjan-e Sharqi, Bushehr, Chahar Mahall va Bakhtiari, Esfahan, Fars, Gilan, Golestan, Hamadan, Hormozgan, Ilam, Kerman, Kermanshah, Khorasan-e Jonubi, Khorasan-e Razavi, Khorasan-e Shomali, Khuzestan, Kohgiluyeh va Buyer Ahmad, Kordestan, Lorestan, Markazi, Mazandaran, Qazvin, Qom, Semnan, Sistan va Baluchestan, Tehran, Yazd, Zanjan |
| Independence: | 1 April 1979 (Islamic Republic of Iran proclaimed) |
| National holiday: | Republic Day, 1 April (1979) |
| Constitution: | 2-3 December 1979; revised 1989 to expand powers of the presidency and eliminate the prime ministership |
| Legal system: | based on Sharia law system; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 16 years of age; universal |
| Executive branch: | chief of state: Supreme Leader Ali Hoseini-KHAMENEI (since 4 June 1989) |
| Executive branch: | head of government: President Mahmud AHMADI-NEJAD (since 3 August 2005); First Vice President Parviz DAVUDI (since 11 September 2005) |
| Executive branch: | cabinet: Council of Ministers selected by the president with legislative approval; the Supreme Leader has some control over appointments to the more sensitive ministries |
| Executive branch: | note: also considered part of the Executive branch of government are three oversight bodies: 1) Assembly of Experts (Majles-Khebregan), a popularly elected body charged with determining the succession of the Supreme Leader, reviewing his performance, and deposing him if deemed necessary; 2) Expediency Council or the Council for the Discernment of Expediency (Majma-e-Tashkise-Maslahat-e-Nezam) exerts supervisory authority over the executive, judicial, and legislative branches and resolves legislative issues on which the Majles and the Council of Guardians disagree and since 1989 has been used to advise national religious leaders on matters of national policy; in 2005 the Council's powers were expanded to act as a supervisory body for the government; 3) Council of Guardians of the Constitution or Council of Guardians or Guardians Council (Shora-ye Negaban-e Qanun-e Assassi) determines whether proposed legislation is both constitutional and faithful to Islamic law, vets candidates for suitability, and supervises national elections |
| Executive branch: | elections: Supreme Leader is appointed for life by the Assembly of Experts; president is elected by popular vote for a four-year term (eligible for a second term and third nonconsecutive term); last held 17 June 2005 with a two-candidate runoff on 24 June 2005 (next presidential election slated for 12 June 2009) |
| Executive branch: | election results: Mahmud AHMADI-NEJAD elected president; percent of vote - Mahmud AHMADI-NEJAD 62%, Ali Akbar Hashemi-RAFSANJANI 36% |
| Legislative branch: | unicameral Islamic Consultative Assembly or Majles-e-Shura-ye-Eslami or Majles (290 seats; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 14 March 2008 with a runoff held 25 April 2008 (next to be held in 2012) |
| Legislative branch: | election results: percent of vote - NA; seats by party - conservatives/Islamists 170, reformers 46, independents 71, religious minorities 3 |
