| Government | Netherlands Antilles |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Netherlands Antilles |
| Country name: | local long form: none |
| Country name: | local short form: Nederlandse Antillen |
| Country name: | former: Curacao and Dependencies |
| Dependency status: | an autonomous country within the Kingdom of the Netherlands; full autonomy in internal affairs granted in 1954; Dutch Government responsible for defense and foreign affairs |
| Government type: | parliamentary |
| Capital: | name: Willemstad (on Curacao) |
| Capital: | geographic coordinates: 12 06 N, 68 56 W |
| Capital: | time difference: UTC-4 (1 hour ahead of Washington, DC during Standard Time) |
| Administrative divisions: | none (part of the Kingdom of the Netherlands) |
| Administrative divisions: | note: each island has its own government |
| Independence: | none (part of the Kingdom of the Netherlands) |
| National holiday: | Queen's Day (Birthday of Queen-Mother JULIANA and accession to the throne of her oldest daughter BEATRIX), 30 April (1909 and 1980) |
| Constitution: | 29 December 1954, Statute of the Realm of the Netherlands, as amended |
| Legal system: | based on Dutch civil law system with some English common law influence |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: Queen BEATRIX of the Netherlands (since 30 April 1980); represented by Governor General Frits GOEDGEDRAG (since 1 July 2002) |
| Executive branch: | head of government: Prime Minister Emily de JONGH-ELHAGE (since 26 March 2006) |
| Executive branch: | cabinet: Council of Ministers elected by the Staten (legislature) |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: the monarchy is hereditary; governor general appointed by the monarch for a six-year term; following legislative elections, the leader of the majority party usually elected prime minister by the Staten; election last held on 22 January 2010 (next to be held by 2014) |
| Executive branch: | note: government coalition - PAR, PNP, NA, UPB, WIPM Saba, DP-St. E |
| Legislative branch: | unicameral States or Staten (22 seats; Curacao 14, Bonaire 3, St. Maarten 3, St. Eustatius 1, Saba 1; members elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 22 January 2010 (next to be held in 2014) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - PAR 6, LdK 5, National Alliance 3, PS 2, UPB 2, PNP 1, DP-St. E 1, PDB 1, WIPM 1 |
| Legislative branch: | note: the government is a coalition of several parties |
| Judicial branch: | Joint High Court of Justice (judges appointed by the monarch) |
| Political parties and leaders: | Bonaire: Democratic Party of Bonaire or PDB [Jopi ABRAHAM]; Patriotic Union of Bonaire or UPB [Ramonsito BOOI] |
| Political parties and leaders: | Curacao: Ban Vota [Norbert GEORGE]; C-93 [Stanley BROWN]; Democratic Party of Curacao or DP [Errol HERNANDEZ]; E Mayoria [Aurelio PEDRO]; Forsa Korsou [Nelson NAVARRO]; Lista di Kambio or LdK (coalition of MAN, NPA, and FK); Liste Ni'un Paso Atras [Nelson PIERRE]; Movemiento Patriotiko Korsou [Reginald LAK]; New Antilles Movement or MAN [Charles COOPER]; Partido Akshon Pa Prosperidat I Seguridat [Sonja BERKEMEYER]; Partido Laboral Krusada Popular or PLKP [Errol COVA]; Party for the Restructured Antilles or PAR [Emily de JONGH-ELHAGE]; People's National Party or PNP [Ersilia DE LANNOOY]; Pidjin [Jasmin PINEDO]; Pueblo Soberano or PS [Herman WIELS]; Workers' Liberation Front or FOL [Anthony GODETT] |
| Political parties and leaders: | Saba: Saba Labor Party [Akilah LEVENSTONE]; Windward Islands People's Movement or WIPM [Ray HASSELL] |
| Political parties and leaders: | Sint Eustatius: Democratic Party of Sint Eustatius or DP-St. E [Julian WOODLEY]; Progressive Labor Party [Clyde VAN PUTTEN]; St. Eustatius Alliance [Ingrid HOUTMAN-WHITFIELD] |
| Political parties and leaders: | Sint Maarten: Democratic Party of Sint Maarten or DP-St. M [Sarah WESCOTT-WILLIAMS]; Freedom Slate of National Democratic Party [Theophilus PRIEST]; National Alliance or NA [William MARLIN]; People's Progressive Alliance or PPA [Gracita ARRINDELL]; St. Maarten People's Party [Johan LEONARD]; United People's Labor Party [Bienvenido RICHARDSON] |
| Political parties and leaders: | note: political parties are indigenous to each island |
| Political pressure groups and leaders: | Employers Association (VBC); Unions (AVBO) |
| International organization participation: | Caricom (observer), FATF, ILO, IMF, Interpol, IOC, UNESCO (associate), UNWTO (associate), UPU, WCO, WMO |
| Diplomatic representation in the US: | none (represented by the Kingdom of the Netherlands); note - Mr. Jeffrey CORRION, Minister Plenipotentiary for Aruba at the Embassy of the Kingdom of the Netherlands |
| Diplomatic representation from the US: | chief of mission: Consul General Timothy J. DUNN |
| Diplomatic representation from the US: | consulate(s) general: J. B. Gorsiraweg #1, Willemstad, Curacao |
| Diplomatic representation from the US: | mailing address: P. O. Box 158, Willemstad, Curacao |
| Diplomatic representation from the US: | telephone: [599] (9) 461-3066 |
| Diplomatic representation from the US: | FAX: [599] (9) 461-6489 |
| Flag description: | white, with a horizontal blue stripe in the center superimposed on a vertical red band, also centered; five white, five-pointed stars are arranged in an oval pattern in the center of the blue band; the colors reflect those of the Netherlands; the five stars represent the five main islands of Bonaire, Curacao, Saba, Sint Eustatius, and Sint Maarten |
