| Government | MONGOLIA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local long form: none |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Government type: | parliamentary |
| Capital: | name: Ulaanbaatar |
| Capital: | geographic coordinates: 47 55 N, 106 55 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Saturday in March; ends last Saturday in September |
| Capital: | note: Mongolia has two time zones - Ulaanbaatar Time (8 hours in advance of UTC), and Hovd Time (7 hours in advance of UTC) |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan-Uul, Dornod, Dornogovi, Dundgovi, Dzavhan (Zavkhan), Govi-Altay, Govisumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | several previous; latest adopted 13 January 1992, effective 12 February 1992; amended 1999, 2001 (2011) |
| Legal system: | civil law system influenced by Soviet and Romano-Germanic legal systems; constitution ambiguous on judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tsakhia ELBEGDORJ (since 18 June 2009) |
| Executive branch: | head of government: Prime Minister Chimed SAIKHANBILEG (since 21 November 2014); Deputy Prime Minister Tserendash OYUNBAATAR (since 8 September 2015) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister in consultation with the president, confirmed by the State Great Hural (parliament) |
| Executive branch: | elections/appointments: presidential candidates nominated by political parties represented in the State Great Hural and directly elected by simple majority popular vote for a 4-year term (eligible for a second term); election last held on 26 June 2013 (next to be held in June 2017); following legislative elections, the leader of the majority party or majority coalition usually elected prime minister by the State Great Hural |
| Executive branch: | election results: Tsakhia ELBEGDORJ reelected president; percent of vote - Tsakhia ELBEGDORJ (DP) 50.2%, Badmaanyambuu BAT-ERDENE (MPP) 42%, Natsag UDVAL (MPRP) 6.5%, other 1.3% |
| Legislative branch: | description: unicameral State Great Hural or Ulsyn Ikh Khural (76 seats; 48 members directly elected in multi-seat constituencies by simple majority vote and 28 directly elected in multi-seat constituencies by proportional representation vote; members serve 4-year terms) |
| Legislative branch: | elections: last held on 28 June 2012 (next to be held in June 2016) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - DP 33, MPP 27, Justice Coalition 11, CWGP 2, independent 3 |
| Legislative branch: | note: 4 seats were determined after the election; 2 DP candidates gained seats when winning MPP candidates were determined to have broken electoral law; candidates in 2 other constituencies did not receive the necessary 28% of the vote to be elected, and MPP candidates won both seats in repolling; seats by party as of May 2015 - DP 35, MPP 26, Justice Coalition 10, CWGP 2, independent 3 |
| Judicial branch: | highest court(s): Supreme Court (consists of the Chief Justice and 24 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tsets (consists of a chairman and 8 members) |
| Judicial branch: | judge selection and term of office: Supreme Court chief justice and judges appointed by the president upon recommendation to the State Great Hural by the General Council of Courts, a 14-member body of judges and judicial officials; term of appointment is for life; chairman of the Constitutional Court elected from among its members; members appointed by the State Great Hural upon nominations - 3 each by the president, the State Great Hural, and the Supreme Court; term of appointment is 6 years; chairmanship limited to a single renewable 3-year term |
| Judicial branch: | subordinate courts: aimag (provincial) and capital city appellate courts; soum, inter-soum, and district courts; Administrative Cases Courts (established in 2004) |
| Political parties and leaders: | Civil Will-Green Party or CWGP [Sanjaasuren OYUN, Sambuu DEMBEREL, Tserendorj GANKHUYAG] |
| Political parties and leaders: | Democratic Party or DP [Zandaakhuu ENKHBOLD] |
| Political parties and leaders: | Justice Coalition (includes MPRP and MNDP) |
| Political parties and leaders: | Mongolian National Democratic Party or MNDP [Mendsaikhan ENKHSAIKHAN] |
| Political parties and leaders: | Mongolian People's Party or MPP [Miyegombo ENKHBOLD] |
| Political parties and leaders: | Mongolian People's Revolutionary Party or MPRP [Nambar ENKHBAYAR] |
| Political pressure groups and leaders: | other: human rights groups; women's groups; disability rights groups |
| International organization participation: | ADB, ARF, CD, CICA, CP, EBRD, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OPCW, OSCE, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNIDO, UNISFA, UNMISS, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO |
