| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local long form: none |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Government type: | mixed parliamentary/presidential |
| Capital: | name: Ulaanbaatar |
| Capital: | geographic coordinates: 47 55 N, 106 53 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Saturday in March; ends last Saturday in September |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan-Uul, Dornod, Dornogovi, Dundgovi, Dzavhan, Govi-Altay, Govisumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | 12 February 1992 |
| Legal system: | blend of Soviet, German, and US systems that combine "continental" or "civil" code and case-precedent; constitution ambiguous on judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nambaryn ENKHBAYAR (since 24 June 2005) |
| Executive branch: | head of government: Prime Minister Miegombyn ENKHBOLD (since 25 January 2006); Deputy Prime Minister Mendsaikhan ENKHSAIKHAN (since 28 January 2006) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister in consultation with the president and confirmed by the State Great Hural (parliament) |
| Executive branch: | elections: presidential candidates nominated by political parties represented in State Great Hural and elected by popular vote for a four-year term (eligible for a second term); election last held 22 May 2005 (next to be held in May 2009); following legislative elections, leader of majority party or majority coalition is usually elected prime minister by State Great Hural |
| Executive branch: | election results: Nambaryn ENKHBAYAR elected president; percent of vote - Nambaryn ENKHBAYAR (MPRP) 53.44%, Mendsaikhanin ENKHSAIKHAN (DP) 20.05%, Bazarsadyn JARGALSAIKHAN (MRP) 13.92%, Badarchyn ERDENEBAT (M-MNSDP) 12.59%; Miegombyn ENKHBOLD elected prime minister by the State Great Hural 56 to 10 |
| Legislative branch: | unicameral State Great Hural 76 seats; members elected by popular vote to serve four-year terms |
| Legislative branch: | elections: last held 27 June 2004 (next to be held in June 2008) |
| Legislative branch: | election results: percent of vote by party - MPRP 48.78%, MDC 44.8%, independents 3.5%, Republican Party 1.5%, others 1.42%; seats by party - MPRP 36, MDC 34, others 4; note - following June 2004 election MDC collapsed; as of 1 December 2005 composition of legislature was MPRP 38, DP 25, M-MNSDP 6, CWRP 2, MRP 1, PP 1, independents 3 |
| Judicial branch: | Supreme Court (serves as appeals court for people's and provincial courts but rarely overturns verdicts of lower courts; judges are nominated by the General Council of Courts and approved by the president) |
| Political parties and leaders: | Citizens' Will Republican Party or CWRP (also called Civil Courage Republican Party or CCRP) [Sanjaasurengiin OYUN]; Democratic Party or DP [Tsakhiagiyn ELBEGDORJ]; Motherland-Mongolian New Socialist Democratic Party or M-MNSDP [Badarchyn ERDENEBAT]; Mongolian People's Revolutionary Party or MPRP [Miegombyn ENKHBOLD]; Mongolian Republican Party or MRP [Bazarsadyn JARGALSAIKHAN]; People's Party or PP [Lamjav GUNDALAI] |
| Political parties and leaders: | note: DP and M-MNSDP formed Motherland-Democracy Coalition (MDC) in 2003 and with CWRP contested June 2004 elections as single party; MDC's leadership dissolved coalition in December 2004 |
| Political pressure groups and leaders: | NA |
| International organization participation: | ARF, AsDB, CP, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, ISO, ITU, MIGA, MINURSO, MONUC, NAM, OPCW, OSCE (partner), SCO (observer), UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ravdan BOLD |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mark C. MINTON |
| Diplomatic representation from the US: | embassy: Big Ring Road, 11th Micro Region, Ulaanbaatar |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 300, FPO AP 96521-0002; P.O. Box 1021, Ulaanbaatar-13 |
| Diplomatic representation from the US: | telephone: [976] (11) 329095 |
| Diplomatic representation from the US: | FAX: [976] (11) 320776 |
| Flag description: | three equal, vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol) |
