| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local long form: none |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Government type: | parliamentary |
| Capital: | name: Ulaanbaatar |
| Capital: | geographic coordinates: 47 55 N, 106 55 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan-Uul, Dornod, Dornogovi, Dundgovi, Dzavhan (Zavkhan), Govi-Altay, Govisumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | 13 January 1992 |
| Legal system: | blend of Soviet and German systems that employ "continental" or "civil" code; case-precedent may be used to inform judges, but all decisions must refer to the law as written; constitution ambiguous on judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tsakhia ELBEGDORJ (since 18 June 2009) |
| Executive branch: | head of government: Prime Minister Sukhbaatar BATBOLD (since 29 October 2009); First Deputy Prime Minister (Norov ALTANKHUYAG (since 20 September 2008); Vice Prime Minister Miegombyn ENKHBOLD (since 6 December 2007) |
| Executive branch: | cabinet: Cabinet nominated by the prime minister in consultation with the president and confirmed by the State Great Hural (parliament) |
| Executive branch: | elections: presidential candidates nominated by political parties represented in State Great Hural and elected by popular vote for a four-year term (eligible for a second term); election last held 24 May 2009 (next to be held in May 2013); following legislative elections, leader of majority party or majority coalition is usually elected prime minister by State Great Hural |
| Executive branch: | election results: in elections in May 2009, Tsakhia ELBEGDORJ elected president; percent of vote - Tsakhia ELBEGDORJ 51.24%, Nambaryn ENKHBAYAR 47.44%, others 1.32% |
| Legislative branch: | unicameral State Great Hural 76 seats; members elected by popular vote to serve four-year terms |
| Legislative branch: | elections: last held 29 June 2008 (next to be held in June 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - MPRP 45, DP 27, others 4; note - 1 seat disputed and unfilled |
| Judicial branch: | Supreme Court (serves as appeals court for people's and provincial courts but rarely overturns verdicts of lower courts; judges are nominated by the General Council of Courts and approved by the president) |
| Political parties and leaders: | Democratic Party or DP [Norov ALTANHUYAG]; Mongolian People's Revolutionary Party or MPRP [Sanjaa BAYAR] |
| Political pressure groups and leaders: | other: human rights groups; women's groups |
| International organization participation: | ADB, ARF, CP, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUC, NAM, OPCW, OSCE (partner), SCO (observer), UN, UNCTAD, UNESCO, UNIDO, UNMIL, UNMIS, UNOMIG, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Khasbazaryn BEKHBAT |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Mark C. MINTON |
| Diplomatic representation from the US: | embassy: Big Ring Road, 11th Micro Region, Ulaanbaatar, 14171 Mongolia |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 300, FPO AP 96521-0002; P.O. Box 1021, Ulaanbaatar-13 |
| Diplomatic representation from the US: | telephone: [976] (11) 329-095 |
| Diplomatic representation from the US: | FAX: [976] (11) 320-776 |
| Flag description: | three equal, vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol) |
