| Government | Mongolia |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Mongolia |
| Country name: | local short form: Mongol Uls |
| Country name: | former: Outer Mongolia |
| Country name: | local long form: none |
| Government type: | mixed parliamentary/presidential |
| Capital: | Ulaanbaatar |
| Administrative divisions: | 21 provinces (aymguud, singular - aymag) and 1 municipality* (singular - hot); Arhangay, Bayanhongor, Bayan-Olgiy, Bulgan, Darhan Uul, Dornod, Dornogovi, Dundgovi, Dzavhan, Govi-Altay, Govi-Sumber, Hentiy, Hovd, Hovsgol, Omnogovi, Orhon, Ovorhangay, Selenge, Suhbaatar, Tov, Ulaanbaatar*, Uvs |
| Independence: | 11 July 1921 (from China) |
| National holiday: | Independence Day/Revolution Day, 11 July (1921) |
| Constitution: | 12 February 1992 |
| Legal system: | blend of Soviet, German, and US systems that combine "continental" or "civil" code and case-precedent; constitution ambiguous on judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Natsagiyn BAGABANDI (since 20 June 1997) |
| Executive branch: | head of government: Prime Minister Tsakhiagiyn ELBEGDORJ (since 20 August 2004); Deputy Prime Minister Chultem ULAAN (since 28 September 2004) |
| Executive branch: | cabinet: Cabinet appointed by the State Great Hural (parliament) in consultation with the president |
| Executive branch: | elections: presidential candidates nominated by political parties represented in State Great Hural and elected by popular vote for a four-year term; presidential tenure limited to two four-year terms; election last held 20 May 2001 (next to be held in May 2005); following legislative elections, leader of majority party or majority coalition is usually elected prime minister by State Great Hural; election last held 27 June 2004 (next to be held in June 2008) |
| Executive branch: | election results: Natsagiyn BAGABANDI reelected president in 2001; percent of vote - Natsagiyn BAGABANDI (MPRP) 58.13%, Radnaasumbereliyn GONCHIGDORJ (DP) 36.58%, Luvsandamba DASHNYAM (CWP) 3.54%, other 1.75%; Tsakkhiagiyn ELBEGDORJ elected prime minister by the State Great Hural 74 to 0 |
| Legislative branch: | unicameral State Great Hural 76 seats; members elected by popular vote to serve four-year terms |
| Legislative branch: | elections: last held 27 June 2004 (next to be held in June 2008) |
| Legislative branch: | election results: percent of vote by party - MPRP 48.78%, MDC 44.8%, independents 3.5%, Republican Party 1.5%, others 1%; seats by party - MPRP 36, MDC 34, others 4; note - following the June 2004 election, two seats in dispute and unoccupied |
| Judicial branch: | Supreme Court (serves as appeals court for people's and provincial courts but rarely overturns verdicts of lower courts; judges are nominated by the General Council of Courts and approved by the president) |
| Political parties and leaders: | Citizens' Will Republican Party or CWRP (also called Civil Courage Republican Party or CCRP) [Sanjaasurengiin OYUN]; Democratic Party or DP [R. GONCHIKDORJ]; Motherland-Mongolian New Socialist Democratic Party or M-MNSDP [B. ERDENEBAT]; Mongolian People's Revolutionary Party or MPRP [Nambaryn ENKHBAYAR]; Mongolian Republican Party or MRP [B. JARGALSAIKHAN] |
| Political parties and leaders: | note: DP and M-MNSDP formed Motherland-Democracy Coalition (MDC) in 2003 and with CWRP contested June 2004 elections as single party; MDC's leadership dissolved coalition in December 2004 |
| Political pressure groups and leaders: | NA |
| International organization participation: | ARF, AsDB, CP, EBRD, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, ISO, ITU, MIGA, MINURSO, MONUC, NAM, OPCW, OSCE (partner), SCO (observer), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ravdangiyn BOLD |
| Diplomatic representation in the US: | chancery: 2833 M Street NW, Washington, DC 20007 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 298-9227 |
| Diplomatic representation in the US: | telephone: [1] (202) 333-7117 |
| Diplomatic representation from the US: | chief of mission: Ambassador Pamela J. SLUTZ |
| Diplomatic representation from the US: | embassy: Micro Region 11, Big Ring Road, C.P.O. 1021, Ulaanbaatar 13 |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 300, FPO AP 96521-0002 |
| Diplomatic representation from the US: | telephone: [976] (11) 329095 |
| Diplomatic representation from the US: | FAX: [976] (11) 320776 |
| Flag description: | three equal, vertical bands of red (hoist side), blue, and red; centered on the hoist-side red band in yellow is the national emblem ("soyombo" - a columnar arrangement of abstract and geometric representation for fire, sun, moon, earth, water, and the yin-yang symbol) |
