| Government | YEMEN |
| --- | --- |
| Country name: | conventional long form: Republic of Yemen |
| Country name: | conventional short form: Yemen |
| Country name: | local long form: Al Jumhuriyah al Yamaniyah |
| Country name: | local short form: Al Yaman |
| Country name: | former: Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen] |
| Government type: | republic |
| Capital: | name: Sanaa |
| Capital: | geographic coordinates: 15 21 N, 44 12 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 21 governorates (muhafazat, singular - muhafazah) and 1 municipality*; Abyan, 'Adan (Aden), Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, Amanat al 'Asimah (Sanaa City)*, 'Amran, Arkhabil Suqutra (Socotra Archipelago), Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Raymah, Sa'dah, San'a' (Sanaa), Shabwah, Ta'izz |
| Independence: | 22 May 1990 (Republic of Yemen was established with the merger of the Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and the Marxist-dominated People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen]); note - previously North Yemen became independent in November 1918 (from the Ottoman Empire) and became a republic with the overthrow of the theocratic Imamate in 1962; South Yemen became independent on 30 November 1967 (from the UK) |
| National holiday: | Unification Day, 22 May (1990) |
| Constitution: | adopted by referendum 16 May 1991 (following unification); amended several times, last in 2009; note - between March 2014 and January 2015, a presidentially formed Constitutional Drafting Committee drafted a new constitution and President Hadi reviewed it; the draft was slated for final revision by the National Authority, followed by a national referendum; however, with the resignation of the government in late January 2015, constitutional formation has been stalled (2015) |
| Legal system: | mixed legal system of Islamic law, Napoleonic law, English common law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abd Rabuh Mansur HADI (since 21 February 2012); note - President HADI submitted his resignation in late January 2015, but Parliament did not convene to accept it; he later rescinded his resignation and remains the internationally recognized President of Yemen; he fled to Saudi Arabia in late March 2015 but returned in September after government loyalist forces aided by a Saudi-led coalition regained control of Aden from Huthi rebels in July |
| Executive branch: | head of government: Prime Minister Khalid Mahfuz BAHAH; note - BAHAH submitted his resignation in late January 2015, but Parliament did not convene to accept it; BAHAH later rescinded his resignation and remains prime minister; on 13 April he was named vice president, but continues to be the prime minister |
| Executive branch: | cabinet: appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 7-year term (eligible for a second term); last election held on 21 February 2012 (next election NA); note - a special election held on 21 February 2012 to remove Ali Abdallah SALIH under the terms of a Gulf Cooperation Council-mediated deal during the political crisis of 2011; vice president appointed by the president; prime minister appointed by the president |
| Executive branch: | election results: Abd Rabuh Mansur HADI (GPC) elected as a consensus president with about 50% popular participation; no other candidates |
| Legislative branch: | description: bicameral Parliament or Majlis consists of the Shura Council or Majlis Alshoora (111 seats; members appointed by the president; member tenure NA) and the House of Representatives or Majlis al Nuwaab (301 seats; members directly elected in single-seat constituencies by simple majority vote to serve 6-year terms) |
| Legislative branch: | elections: last held on 27 April 2003 (scheduled April 2009 election postponed until February 2015) |
| Legislative branch: | election results: House of Representatives percent of vote by party - NA; seats by party - GPC 238, Islah 47, YSP 6, Nasserite Unionist Party 3, National Arab Socialist Ba'th Party 2, independents 5 |
| Judicial branch: | highest court(s): Supreme Court (consists of the president of the Court, 2 deputies, and nearly 50 judges; court organized into constitutional, civil, commercial, family, administrative, criminal, military, and appeals scrutiny divisions) |
| Judicial branch: | judge selection and term of office: judges appointed by the Supreme Judicial Council, chaired by the president of the republic and consisting of 10 high-ranking judicial officers; judges appointed for life with mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: appeal courts; district or first instance courts; commercial courts |
| Political parties and leaders: | General People's Congress or GPC [Ali Abdallah SALIH] |
| Political parties and leaders: | Islamic Reform Grouping or Islah [Muhammed Abdallah al-YADUMI, Abdul Wahab al-ANSI] |
| Political parties and leaders: | Nasserite Unionist Party [Abdallah NU'MAN] |
| Political parties and leaders: | Yemeni Socialist Party or YSP [Dr. Abd al-Rahman Umar al-SAQQAF] |
| Political parties and leaders: | note: there are at least seven more active political parties |
| Political pressure groups and leaders: | Houthis |
| Political pressure groups and leaders: | Muslim Brotherhood |
| Political pressure groups and leaders: | Women National Committee |
| Political pressure groups and leaders: | other: conservative tribal groups; southern secessionist groups; al-Qa'ida in the Arabian Peninsula (AQAP) |
| International organization participation: | AFESD, AMF, CAEU, CD, EITI (temporarily suspended), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ahmed Awad AHMED bin Mubarak (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 2319 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-4760 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-2017 |
| Diplomatic representation from the US: | note: US embassy operations suspended on 10 February 2015 amid growing violence; in March 2015, a team of US diplomats established the Yemen Affairs Unit in Jeddah, Saudi Arabia |
