| Government | YEMEN |
| --- | --- |
| Country name: | conventional long form: Republic of Yemen |
| Country name: | conventional short form: Yemen |
| Country name: | local long form: Al Jumhuriyah al Yamaniyah |
| Country name: | local short form: Al Yaman |
| Country name: | former: Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen] |
| Country name: | etymology: name derivation remains unclear but may come from the Arab term "yumn" (happiness) and be related to the region's classical name "Arabia Felix" (Fertile or Happy Arabia); the Romans referred to the rest of the peninsula as "Arabia Deserta" (Deserted Arabia) |
| Government type: | in transition |
| Capital: | name: Sanaa |
| Capital: | geographic coordinates: 15 21 N, 44 12 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 22 governorates (muhafazat, singular - muhafazah); Abyan, 'Adan (Aden), Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, Amanat al 'Asimah (Sanaa City), 'Amran, Arkhabil Suqutra (Socotra Archipelago), Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Raymah, Sa'dah, San'a' (Sanaa), Shabwah, Ta'izz |
| Independence: | 22 May 1990 (Republic of Yemen was established with the merger of the Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and the Marxist-dominated People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen]); note - previously North Yemen became independent in November 1918 (from the Ottoman Empire) and became a republic with the overthrow of the theocratic Imamate in 1962; South Yemen became independent on 30 November 1967 (from the UK) |
| National holiday: | Unification Day, 22 May (1990) |
| Constitution: | history: adopted by referendum 16 May 1991 (following unification); amended several times, last in 2009; note - after the National Dialogue ended in January 2015, a presidentially appointed Constitutional Drafting Committee worked to prepare a new draft constitution that was expected to be put to a national referendum before being adopted; however, the president’s resignation in January 2015 and subsequent conflict have interrupted the process (2016) |
| Legal system: | mixed legal system of Islamic law, Napoleonic law, English common law, and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Yemen; if the father is unknown, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Abd Rabuh Mansur HADI (since 21 February 2012); Vice President Ali Mohsin al-AHMAR, Gen. (since 3 April 2016) |
| Executive branch: | head of government: Prime Minister Ahmad Obaid bin DAGHIR (since 3 April 2016) |
| Executive branch: | cabinet: appointed by the president |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 7-year term (eligible for a second term); election last held on 21 February 2012 (next election NA); note - a special election was held on 21 February 2012 to remove Ali Abdallah SALIH under the terms of a Gulf Cooperation Council-mediated deal during the political crisis of 2011; vice president appointed by the president; prime minister appointed by the president |
| Executive branch: | election results: Abd Rabuh Mansur HADI (GPC) elected as a consensus president with about 50% popular participation; no other candidates |
| Legislative branch: | description: bicameral Parliament or Majlis consists of the Shura Council or Majlis Alshoora (111 seats; members appointed by the president; member tenure NA) and the House of Representatives or Majlis al Nuwaab (301 seats; members directly elected in single-seat constituencies by simple majority vote to serve 6-year terms) |
| Legislative branch: | elections: last held on 27 April 2003 (next scheduled for April 2009 but postponed indefinitely) |
| Legislative branch: | election results: House of Representatives percent of vote by party - GPC 58.0%, Islah 22.6%, YSP 3.8%, Unionist Party 1.9%, other 13.7%; seats by party - GPC 238, Islah 46, YSP 8, Nasserist Unionist Party 3, National Arab Socialist Ba'ath Party 2, independent 4 |
| Judicial branch: | highest court(s): Supreme Court (consists of the president of the Court, 2 deputies, and nearly 50 judges; court organized into constitutional, civil, commercial, family, administrative, criminal, military, and appeals scrutiny divisions) |
| Judicial branch: | judge selection and term of office: judges appointed by the Supreme Judicial Council, chaired by the president of the republic and consisting of 10 high-ranking judicial officers; judges appointed for life with mandatory retirement at age 65 |
| Judicial branch: | subordinate courts: appeal courts; district or first instance courts; commercial courts |
| Political parties and leaders: | General People's Congress or GPC [Ali Abdallah SALIH] |
| Political parties and leaders: | National Arab Socialist Ba'ath Party [Qassem Salam SAID] |
| Political parties and leaders: | Nasserist Unionist People's Organization [Abdulmalik al-MEKHLAFI] |
| Political parties and leaders: | Yemeni Reform Grouping or Islah [Muhammed Abdallah al-YADUMI] |
| Political parties and leaders: | Yemeni Socialist Party or YSP [Dr. Abd al-Rahman Umar al-SAQQAF] |
| Political pressure groups and leaders: | Huthis |
| Political pressure groups and leaders: | Muslim Brotherhood |
| Political pressure groups and leaders: | Women National Committee |
| Political pressure groups and leaders: | other: conservative tribal groups; southern secessionist groups; al-Qa'ida in the Arabian Peninsula (AQAP) |
| International organization participation: | AFESD, AMF, CAEU, CD, EITI (temporarily suspended), FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAS, MIGA, MINURSO, MINUSMA, MONUSCO, NAM, OAS (observer), OIC, OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNISFA, UNMIL, UNMIS, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ahmad Awadh BIN MUBARAK (since 3 August 2015) |
| Diplomatic representation in the US: | chancery: 2319 Wyoming Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-4760 |
