| Government | Yemen |
| --- | --- |
| Country name: | conventional long form: Republic of Yemen |
| Country name: | conventional short form: Yemen |
| Country name: | local long form: Al Jumhuriyah al Yamaniyah |
| Country name: | local short form: Al Yaman |
| Country name: | former: Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen] |
| Government type: | republic |
| Capital: | Sanaa |
| Administrative divisions: | 19 governorates (muhafazat, singular - muhafazah); Abyan, 'Adan, Ad Dali', Al Bayda', Al Hudaydah, Al Jawf, Al Mahrah, Al Mahwit, 'Amran, Dhamar, Hadramawt, Hajjah, Ibb, Lahij, Ma'rib, Sa'dah, San'a', Shabwah, Ta'izz |
| Administrative divisions: | note: for electoral and administrative purposes, the capital city of Sanaa is treated as an additional governorate |
| Independence: | 22 May 1990 (Republic of Yemen established with the merger of the Yemen Arab Republic [Yemen (Sanaa) or North Yemen] and the Marxist-dominated People's Democratic Republic of Yemen [Yemen (Aden) or South Yemen]); note - previously North Yemen had become independent in November of 1918 (from the Ottoman Empire) and South Yemen had become independent on 30 November 1967 (from the UK) |
| National holiday: | Unification Day, 22 May (1990) |
| Constitution: | 16 May 1991; amended 29 September 1994 and February 2001 |
| Legal system: | based on Islamic law, Turkish law, English common law, and local tribal customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ali Abdallah SALIH (since 22 May 1990, the former president of North Yemen, assumed office upon the merger of North and South Yemen); Vice President Maj. Gen. Abd al-Rab Mansur al-HADI (since 3 October 1994) |
| Executive branch: | head of government: Prime Minister Abd al-Qadir BA JAMAL (since 4 April 2001) |
| Executive branch: | cabinet: Council of Ministers appointed by the president on the advice of the prime minister |
| Executive branch: | elections: president elected by direct, popular vote for a seven-year term (recently extended from a five-year term by constitutional amendment); election last held 23 September 1999 (next to be held NA 2006); vice president appointed by the president; prime minister and deputy prime ministers appointed by the president |
| Executive branch: | election results: Ali Abdallah SALIH elected president; percent of vote - Ali Abdallah SALIH 96.3%, Najib Qahtan AL-SHAABI 3.7% |
| Legislative branch: | a new constitutional amendment ratified on 20 February 2001 created a bicameral legislature consisting of a Shura Council (111 seats; members appointed by the president) and a House of Representatives (301 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: last held 27 April 2003 (next to be held NA April 2009) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - GPC 228, Islah 47, YSP 7, Nasserite Unionist Party 3, National Arab Socialist Ba'th Party 2, independents 14 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | there are more than 12 political parties active in Yemen, some of the more prominent are: General People's Congress or GPC [President Ali Abdallah SALIH]; Islamic Reform Grouping or Islah [Shaykh Abdallah bin Husayn al-AHMAR]; Nasserite Unionist Party [Abdel Malik al-MAKHLAFI]; National Arab Socialist Ba'th Party [Dr. Qassim SALAAM]; Yemeni Socialist Party or YSP [Ali Salih MUQBIL] |
| Political parties and leaders: | note: President SALIH's General People's Congress or GPC won a landslide victory in the April 1997 legislative election and no longer governs in coalition with Shaykh Abdallah bin Husayn al-AHMAR's Islamic Reform Grouping or Islah - the two parties had been in coalition since the end of the civil war in 1994; the YSP, a loyal opposition party, represents the remnants of the former South Yemeni leadership; leaders of the 1994 secessionist movement have been pardoned by President SALIH and some are now returning to Yemen from exile |
| Political pressure groups and leaders: | NA |
| International organization participation: | AFESD, AMF, CAEU, FAO, G-77, IAEA, IBRD, ICAO, ICCt (signatory), ICFTU, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAS, MIGA, NAM, OAS (observer), OIC, ONUB, OPCW, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNOCI, UPU, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Abd al-Wahab Abdallah al-HAJRI |
| Diplomatic representation in the US: | chancery: Suite 705, 2600 Virginia Avenue NW, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 965-4760 |
| Diplomatic representation in the US: | FAX: [1] (202) 337-2017 |
| Diplomatic representation from the US: | chief of mission: Ambassador Thomas C. KRAJESKI |
| Diplomatic representation from the US: | embassy: Saawan Street, Sanaa |
| Diplomatic representation from the US: | mailing address: P. O. Box 22347, Sanaa |
| Diplomatic representation from the US: | telephone: [967] (1) 303-151 through 159 |
| Diplomatic representation from the US: | FAX: [967] (1) 303-160/161/162/164/165 |
| Flag description: | three equal horizontal bands of red (top), white, and black; similar to the flag of Syria, which has two green stars and of Iraq which has three green stars (plus an Arabic inscription) in a horizontal line centered in the white band; also similar to the flag of Egypt, which has a heraldic eagle centered in the white band |
