| Government | Samoa |
| --- | --- |
| Country name: | conventional long form: Independent State of Samoa |
| Country name: | conventional short form: Samoa |
| Country name: | local long form: Malo Sa'oloto Tuto'atasi o Samoa |
| Country name: | local short form: Samoa |
| Country name: | former: Western Samoa |
| Country name: | etymology: the meaning of Samoa is disputed; some modern explanations are that the "sa" connotesÂ  "sacred" and "moa" indicates "center," so the name can mean "Holy Center"; alternatively, some assertions state that it can mean "place of the sacred moa bird" of Polynesian mythology; the name, however, may go back to Proto-Polynesian (PPn) times (before 1000 B.C.); a plausible PPn reconstruction has the first syllable as "sa'a" meaning "tribe or people" and "moa" meaning "deep sea or ocean" to convey the meaning "people of the deep sea" |
| Government type: | parliamentary republic |
| Capital: | name: Apia |
| Capital: | geographic coordinates: 13 49 S, 171 46 W |
| Capital: | time difference: UTC+13 (18 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in September; ends first Sunday in April |
| Capital: | etymology: name derives from the native village around which the capital was constructed in the 1850s; the village still exists within the larger modern capital |
| Administrative divisions: | 11 districts; A'ana, Aiga-i-le-Tai, Atua, Fa'asaleleaga, Gaga'emauga, Gagaifomauga, Palauli, Satupa'itea, Tuamasaga, Va'a-o-Fonoti, Vaisigano |
| Independence: | 1 January 1962 (from New Zealand-administered UN trusteeship) |
| National holiday: | Independence Day Celebration, 1 June (1962); note - 1 January 1962 is the date of independence from the New Zealand-administered UN trusteeship, but it is observed in June |
| Constitution: | history: several previous (preindependence); latest 1 January 1962 |
| Constitution: | amendments: proposed as an act by the Legislative Assembly; passage requires at least two-thirds majority vote by the Assembly membership in the third reading - provided at least 90 days have elapsed since the second reading, and assent of the chief of state; passage of amendments affecting constitutional articles on customary land or constitutional amendment procedures also requires at least two-thirds majority approval in a referendum; amended several times, last in 2015 |
| Legal system: | mixed legal system of English common law and customary law; judicial review of legislative acts with respect to fundamental rights of the citizen |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Samoa |
| Citizenship: | dual citizenship recognized: no |
