| Government | Samoa |
| --- | --- |
| Country name: | conventional long form: Independent State of Samoa |
| Country name: | conventional short form: Samoa |
| Country name: | local long form: Malo Sa'oloto Tuto'atasi o Samoa |
| Country name: | local short form: Samoa |
| Country name: | former: Western Samoa |
| Government type: | mix of parliamentary democracy and constitutional monarchy |
| Capital: | name: Apia |
| Capital: | geographic coordinates: 13 50 S, 171 45W |
| Capital: | time difference: UTC-11 (6 hours behind Washington, DC during Standard Time) |
| Administrative divisions: | 11 districts; A'ana, Aiga-i-le-Tai, Atua, Fa'asaleleaga, Gaga'emauga, Gagaifomauga, Palauli, Satupa'itea, Tuamasaga, Va'a-o-Fonoti, Vaisigano |
| Independence: | 1 January 1962 (from New Zealand-administered UN trusteeship) |
| National holiday: | Independence Day Celebration, 1 June (1962); note - 1 January 1962 is the date of independence from the New Zealand-administered UN trusteeship, 1 June 1962 is the date that independence is celebrated |
| Constitution: | 1 January 1962 |
| Legal system: | based on English common law and local customs; judicial review of legislative acts with respect to fundamental rights of the citizen; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Chief Tanumafili II MALIETOA (cochief of state from 1 January 1962 until becoming sole chief of state 5 April 1963) |
| Executive branch: | head of government: Prime Minister Sailele Malielegaoi TUILA'EPA (since 1996); note - TUILA'EPA served as deputy prime minister from 1992 and assumed the duties of acting prime minister in 1996, when former Prime Minister TOFILAU Eti Alesana resigned in poor health; TUILA'EPA was confirmed as prime minister (November 1998) after TOFILAU died; Deputy Prime Minister MISA Telefoni (since 2001) |
| Executive branch: | cabinet: Cabinet consists of 12 members, appointed by the chief of state on the prime minister's advice |
| Executive branch: | elections: upon the death of Chief Tanumafili II MALIETOA, a new chief of state will be elected by the Legislative Assembly to serve a five-year term (no term limits); following legislative elections, the leader of the majority party is usually appointed prime minister by the chief of state with the approval of the Legislative Assembly |
| Legislative branch: | unicameral Legislative Assembly or Fono (49 seats - 47 elected by voters affiliated with traditional village-based electoral districts, 2 elected by independent, mostly non-Samoan or part-Samoan, voters who cannot, (or choose not to) establish a village affiliation; only chiefs (matai) may stand for election to the Fono from the 47 village-based electorates; members serve five-year terms) |
| Legislative branch: | elections: election last held 31 March 2006 (next election to be held not later than March 2011) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - HRPP 35, SDUP 10, independents 4 |
| Judicial branch: | Court of Appeal; Supreme Court; District Court; Land and Titles Court |
| Political parties and leaders: | Human Rights Protection Party or HRPP [Sailele Malielegaoi TUILA'EPA]; Samoa Christian Party or TCP [Tuala Tiresa MALIETOA]; Samoa Democratic United Party or SDUP [LE MAMEA Ropati]; Samoa Party or SP [Su'a Rimoni Ah CHONG]; Samoa Progressive Political Party or SPPP [Toeolesulusulu SIUEVA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AsDB, C, FAO, G-77, IBRD, ICAO, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IOC, IPU, ITU, MIGA, OPCW, PIF, Sparteca, SPC, UN, UNCTAD, UNESCO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Aliioaiga Feturi ELISAIA |
| Diplomatic representation in the US: | chancery: 800 Second Avenue, Suite 400D, New York, NY 10017 |
| Diplomatic representation in the US: | telephone: [1] (212) 599-6196, 6197 |
| Diplomatic representation in the US: | FAX: [1] (212) 599-0797 |
| Diplomatic representation from the US: | chief of mission: US Ambassador to New Zealand is accredited to Samoa |
| Diplomatic representation from the US: | embassy: Accident Compensation Board (ACB) Building, 5th Floor, Beach Road, Apia |
| Diplomatic representation from the US: | mailing address: P. O. Box 3430, Apia, 0815 |
| Diplomatic representation from the US: | telephone: [685] 21436/21452/21631/22696 |
| Diplomatic representation from the US: | FAX: [685] 22030 |
| Flag description: | red with a blue rectangle in the upper hoist-side quadrant bearing five white five-pointed stars representing the Southern Cross constellation |
