| Government | Japan |
| International organization participation: | ADB, AfDB (nonregional member), APEC, ARF, ASEAN (dialogue partner), Australia Group, BIS, CD, CE (observer), CERN (observer), CICA (observer), CP, EAS, EBRD, EITI (implementing country), FAO, FATF, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), LAIA (observer), MIGA, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Paris Club, PCA, PIF (partner), SAARC (observer), SELEC (observer), SICA (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNMISS, UNRWA, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Kenichiro SASAE (since 19 November 2012) |
| Diplomatic representation in the US: | chancery: 2520 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2187 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Denver, Detroit, Agana (Guam), Honolulu, Houston, Los Angeles, Miami, Nashville (TN), New York, Portland (OR), San Francisco, Seattle |
| Diplomatic representation in the US: | consulate(s): Anchorage (AK), Saipan (Northern Mariana Islands) |
| Diplomatic representation from the US: | chief of mission: Ambassador Caroline Bouvier KENNEDY (since 19 November 2013) |
| Diplomatic representation from the US: | embassy: 1-10-5 Akasaka, Minato-ku, Tokyo 107-8420 |
| Diplomatic representation from the US: | mailing address: Unit 9800, Box 300, APO AP 96303-0300 |
| Diplomatic representation from the US: | telephone: [81] (03) 3224-5000 |
| Diplomatic representation from the US: | FAX: [81] (03) 3505-1862 |
| Diplomatic representation from the US: | consulate(s) general: Naha (Okinawa), Osaka-Kobe, Sapporo |
| Diplomatic representation from the US: | consulate(s): Fukuoka, Nagoya |
| Flag description: | white with a large red disk (representing the sun without rays) in the center |
| National symbol(s): | red sun disc; chrysanthemum |
| National anthem: | name: "Kimigayo" (The Emperor"s Reign) |
| National anthem: | lyrics/music: unknown/Hiromori HAYASHI |
| National anthem: | note: adopted 1999; in use as unofficial national anthem since 1883; oldest anthem lyrics in the world, dating to the 10th century or earlier; there is some opposition to the anthem because of its association with militarism and worship of the emperor |
