| Government | Japan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Japan |
| Government type: | constitutional monarchy with a parliamentary government |
| Capital: | Tokyo |
| Administrative divisions: | 47 prefectures; Aichi, Akita, Aomori, Chiba, Ehime, Fukui, Fukuoka, Fukushima, Gifu, Gumma, Hiroshima, Hokkaido, Hyogo, Ibaraki, Ishikawa, Iwate, Kagawa, Kagoshima, Kanagawa, Kochi, Kumamoto, Kyoto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Oita, Okayama, Okinawa, Osaka, Saga, Saitama, Shiga, Shimane, Shizuoka, Tochigi, Tokushima, Tokyo, Tottori, Toyama, Wakayama, Yamagata, Yamaguchi, Yamanashi |
| Independence: | 660 BC (traditional founding by Emperor JIMMU) |
| National holiday: | Birthday of Emperor AKIHITO, 23 December (1933) |
| Constitution: | 3 May 1947 |
| Legal system: | modeled after European civil law system with English-American influence; judicial review of legislative acts in the Supreme Court; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: Emperor AKIHITO (since 7 January 1989) |
| Executive branch: | head of government: Prime Minister Junichiro KOIZUMI (since 26 April 2001) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections: Diet designates prime minister; constitution requires that prime minister commands parliamentary majority; following legislative elections, leader of majority party or leader of majority coalition in House of Representatives usually becomes prime minister; KOIZUMI's term as leader of the LDP is scheduled to end in September 2006; a new prime minister may be chosen at that time; monarch is hereditary |
| Legislative branch: | bicameral Diet or Kokkai consists of the House of Councillors or Sangi-in (242 seats - members elected for six-year terms; half reelected every three years; 144 members in multi-seat constituencies and 98 by proportional representation) and the House of Representatives or Shugi-in (480 seats - members elected for four-year terms; 300 in single-seat constituencies; 180 members by proportional representation in 11 regional blocs) |
| Legislative branch: | elections: House of Councillors - last held 11 July 2004 (next to be held in July 2007); House of Representatives - last held 11 September 2005 (next election by September 2009) |
| Legislative branch: | election results: House of Councillors - percent of vote by party - NA; seats by party - LDP 115, DPJ 82, Komeito 24, JCP 9, SDP 5, others 7; distribution of seats as of October 2004 - LDP 114, DPJ 84, Komeito 24, JCP 9, SDP 5, others 6 |
| Legislative branch: | : House of Representatives - percent of vote by party - LDP 47.8%, DPJ 36.4%, others 15.8%; seats by party - LDP 296, DPJ 113, Komeito 31, JCP 9, SDP 7, others 24 (2005) |
| Judicial branch: | Supreme Court (chief justice is appointed by the monarch after designation by the cabinet; all other justices are appointed by the cabinet) |
| Political parties and leaders: | Democratic Party of Japan or DPJ [Seiji MAEHARA, leader; Yukio HATOYAMA, secretary general]; Japan Communist Party or JCP [Kazuo SHII, chairman; Tadayoshi ICHIDA, secretary general]; Komeito [Takenori KANZAKI, president; Tetsuzo FUYUSHIBA, secretary general]; Liberal Democratic Party or LDP [Junichiro KOIZUMI, president; Tsutomu TAKEBE, secretary general]; Social Democratic Party or SDP [Mizuho FUKUSHIMA, chairperson; Seiji MATAICHI, secretary general] |
| Political pressure groups and leaders: | NA |
| International organization participation: | AfDB, APEC, APT, ARF, AsDB, ASEAN (dialogue partner), Australia Group, BIS, CE (observer), CERN (observer), CP, EBRD, FAO, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICFTU, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, LAIA, MIGA, NAM (guest), NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Paris Club, PCA, UN, UN Security Council (temporary), UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNITAR, UNMOVIC, UNRWA, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ryozo KATO |
| Diplomatic representation in the US: | chancery: 2520 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2187 |
| Diplomatic representation in the US: | consulate(s) general: Anchorage, Atlanta, Boston, Chicago, Denver, Detroit, Agana (Guam), Honolulu, Houston, Los Angeles, Miami, New Orleans, New York, Portland (Oregon), San Francisco, and Seattle |
| Diplomatic representation in the US: | consulate(s): Saipan (Northern Mariana Islands) |
| Diplomatic representation from the US: | chief of mission: Ambassador J. Thomas SCHIEFFER |
| Diplomatic representation from the US: | embassy: 10-5 Akasaka 1-chome, Minato-ku, Tokyo 107-8420 |
| Diplomatic representation from the US: | mailing address: Unit 45004, Box 258, APO AP 96337-5004 |
| Diplomatic representation from the US: | telephone: [81] (03) 3224-5000 |
| Diplomatic representation from the US: | FAX: [81] (03) 3505-1862 |
| Diplomatic representation from the US: | consulate(s) general: Naha (Okinawa), Osaka-Kobe, Sapporo |
| Diplomatic representation from the US: | consulate(s): Fukuoka, Nagoya |
| Flag description: | white with a large red disk (representing the sun without rays) in the center |
