| Government | Japan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Japan |
| Country name: | local long form: Nihon-koku/Nippon-koku |
| Country name: | local short form: Nihon/Nippon |
| Government type: | a parliamentary government with a constitutional monarchy |
| Capital: | name: Tokyo |
| Capital: | geographic coordinates: 35 41 N, 139 45 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 47 prefectures; Aichi, Akita, Aomori, Chiba, Ehime, Fukui, Fukuoka, Fukushima, Gifu, Gunma, Hiroshima, Hokkaido, Hyogo, Ibaraki, Ishikawa, Iwate, Kagawa, Kagoshima, Kanagawa, Kochi, Kumamoto, Kyoto, Mie, Miyagi, Miyazaki, Nagano, Nagasaki, Nara, Niigata, Oita, Okayama, Okinawa, Osaka, Saga, Saitama, Shiga, Shimane, Shizuoka, Tochigi, Tokushima, Tokyo, Tottori, Toyama, Wakayama, Yamagata, Yamaguchi, Yamanashi |
| Independence: | 660 B.C. (traditional date of the founding of the nation by Emperor JIMMU; first recognized by Emperor Meiji in 1873) |
| National holiday: | Birthday of Emperor AKIHITO, 23 December (1933) |
| Constitution: | 3 May 1947 |
| Legal system: | modeled after German civil law system with English-American influence; judicial review of legislative acts in the Supreme Court; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 20 years of age; universal |
| Executive branch: | chief of state: Emperor AKIHITO (since 7 January 1989) |
| Executive branch: | head of government: Prime Minister Yukio HATOYAMA (since 16 September 2009); Deputy Prime Minister Naoto KAN (since 16 September 2009) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections: Diet designates prime minister; constitution requires that prime minister commands parliamentary majority; following legislative elections, leader of majority party or leader of majority coalition in House of Representatives usually becomes prime minister; monarch is hereditary |
| Legislative branch: | bicameral Diet or Kokkai consists of the House of Councillors or Sangi-in (242 seats - members elected for fixed six-year terms; half reelected every three years; 146 members in multi-seat constituencies and 96 by proportional representation) and the House of Representatives or Shugi-in (480 seats - members elected for maximum four-year terms; 300 in single-seat constituencies; 180 members by proportional representation in 11 regional blocs); the prime minister has the right to dissolve the House of Representatives at any time with the concurrence of the cabinet. |
| Legislative branch: | elections: House of Councillors - last held 29 July 2007 (next to be held in July 2010); House of Representatives - last held 30 August 2009 (next to be held by August 2013) |
| Legislative branch: | election results: House of Councillors - percent of vote by party - NA; seats by party - DPJ 109, LDP 83, Komeito 20, JCP 7, SDP 5, others 18 |
| Legislative branch: | House of Representatives - percent of vote by party (in single-seat constituencies) - DPJ 42.4%, LDP 26.7%, Komeito 11.5%, JCP 7.0%, SDP 4.3%, others 8.1%; seats by party - DPJ 308, LDP 119, Komeito 21, JCP 9, SDP 7, others 16 (2009) |
| Judicial branch: | Supreme Court (chief justice is appointed by the monarch after designation by the cabinet; all other justices are appointed by the cabinet) |
| Political parties and leaders: | Democratic Party of Japan or DPJ [Yukio HATOYAMA]; Japan Communist Party or JCP [Kazuo SHII]; Komeito [Natsuo YAMAGUCHI]; Liberal Democratic Party or LDP [Sadakazu TANIGAKI]; Social Democratic Party or SDP [Mizuho FUKUSHIMA] |
| Political pressure groups and leaders: | other: business groups; trade unions |
| International organization participation: | ADB, AfDB (nonregional member), APEC, APT, ARF, ASEAN (dialogue partner), Australia Group, BIS, CE (observer), CERN (observer), CP, EAS, EBRD, FAO, G-20, G-5, G-7, G-8, G-10, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, LAIA, MIGA, NEA, NSG, OAS (observer), OECD, OPCW, OSCE (partner), Paris Club, PCA, PIF (partner), SAARC (observer), SECI (observer), UN, UNCTAD, UNDOF, UNESCO, UNHCR, UNIDO, UNITAR, UNRWA, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Ichiro FUJISAKI |
| Diplomatic representation in the US: | chancery: 2520 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 238-6700 |
| Diplomatic representation in the US: | FAX: [1] (202) 328-2187 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Denver, Detroit, Agana (Guam), Honolulu, Houston, Los Angeles, Miami, New York, Portland (Oregon), San Francisco, Seattle |
| Diplomatic representation in the US: | consulate(s): Anchorage, Nashville |
| Diplomatic representation from the US: | chief of mission: Ambassador James V. ROOS |
| Diplomatic representation from the US: | embassy: 1-10-5 Akasaka, Minato-ku, Tokyo 107-8420 |
| Diplomatic representation from the US: | mailing address: Unit 9800, Box 300, APO AP 96303-0300 |
| Diplomatic representation from the US: | telephone: [81] (03) 3224-5000 |
| Diplomatic representation from the US: | FAX: [81] (03) 3505-1862 |
| Diplomatic representation from the US: | consulate(s) general: Naha (Okinawa), Osaka-Kobe, Sapporo |
| Diplomatic representation from the US: | consulate(s): Fukuoka, Nagoya |
| Flag description: | white with a large red disk (representing the sun without rays) in the center |
