| Government | Pakistan |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Pakistan |
| Country name: | conventional short form: Pakistan |
| Country name: | local long form: Jamhuryat Islami Pakistan |
| Country name: | local short form: Pakistan |
| Country name: | former: West Pakistan |
| Government type: | federal republic |
| Capital: | name: Islamabad |
| Capital: | geographic coordinates: 33 42 N, 73 10 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 provinces, 1 territory*, and 1 capital territory**; Balochistan, Federally Administered Tribal Areas*, Islamabad Capital Territory**, North-West Frontier Province, Punjab, Sindh |
| Administrative divisions: | note: the Pakistani-administered portion of the disputed Jammu and Kashmir region consists of two administrative entities: Azad Kashmir and Northern Areas |
| Independence: | 14 August 1947 (from UK) |
| National holiday: | Republic Day, 23 March (1956) |
| Constitution: | 12 April 1973; suspended 5 July 1977, restored with amendments 30 December 1985; suspended 15 October 1999, restored in stages in 2002; amended 31 December 2003; suspended 3 November 2007 |
| Legal system: | based on English common law with provisions to accommodate Pakistan's status as an Islamic state; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal; joint electorates and reserved parliamentary seats for women and non-Muslims |
| Executive branch: | chief of state: President Pervez MUSHARRAF (since 20 June 2001) |
| Executive branch: | note: following an October 1999 military coup, General Pervez MUSHARRAF suspended Pakistan's constitution and assumed the additional title of Chief Executive; in May 2000, Pakistan's Supreme Court validated the 1999 coup and granted MUSHARRAF executive and legislative authority for three years following the coup; in June 2001, MUSHARRAF named himself president, replacing Mohammad Rafiq TARAR; an April 2002 referendum extended MUSHARRAF's presidency by five years |
| Executive branch: | head of government: Prime Minister Shaukat AZIZ (since 28 August 2004) |
| Executive branch: | cabinet: Cabinet appointed by the prime minister |
| Executive branch: | elections: the president is elected by secret ballot (1,170 votes total) through an Electoral College comprising the members of the Senate, National Assembly, and the provincial assemblies for a five-year term; the prime minister is selected by the National Assembly |
| Executive branch: | election results: MUSHARRAF reelected on 6 October 2007 (next election to be held in October 2012); MUSHARRAF 671 votes; Wajihuddin AHMED 8 votes; 6 votes invalid; AZIZ elected Prime Minister by the National Assembly on 27 August 2004 |
| Legislative branch: | bicameral Parliament or Majlis-e-Shoora consists of the Senate (100 seats; members indirectly elected by provincial assemblies and the territories' representatives in the National Assembly to serve six-year terms; one half are elected every three years) and the National Assembly (342 seats; 272 members elected by popular vote; 60 seats reserved for women; 10 seats reserved for non-Muslims; to serve five-year terms) |
| Legislative branch: | elections: Senate - last held in March 2006 (next to be held in March 2009); National Assembly - last held 10 October 2002 (next to be held in January 2008) |
| Legislative branch: | election results: Senate results - percent of vote by party - NA; seats by party - PML 39, MMA 18, PPPP 9, MQM 6, PML/N 4, PkMAP 3, PPP/S 3, ANP 2, BNP/A 1, BNP/M 1, JWP 1, PML/F 1, independents 12; National Assembly results - percent of votes by party - NA; seats by party - PML/Q 126, PPPP 81, MMA 63, PML/N 19, MQM 17, NA 16, PML/F 5, PML/J 3, PPP/S 2, BNP/A 1, JWP 1, PAT 1, PkMAP 1, PML/Z 1, PTI 1, independents 4 |
| Judicial branch: | Supreme Court (justices appointed by the president); Federal Islamic or Shari'a Court |
| Political parties and leaders: | Awami National Party or ANP [Asfandyar Wali KHAN]; Balochistan National Party/Hayee Group or BNP/H [Dr. Hayee BALUCH]; Baluch National Party/Awami or BNP/A [Moheem Khan BALOCH]; Baluch National Party-Mengal or BNP/M [Sardar Ataullah MENGAL]; Jamhoori Watan Party or JWP; Jamiat-al-Hadith or JAH [Sajid MIR]; Jamiat-i-Islami or JI [Qazi Hussain AHMED]; Jamiat Ulema-i-Islam, Fazlur Rehman faction or JUI/F [Fazlur REHMAN]; Jamiat Ulema-i-Islam, Sami ul-HAQ faction or JUI/S [Sami ul-HAQ]; Jamiat Ulema-i-Pakistan or JUP [Shah Faridul HAQ]; Muttahida Majlis-e-Amal or MMA [Qazi Hussain AHMED]; Muttahida Qaumi Movement, or MQM [Altaf HUSSAIN]; National Alliance or NA [Ghulam Mustapha JATOI] (merged with PML); Pakhtun Khwa Milli Awami Party or PkMAP [Mahmood Khan ACHAKZAI]; Pakistan Awami Tehrik or PAT [Tahir ul QADRI]; Pakistan Muslim League, Functional Group or PML/F [Pir PAGARO]; Pakistan Muslim League, Nawaz Sharif faction or PML/N [Nawaz SHARIF]; Pakistan Muslim League or PML [Chaudhry Shujaat HUSSAIN]; note - as of May 2004, the PML/Q changed its name to PML and absorbed the PML/J, PML/Z, and NA; Pakistan People's Party or PPP/S [Aftab Ahmed Khan SHERPAO]; Pakistan People's Party Parliamentarians or PPPP [Benazir BHUTTO]; Pakistan Tehrik-e-Insaaf or PTI [Imran KHAN]; Tehrik-i-Islami [Allama Sajid NAQVI] |
| Political parties and leaders: | note: political alliances in Pakistan can shift frequently |
| Political pressure groups and leaders: | military remains most important political force; ulema (clergy), landowners, industrialists, and small merchants also influential |
| International organization participation: | ARF, AsDB, C (reinstated 2004), CP, ECO, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MINUSTAH, MONUC, NAM, OAS (observer), OIC, ONUB, OPCW, PCA, SAARC, SACEP, SCO (observer), UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNITAR, UNMIL, UNMIS, UNOCI, UNOMIG, UNWTO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Mahmud Ali DURRANI |
| Diplomatic representation in the US: | chancery: 3517 International Court, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-1544 |
| Diplomatic representation in the US: | consulate(s) general: Boston, Chicago, Houston, Los Angeles, New York, Sunnyvale (California) |
| Diplomatic representation from the US: | chief of mission: Ambassador Anne W. PATTERSON |
| Diplomatic representation from the US: | embassy: Diplomatic Enclave, Ramna 5, Islamabad |
| Diplomatic representation from the US: | mailing address: P. O. Box 1048, Unit 62200, APO AE 09812-2200 |
| Diplomatic representation from the US: | telephone: [92] (51) 208-0000 |
| Diplomatic representation from the US: | FAX: [92] (51) 2276427 |
| Diplomatic representation from the US: | consulate(s) general: Karachi |
| Diplomatic representation from the US: | consulate(s): Lahore, Peshawar |
| Flag description: | green with a vertical white band (symbolizing the role of religious minorities) on the hoist side; a large white crescent and star are centered in the green field; the crescent, star, and color green are traditional symbols of Islam |
