| Government | PAKISTAN |
| --- | --- |
| Country name: | conventional long form: Islamic Republic of Pakistan |
| Country name: | conventional short form: Pakistan |
| Country name: | local long form: Jamhuryat Islami Pakistan |
| Country name: | local short form: Pakistan |
| Country name: | former: West Pakistan |
| Government type: | federal republic |
| Capital: | name: Islamabad |
| Capital: | geographic coordinates: 33 41 N, 73 03 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 4 provinces, 1 territory*, and 1 capital territory**; Balochistan, Federally Administered Tribal Areas*, Islamabad Capital Territory**, Khyber Pakhtunkhwa (formerly North-West Frontier Province), Punjab, Sindh |
| Administrative divisions: | note: the Pakistani-administered portion of the disputed Jammu and Kashmir region consists of 2 administrative entities: Azad Kashmir and Gilgit-Baltistan |
| Independence: | 14 August 1947 (from British India) |
| National holiday: | Pakistan Day (also referred to as Pakistan Resolution Day or Republic Day), 23 March (1940); note - commemorates both the adoption of the Lahore Resolution by the All-India Muslim League during its 22-24 March 1940 session, which called for the creation of independent Muslim states, and the adoption of the first constitution of Pakistan on 23 March 1956 during the transition to the Islamic Republic of Pakistan |
| Constitution: | several previous; latest endorsed 12 April 1973, passed 19 April 1973, entered into force 14 August 1973 (suspended and restored several times); amended many times, last in 2015 (2015) |
| Legal system: | common law system with Islamic law influence |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal; note - there are joint electorates and reserved parliamentary seats for women and non-Muslims |
| Executive branch: | chief of state: President Mamnoon HUSSAIN (since 9 September 2013) |
| Executive branch: | head of government: Prime Minister Mohammad Nawaz SHARIF (since 5 June 2013) |
| Executive branch: | cabinet: Cabinet appointed by the president upon the advice of the prime minister |
| Executive branch: | elections/appointments: president indirectly elected by the Electoral College consisting of members of the Senate, National Assembly, and provincial assemblies for a 5-year term (eligible for reelection); election last held on 9 September 2013 (next to be held in 2018); prime minister selected by the National Assembly |
| Executive branch: | election results: Mamnoon HUSSAIN elected president; Mamnoon HUSSAIN (PML-N) 432 votes, Wajihuddin AHMED (PTI) 77 votes |
| Legislative branch: | description: bicameral Parliament or Majlis-e-Shoora consists of the Senate (104 seats; members indirectly elected by the 4 provincial assemblies and the territories' representatives by proportional representation vote; members serve 6-year terms with one-half of the membership renewed every 3 years) and the National Assembly (342 seats; 272 members directly elected in single-seat constituencies by simple majority vote and 70 members - 60 women and 10 non-Muslims - directly elected by proportional representation vote; all members serve 5-year terms) |
| Legislative branch: | elections: Senate - last held on 5 March 2015 (next to be held in March 2018); National Assembly - last held on 11 May 2013 (next to be held by 2018) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - PPPP 27, PML-N 26, MQM 8, ANP 7, PTI 6, JUI-F 5, PML-Q 4, BNP-A 3, NPP 1, PML-F 1, other 10, independent 6; National Assembly - percent of votes by party - NA; seats by party as of June 2013 - PML-N 126, PPPP 31, PTI 28, MQM 18, JUI-F 10, PML-F 5, other 22, independent 25, unfilled seats 7; 60 seats reserved for women, 10 seats reserved for non-Muslims; seats by party as of April 2015 (includes women and non-Muslim seats) - PML-N 188, PPPP 46, PTI 33, MQM 23, JUI-F 13, PML-F 5, other 25, independent 9 |
| Judicial branch: | highest court(s): Supreme Court of Pakistan (consists of the chief justice and 16 judges) |
| Judicial branch: | judge selection and term of office: justices nominated by an 8-member parliamentary committee upon the recommendation of the Judicial Commission (a 9-member body of judges and other judicial professionals), and appointed by the president of Pakistan; justices can serve until age 65 |
| Judicial branch: | subordinate courts: High Courts; Federal Shariat Court; provincial and district civil and criminal courts; specialized courts for issues such as taxation, banking, customs, etc. |
| Political parties and leaders: | Awami National Party or ANP [Asfandyar Wali KHAN] |
| Political parties and leaders: | Balochistan National Party-Awami or BNP-A |
| Political parties and leaders: | Balochistan National Party-Hayee Group or BNP-H [Dr. Abdul Hayee BALOCH] |
| Political parties and leaders: | Balochistan National Party-Mengal or BNP-M [Sardar Akhtar Jan MENGAL] |
| Political parties and leaders: | Jamaat-i Islami or JI [Sirajul HAQ] |
| Political parties and leaders: | Jamhoori Watan Party or JWP [Talal Akbar BUGTI] |
| Political parties and leaders: | Jamiat Ahle Hadith or JAH [Sajid MIR] |
| Political parties and leaders: | Jamiat-i Ulema-i Islam Fazl-ur Rehman or JUI-F [Fazl-ur REHMAN] |
| Political parties and leaders: | Jamiat-i Ulema-i Islam Sami-ul HAQ or JUI-S [Sami ul-HAQ] |
| Political parties and leaders: | Jamiat-i Ulema-i Pakistan or JUP [Abul Khair ZUBAIR] |
| Political parties and leaders: | Tehreek-e-Jafferia Pakistan [Allama Sajid NAQVI] |
| Political parties and leaders: | Muttahida Qaumi Movement or MQM [Altaf HUSSAIN] |
| Political parties and leaders: | Pakhtun-khwa Milli Awami Party or PKMAP [Mahmood Khan ACHAKZAI] |
| Political parties and leaders: | Pakistan Awami Tehrik or PAT [Tahir ul QADRI] |
| Political parties and leaders: | Pakistan Muslim League-Functional or PML-F [Pir PAGARO or Syed ShahMardan SHAH-II] |
| Political parties and leaders: | Pakistan Muslim League-Nawaz or PML-N [Nawaz SHARIF] |
| Political parties and leaders: | Pakistan Muslim League-Quaid-i Azam or PML-Q [Chaudhry Shujaat HUSSAIN] |
| Political parties and leaders: | Pakistan Peoples Party Parliamentarians or PPPP [Bilawal Bhutto ZARDARI, chairman; Asif Ali ZARDARI, president] |
| Political parties and leaders: | Pakistan Tehrik-e Insaaf or PTI [Imran KHAN] |
| Political parties and leaders: | Quami Watan Party or QWP [Aftab Ahmed Khan SHERPAO] |
| Political parties and leaders: | note: political alliances in Pakistan can shift frequently |
| Political pressure groups and leaders: | other: military; ulema (clergy); landowners; industrialists; small merchants |
| International organization participation: | ADB, ARF, ASEAN (dialogue partner), C, CICA, CP, D-8, ECO, FAO, G-11, G-24, G-77, IAEA, IBRD, ICAO, ICC (national committees), ICRM, IDA, IDB, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIC, OPCW, PCA, SAARC, SACEP, SCO (observer), UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Jalil Abbas JILANI (since 10 March 2014) |
| Diplomatic representation in the US: | chancery: 3517 International Court, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 243-6500 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-1544 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Houston, Los Angeles |
| Diplomatic representation in the US: | consulate(s): Louisville (KY), San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Richard OLSON (since 31 October 2012) |
| Diplomatic representation from the US: | embassy: Diplomatic Enclave, Ramna 5, Islamabad |
| Diplomatic representation from the US: | mailing address: 8100 Islamabad Place, Washington, DC 20521-8100 |
| Diplomatic representation from the US: | telephone: [92] (51) 208-0000 |
| Diplomatic representation from the US: | FAX: [92] (51) 227-6427 |
| Diplomatic representation from the US: | consulate(s) general: Karachi |
| Diplomatic representation from the US: | consulate(s): Lahore, Peshawar |
