| Government | Croatia |
| --- | --- |
| Country name: | conventional long form: Republic of Croatia |
| Country name: | conventional short form: Croatia |
| Country name: | local short form: Hrvatska |
| Country name: | local long form: Republika Hrvatska |
| Government type: | presidential/parliamentary democracy |
| Capital: | Zagreb |
| Administrative divisions: | 20 counties (zupanije, zupanija - singular) and 1 city* (grad - singular); Bjelovarsko-Bilogorska Zupanija, Brodsko-Posavska Zupanija, Dubrovacko-Neretvanska Zupanija, Istarska Zupanija, Karlovacka Zupanija, Koprivnicko-Krizevacka Zupanija, Krapinsko-Zagorska Zupanija, Licko-Senjska Zupanija, Medimurska Zupanija, Osjecko-Baranjska Zupanija, Pozesko-Slavonska Zupanija, Primorsko-Goranska Zupanija, Sibensko-Kninska Zupanija, Sisacko-Moslavacka Zupanija, Splitsko-Dalmatinska Zupanija, Varazdinska Zupanija, Viroviticko-Podravska Zupanija, Vukovarsko-Srijemska Zupanija, Zadarska Zupanija, Zagreb*, Zagrebacka Zupanija |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Statehood Day, 25 June (1991) |
| Constitution: | adopted on 22 December 1990 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal (16 years of age, if employed) |
| Executive branch: | chief of state: President Stjepan (Stipe) MESIC (since 18 February 2000) |
| Executive branch: | head of government: Prime Minister Ivica RACAN (since 27 January 2000); Deputy Prime Ministers Goran GRANIC (since 27 January 2000), Ante SIMONIC (since NA July 2002), Slavko LINIC (since 27 January 2000) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and approved by the House of Representatives |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 7 February 2000 (next to be held NA 2005); prime minister nominated by the president in line with the balance of power in the Assembly |
| Executive branch: | note: government coalition - SDP, HSLS, HSS, LP, HNS; a fifth party, the Istrian Democratic Assembly (IDS), withdrew in June 2001 |
| Executive branch: | election results: Stjepan MESIC elected president; percent of vote - Stjepan MESIC (HNS) 56%, Drazen BUDISA (HSLS) 44% |
| Legislative branch: | unicameral Assembly or Sabor (151 seats; members elected by popular vote to serve four-year terms); note - House of Counties was abolished in March 2001 |
| Legislative branch: | election results: Assembly (then referred to as the House of Representatives) - percent of vote by party - NA%; seats by party - HDZ 46, SDP 44, HSLS 24, HSS 17, HSP/HKDU 5, IDS 4, HNS 2, independents 4, minority representatives 5 |
| Legislative branch: | elections: Assembly - last held 2-3 January 2000 (next to be held in the fall of 2003) |
| Judicial branch: | Supreme Court; Constitutional Court; judges for both courts appointed for eight-year terms by the Judicial Council of the Republic, which is elected by the House of Representatives |
| Political parties and leaders: | Alliance of Croatian Coast and Mountains Department or PGS [Luciano SUSANJ]; Croatian Christian Democratic Union or HKDU [Marko VESELICA]; Croatian Democratic Union or HDZ [Ivo SANADER]; Croatian Party of Rights or HSP [Dobroslav PARAGA]; Croatian Peasant Party or HSS [Zlatko TOMCIC]; Croatian People's Party or HNS [Vesna PUSIC]; Croatian Social Liberal Party or HSLS [Drazen BUDISA]; Croatian True Revival Party or HIP [Miroslav TUDJMAN]; Independent Democratic Serb Party or SDSS [Vojislav STANIMIROVIC]; Istrian Democratic Assembly or IDS [Ivan JAKOVCIC]; Liberal Party or LP [leader NA]; Social Democratic Party of Croatia or SDP [Ivica RACAN] |
| Political parties and leaders: | note: the Social Democratic Party or SDP and the Croatian Social Liberal Party or HSLS formed a coalition as did the HSS, HNS, LP, and IDS, which together defeated the Croatian Democratic Union or HDZ in the 2000 lower house parliamentary election; the IDS subsequently left the governing coalition in June 2001 over its inability to win greater autonomy for Istria |
| Political pressure groups and leaders: | NA |
| International organization participation: | BIS, CCC, CE, CEI, EAPC, EBRD, ECE, FAO, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, NAM (observer), OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNMEE, UPU, WHO, WIPO, WMO, WToO, WTrO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ivan GRDESIC |
| Diplomatic representation in the US: | FAX: [1] (202) 588-8936 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation in the US: | telephone: [1] (202) 588-5899 |
| Diplomatic representation in the US: | chancery: 2343 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Lawrence G. ROSSIN |
| Diplomatic representation from the US: | embassy: Andrije Hebranga 2, Zagreb 10000 |
| Diplomatic representation from the US: | mailing address: use street address |
| Diplomatic representation from the US: | telephone: [385] (1) 661-2200 |
| Diplomatic representation from the US: | FAX: [385] (1) 661-2373 |
| Flag description: | red, white, and blue horizontal bands with Croatian coat of arms (red and white checkered) |
