| Government | Croatia |
| --- | --- |
| Country name: | conventional long form: Republic of Croatia |
| Country name: | conventional short form: Croatia |
| Country name: | local long form: Republika Hrvatska |
| Country name: | local short form: Hrvatska |
| Country name: | former: People's Republic of Croatia, Socialist Republic of Croatia |
| Government type: | presidential/parliamentary democracy |
| Capital: | Zagreb |
| Administrative divisions: | 20 counties (zupanije, zupanija - singular) and 1 city* (grad - singular); Bjelovarsko-Bilogorska Zupanija, Brodsko-Posavska Zupanija, Dubrovacko-Neretvanska Zupanija, Istarska Zupanija, Karlovacka Zupanija, Koprivnicko-Krizevacka Zupanija, Krapinsko-Zagorska Zupanija, Licko-Senjska Zupanija, Medimurska Zupanija, Osjecko-Baranjska Zupanija, Pozesko-Slavonska Zupanija, Primorsko-Goranska Zupanija, Sibensko-Kninska Zupanija, Sisacko-Moslavacka Zupanija, Splitsko-Dalmatinska Zupanija, Varazdinska Zupanija, Viroviticko-Podravska Zupanija, Vukovarsko-Srijemska Zupanija, Zadarska Zupanija, Zagreb*, Zagrebacka Zupanija |
| Independence: | 25 June 1991 (from Yugoslavia) |
| National holiday: | Independence Day, 8 October (1991); note - 25 June 1991 is the day the Croatian Parliament voted for independence; following a 3-month moratorium to allow the European Community to solve the Yugoslav crisis peacefully, Parliament adopted a decision on 8 October 1991 to sever constitutional relations with Yugoslavia |
| Constitution: | adopted on 22 December 1990; revised 2000, 2001 |
| Legal system: | based on civil law system |
| Suffrage: | 18 years of age; universal (16 years of age, if employed) |
| Executive branch: | chief of state: President Stjepan (Stipe) MESIC (since 18 February 2000) |
| Executive branch: | head of government: Prime Minister Ivo SANADER (since 9 December 2003); Deputy Prime Ministers Jadranka KOSOR (since 23 December 2003) and Damir POLANEC (since NA February 2005) |
| Executive branch: | cabinet: Council of Ministers named by the prime minister and approved by the parliamentary Assembly |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held 16 January 2005 (next to be held January 2010); the leader of the majority party or the leader of the majority coalition is usually appointed prime minister by the president and then approved by the Assembly |
| Executive branch: | election results: Stjepan MESIC reelected president; percent of vote - Stjepan MESIC (HNS) 66%, Jadranka KOSOR (HDZ) 34% |
| Legislative branch: | unicameral Assembly or Sabor (152 seats; note - one seat was added in the November 2003 parliamentary elections; members elected from party lists by popular vote to serve four-year terms) |
| Legislative branch: | elections: Assembly - last held 23 November 2003 (next to be held in 2007) |
| Legislative branch: | election results: Assembly - percent of vote by party - NA%; number of seats by party - HDZ 66, SDP 34, HSS 10, HNS 10, HSP 8, IDS 4, Libra 3, HSU 3, SDSS 3, other 11 |
| Legislative branch: | note: minority government coalition - HDZ, DC, HSLS, HSU, SDSS |
| Judicial branch: | Supreme Court; Constitutional Court; judges for both courts appointed for eight-year terms by the Judicial Council of the Republic, which is elected by the Assembly |
| Political parties and leaders: | Croatian Bloc or HB [Ivic PASALIC]; Croatian Christian Democratic Union or HKDU [Anto KOVACEVIC]; Croatian Democratic Union or HDZ [Ivo SANADER]; Croatian Party of Rights or HSP [Anto DJAPIC]; Croatian Peasant Party or HSS [Zlatko TOMCIC]; Croatian Pensioner Party or HSU [Vladimir JORDAN]; Croatian People's Party or HNS [Vesna PUSIC] (in 2005 party merged with Libra to become Croatian People's Party-Liberal Democrats or NS-LD [Vesna PUSIC]); Croatian Social Liberal Party or HSLS [Ivan CEHOK]; Croatian True Revival Party or HIP [Miroslav TUDJMAN]; Democratic Centre or DC [Vesna SKARE-OZBOLT]; Independent Democratic Serb Party or SDSS [Vojislav STANIMIROVIC]; Istrian Democratic Assembly or IDS [Ivan JAKOVCIC]; Liberal Party or LS [Zlatko BENASIC]; Party of Liberal Democrats or Libra [Jozo RADOS] (in 2005 merged with HNS); Social Democratic Party of Croatia or SDP [Ivica RACAN] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, BIS, CE, CEI, EAPC, EBRD, FAO, IADB, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO, ITU, MIGA, MINURSO, MINUSTAH, NAM (observer), OAS (observer), OPCW, OSCE, PCA, PFP, UN, UNAMSIL, UNCTAD, UNESCO, UNFICYP, UNIDO, UNMEE, UNMIL, UNMOGIP, UNOCI, UPU, WCO, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Neven JURICA |
| Diplomatic representation in the US: | chancery: 2343 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-5899 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-8936 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Los Angeles, New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ralph FRANK |
| Diplomatic representation from the US: | embassy: 2 Thomas Jefferson, 10010 Zagreb |
| Diplomatic representation from the US: | mailing address: use street address |
| Diplomatic representation from the US: | telephone: [385] (1) 661-2200 |
| Diplomatic representation from the US: | FAX: [385] (1) 661-2373 |
| Flag description: | red, white, and blue horizontal bands with Croatian coat of arms (red and white checkered) |
