| Government | Croatia |
| --- | --- |
| Country name: | conventional long form: Republic of Croatia |
| Country name: | conventional short form: Croatia |
| Country name: | local long form: Republika Hrvatska |
| Country name: | local short form: Hrvatska |
| Country name: | former: People's Republic of Croatia, Socialist Republic of Croatia |
| Country name: | etymology: name derives from the Croats, a Slavic tribe who migrated to the Balkans in the 7th century A.D. |
| Government type: | parliamentary republic |
| Capital: | name: Zagreb |
| Capital: | geographic coordinates: 45 48 N, 16 00 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: the name seems to be related to "digging"; archeologists suggest that the original settlement was established beyond a water-filled hole or "graba" and that the name derives from this; "za" in Slavic means "beyond"; the overall meaning may be "beyond the trench (fault, channel, ditch)" |
| Administrative divisions: | 20 counties (zupanije, zupanija - singular) and 1 city* (grad - singular) with special county status; Bjelovarsko-Bilogorska (Bjelovar-Bilogora), Brodsko-Posavska (Brod-Posavina), Dubrovacko-Neretvanska (Dubrovnik-Neretva), Istarska (Istria), Karlovacka (Karlovac), Koprivnicko-Krizevacka (Koprivnica-Krizevci), Krapinsko-Zagorska (Krapina-Zagorje), Licko-Senjska (Lika-Senj), Medimurska (Medimurje), Osjecko-Baranjska (Osijek-Baranja), Pozesko-Slavonska (Pozega-Slavonia), Primorsko-Goranska (Primorje-Gorski Kotar), Sibensko-Kninska (Sibenik-Knin), Sisacko-Moslavacka (Sisak-Moslavina), Splitsko-Dalmatinska (Split-Dalmatia), Varazdinska (Varazdin), Viroviticko-Podravska (Virovitica-Podravina), Vukovarsko-Srijemska (Vukovar-Syrmia), Zadarska (Zadar), Zagreb*, Zagrebacka (Zagreb county) |
| Independence: | 25 June 1991 (from Yugoslavia); notable earlier dates: ca. 925 (Kingdom of Croatia established); 1 December 1918 (Kingdom of Serbs, Croats, and Slovenes (Yugoslavia) established) |
| National holiday: | Independence Day, 8 October (1991) and Statehood Day, 25 June (1991); note - 25 June 1991 was the day the Croatian parliament voted for independence; following a three-month moratorium to allow the European Community to solve the Yugoslav crisis peacefully, parliament adopted a decision on 8 October 1991 to sever constitutional relations with Yugoslavia |
| Constitution: | history: several previous; latest adopted 22 December 1990 |
