| Government | Monaco |
| --- | --- |
| Country name: | conventional long form: Principality of Monaco |
| Country name: | conventional short form: Monaco |
| Country name: | local long form: Principaute de Monaco |
| Country name: | local short form: Monaco |
| Government type: | constitutional monarchy |
| Capital: | Monaco |
| Administrative divisions: | none; there are no first-order administrative divisions as defined by the US Government, but there are four quarters (quartiers, singular - quartier); Fontvieille, La Condamine, Monaco-Ville, Monte-Carlo |
| Independence: | 1419 (beginning of the rule by the House of Grimaldi) |
| National holiday: | National Day (Prince of Monaco Holiday), 19 November |
| Constitution: | 17 December 1962 |
| Legal system: | based on French law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 21 years of age; universal |
| Executive branch: | chief of state: Prince ALBERT II (since 6 April 2005) |
| Executive branch: | head of government: Minister of State Jean-Paul PROUST (since 1 June 2005) |
| Executive branch: | cabinet: Council of Government is under the authority of the monarch |
| Executive branch: | elections: none; the monarchy is hereditary; minister of state appointed by the monarch from a list of three French national candidates presented by the French Government |
| Legislative branch: | unicameral National Council or Conseil National (24 seats; 16 members elected by list majority system, 8 by proportional representation; to serve five-year terms) |
| Legislative branch: | elections: last held 9 February 2003 (next to be held February 2008) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - UNAM 21, UND 3 |
| Judicial branch: | Supreme Court or Tribunal Supreme (judges appointed by the monarch on the basis of nominations by the National Council) |
| Political parties and leaders: | National and Democratic Union or UND [Jean-Louis CAMPORA]; Union for Monaco or UPM (including National Union for the Future of Monaco or UNAM) [leader NA] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACCT, CE, FAO, IAEA, ICAO, ICC, ICCt (signatory), ICRM, IFRCS, IHO, IMO, Interpol, IOC, ITU, OPCW, OSCE, UN, UNCTAD, UNESCO, UNIDO, UNITAR, UPU, WHO, WIPO, WMO, WToO |
| Diplomatic representation in the US: | Monaco does not have an embassy in the US |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | the US does not have an embassy in Monaco; the US Consul General in Marseille (France) is accredited to Monaco |
| Flag description: | two equal horizontal bands of red (top) and white; similar to the flag of Indonesia which is longer and the flag of Poland which is white (top) and red |
