| Government | Turkmenistan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turkmenistan |
| Country name: | local long form: none |
| Country name: | local short form: Turkmenistan |
| Country name: | former: Turkmen Soviet Socialist Republic |
| Government type: | republic; authoritarian presidential rule, with little power outside the executive branch |
| Capital: | name: Ashgabat (Ashkhabad) |
| Capital: | geographic coordinates: 37 57 N, 58 23 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 provinces (welayatlar, singular - welayat) and 1 independent city*: Ahal Welayaty (Anew), Ashgabat*, Balkan Welayaty (Balkanabat), Dashoguz Welayaty, Lebap Welayaty (Turkmenabat), Mary Welayaty |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 27 October 1991 (from Soviet Union) |
| National holiday: | Independence Day, 27 October (1991) |
| Constitution: | adopted 18 May 1992 |
| Legal system: | based on civil law system and Islamic law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held on 11 February 2007 (next to be held in 2012) |
| Executive branch: | election results: Gurbanguly BERDIMUHAMEDOW elected president; percent of vote - Gurbanguly BERDIMUHAMEDOW 89.2%, Amanyaz ATAJYKOW 3.2%, other candidates 7.6% |
| Legislative branch: | two parliamentary bodies, a People's Council or Halk Maslahaty (supreme legislative body of about 2,500 delegates, some elected by popular vote and some appointed; meets at least yearly) and a National Assembly or Mejlis (50 seats; members are elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: People's Council - last held in April 2003 (next to be held in December 2008); National Assembly - last held 19 December 2004 (next to be held in December 2008) |
| Legislative branch: | election results: People's Council - percent of vote by party - DPT 100%; seats by party - DPT 2,507; National Assembly - percent of vote by party - DPT 100%; seats by party - DPT 50; note - all elected officials are members of the Democratic Party of Turkmenistan and are preapproved by the president |
| Legislative branch: | note: in late 2003, a law was adopted reducing the powers of the National Assembly and making the People's Council the supreme legislative organ; the People's Council can now legally dissolve the National Assembly, and the president is now able to participate in the National Assembly as its supreme leader; the National Assembly can no longer adopt or amend the constitution or announce referendums or its elections; since the president is both the chairman of the People's Council and the supreme leader of the National Assembly, the 2003 law has the effect of making him the sole authority of both the executive and legislative branches of government |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Democratic Party of Turkmenistan or DPT [Gurbanguly BERDIMUHAMEDOW] |
| Political parties and leaders: | note: formal opposition parties are outlawed; unofficial, small opposition movements exist underground or in foreign countries; the two most prominent opposition groups-in-exile have been National Democratic Movement of Turkmenistan (NDMT) and the United Democratic Party of Turkmenistan (UDPT); NDMT was led by former Foreign Minister Boris SHIKHMURADOV until his arrest and imprisonment in the wake of the 25 November 2002 attack on President NYYAZOW's motorcade |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB, CIS, EAPC, EBRD, ECO, FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, SCO (guest), UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Meret Bairamovich ORAZOW |
| Diplomatic representation in the US: | chancery: 2207 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-0697 |
| Diplomatic representation from the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Richard M. MILES |
| Diplomatic representation from the US: | embassy: No. 9 1984 Street (formerly Pushkin Street), Ashgabat, Turkmenistan 744000 |
| Diplomatic representation from the US: | mailing address: 7070 Ashgabat Place, Washington, DC 20521-7070 |
| Diplomatic representation from the US: | telephone: [993] (12) 35-00-45 |
| Diplomatic representation from the US: | FAX: [993] (12) 39-26-14 |
| Flag description: | green field with a vertical red stripe near the hoist side, containing five tribal guls (designs used in producing carpets) stacked above two crossed olive branches; a white crescent moon representing Islam with five white stars representing the regions or welayats of Turkmenistan appear in the upper corner of the field just to the fly side of the red stripe |
