| Government | Turkmenistan |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Turkmenistan |
| Country name: | local long form: none |
| Country name: | local short form: Turkmenistan |
| Country name: | former: Turkmen Soviet Socialist Republic |
| Government type: | defines itself as a secular democracy and a presidential republic; in actuality displays authoritarian presidential rule, with power concentrated within the presidential administration |
| Capital: | name: Ashgabat (Ashkhabad) |
| Capital: | geographic coordinates: 37 57 N, 58 23 E |
| Capital: | time difference: UTC+5 (10 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 5 provinces (welayatlar, singular - welayat) and 1 independent city*: Ahal Welayaty (Anew), Ashgabat*, Balkan Welayaty (Balkanabat), Dashoguz Welayaty, Lebap Welayaty (Turkmenabat), Mary Welayaty |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 27 October 1991 (from the Soviet Union) |
| National holiday: | Independence Day, 27 October (1991) |
| Constitution: | adopted 26 September 2008 |
| Legal system: | civil law system with Islamic law influences |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Gurbanguly BERDIMUHAMEDOW (since 14 February 2007) |
| Executive branch: | cabinet: Cabinet of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a five-year term; election last held on 11 February 2007 (next to be held in February 2012) |
| Executive branch: | election results: Gurbanguly BERDIMUHAMEDOW elected president; percent of vote - Gurbanguly BERDIMUHAMEDOW 89.2%, Amanyaz ATAJYKOW 3.2%, other candidates 7.6% |
| Legislative branch: | unicameral parliament known as the National Assembly (Mejlis) (125 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 14 December 2008 (next to be held in December 2013) |
| Legislative branch: | election results: 100% of elected officials are members of either the Democratic Party of Turkmenistan or its pseudo-civil society parent organization, the Revival Movement, and are preapproved by the president |
| Legislative branch: | note: in 26 September 2008, a new constitution of Turkmenistan abolished a second, 2,507-member legislative body known as the People's Council and expanded the number of deputies in the National Assembly from 65 to 125; the powers formerly held by the People's Council were divided up between the president and the National Assembly |
| Judicial branch: | Supreme Court (judges are appointed by the president) |
| Political parties and leaders: | Democratic Party of Turkmenistan or DPT [Gurbanguly BERDIMUHAMEDOW is chairman; Kasymguly BABAYEW is DPT Political Council First Secretary] |
| Political parties and leaders: | note: formal opposition parties are outlawed; unofficial, small opposition movements exist abroad; the three most prominent opposition groups-in-exile are the National Democratic Movement of Turkmenistan (NDMT), the Republican Party of Turkmenistan, and the Watan (Fatherland) Party; the NDMT was led by former Foreign Minister Boris SHIKHMURADOV until his arrest and imprisonment in the wake of the 25 November 2002 attack on President NYYAZOW's motorcade |
| Political pressure groups and leaders: | none |
| International organization participation: | ADB, CIS (associate member, has not ratified the 1993 CIS charter although it participates in meetings), EAPC, EBRD, ECO, FAO, G-77, IBRD, ICAO, ICRM, IDA, IDB, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO (correspondent), ITU, MIGA, NAM, OIC, OPCW, OSCE, PFP, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO |
| Diplomatic representation in the US: | chief of mission: Ambassador Meret Bairamovich ORAZOW |
| Diplomatic representation in the US: | chancery: 2207 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 588-1500 |
| Diplomatic representation in the US: | FAX: [1] (202) 588-0697 |
| Diplomatic representation from the US: | chief of mission: Ambassador Eileen A. MALLOY |
| Diplomatic representation from the US: | embassy: No. 9 1984 Street (formerly Pushkin Street), Ashgabat, Turkmenistan 744000 |
| Diplomatic representation from the US: | mailing address: 7070 Ashgabat Place, Washington, DC 20521-7070 |
| Diplomatic representation from the US: | telephone: [993] (12) 35-00-45 |
| Diplomatic representation from the US: | FAX: [993] (12) 39-26-14 |
| Flag description: | green field with a vertical red stripe near the hoist side, containing five tribal guls (designs used in producing carpets) stacked above two crossed olive branches; five white stars and a white crescent moon appear in the upper corner of the field just to the fly side of the red stripe; the green color and crescent moon represent Islam; the five stars symbolize the regions or welayats of Turkmenistan; the guls reflect the national identity of Turkmenistan where carpet-making has long been a part of traditional nomadic life |
| Flag description: | note: the flag of Turkmenistan is the most intricate of all national flags |
| National symbol(s): | Akhal-Teke horse |
| National anthem: | name: "Garassyz, Bitarap Turkmenistanyn" (Independent, Neutral, Turkmenistan State Anthem) |
| National anthem: | lyrics/music: collective/Veli MUKHATOV |
| National anthem: | note: adopted 1997, lyrics revised 2008; following the death of the President Saparmurat NYYAZOW, the lyrics were altered to eliminate references to the former president |
