| Government | Liberia |
| --- | --- |
| Country name: | conventional long form: Republic of Liberia |
| Country name: | conventional short form: Liberia |
| Country name: | etymology: name derives from the Latin word "liber" meaning "free"; so named because the nation was created as a homeland for liberated African-American slaves |
| Government type: | presidential republic |
| Capital: | name: Monrovia |
| Capital: | geographic coordinates: 6 18 N, 10 48 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: named after James Monroe (1758-1831), the fifth president of the United States and supporter of the colonization of Liberia by freed slaves; one of two national capitals named for a US president, the other is Washington, D.C. |
| Administrative divisions: | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| Independence: | 26 July 1847 |
| National holiday: | Independence Day, 26 July (1847) |
| Constitution: | history: previous 1847 (at independence); latest drafted 19 October 1983, revised version adopted by referendum 3 July 1984, effective 6 January 1986 |
| Constitution: | amendments: proposed by agreement of at least two thirds of both National Assembly houses or by petition of at least 10,000 citizens; passage requires at least two-thirds majority approval of both houses and approval in a referendum by at least two-thirds majority of registered voters; amended 2011 (2018) |
| Legal system: | mixed legal system of common law, based on Anglo-American law, and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Liberia |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 2 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President George WEAH (since 22 January 2018); Vice President Jewel HOWARD-TAYLOR (since 22 January 2018); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President George WEAH (since 22 January 2018); Vice President Jewel HOWARD-TAYLOR (since 22 January 2018) |
| Executive branch: | cabinet: Cabinet appointed by the president, confirmed by the Senate |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 6-year term (eligible for a second term); election last held on 10 October 2017 with a run-off on 26 December 2017); the runoff originally scheduled for 7 November 2017 was delayed due to allegations of fraud in the first round, which the Supreme Court dismissed |
| Executive branch: | election results: George WEAH elected president in second round; percent of vote in first round - George WEAH (Coalition for Democratic Change) 38.4%, Joseph BOAKAI (UP) 28.8%, Charles BRUMSKINE (LP) 9.6%, Prince JOHNSON (MDR) 8.2%, Alexander B. CUMMINGS (ANC) 7.2%, other 7.8%; percentage of vote in second round - George WEAH 61.5%, Joseph BOAKAI 38.5% |
| Legislative branch: | description: bicameral National Assembly consists of: |
| Legislative branch: | The Liberian Senate (30 seats; members directly elected in 15 2-seat districts by simple majority vote to serve 9-year staggered terms; each district elects 1 senator and elects the second senator 3 years later, followed by a 6-year hiatus, after which the first Senate seat is up for election) |
| Legislative branch: | House of Representatives (73 seats; members directly elected in single-seat districts by simple majority vote to serve 6-year terms; eligible for a second term) |
| Legislative branch: | elections: Senate - last held on 20 December 2014 (originally scheduled for 14 October 2014 but postponed due to Ebola-virus epidemic; next to be held in October 2020); by-elections to fill the senate seats vacated by WEAH and HOWARD-TAYLOR was held on 31 July 2018 |
| Legislative branch: | House of Representatives - last held on 10 October 2017 (next to be held in October 2023) |
| Legislative branch: | election results: Senate - percent of vote by party - CDC 29.8%, UP 10.3%, LP 11.5%, NPP 6.1%, PUP 4.9%, ANC 4.2%, NDC 1.3%, other 7.6%, independent 24.3%; seats by party - UP 4, CDC 2, LP 2, ANC 1, NDC 1, NPP 1, PUP 1, independent 3; composition - men 27, women 3, percent of women 10% |
| Legislative branch: | House of Representatives - percent of vote by party/coalition - Coalition for Democratic Change 15.6%, UP 14%, LP 8.7%, ANC 6.1%, PUP 5.9%, ALP 5.1%, MDR 3.4%, other 41.2%; seats by coalition/party - Coalition for Democratic Change 21, UP 20, PUP 5, LP 3, ALP 3, MDR 2, independent 13, other 6; composition - men 64, women 9, percent of women 12.3%; total Parliament percent of women 11.7% |
| Judicial branch: | highest courts: Supreme Court (consists of a chief justice and 4 associate justices); note - the Supreme Court has jurisdiction for all constitutional cases |
