| Government | Liberia |
| --- | --- |
| Country name: | conventional long form: Republic of Liberia |
| Country name: | conventional short form: Liberia |
| Government type: | republic |
| Capital: | name: Monrovia |
| Capital: | geographic coordinates: 6 18 N, 10 48 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| Independence: | 26 July 1847 |
| National holiday: | Independence Day, 26 July (1847) |
| Constitution: | 6 January 1986 |
| Legal system: | dual system of statutory law based on Anglo-American common law for the modern sector and customary law based on unwritten tribal practices for indigenous sector; accepts compulsory ICJ jurisdiction with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ellen JOHNSON SIRLEAF (since 16 January 2006); note - the President is both the chief of state and head of government |
| Executive branch: | head of government: President Ellen JOHNSON SIRLEAF (since 16 January 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president and confirmed by the Senate |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); election last held 8 November 2005 (next to be held in October 2011) |
| Executive branch: | election results: Ellen JOHNSON SIRLEAF elected president; percent of vote, second round - Ellen JOHNSON SIRLEAF 59.6%, George WEAH 40.4% |
| Legislative branch: | bicameral National Assembly consists of the Senate (30 seats; note - number of seats changed in 11 October 2005 elections; members elected by popular vote to serve nine-year terms) and the House of Representatives (64 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: Senate - last held 11 October 2005 (next to be held in October 2011); House of Representatives - last held 11 October 2005 (next to be held in October 2011) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - COTOL 7, NPP 4, CDC 3, LP 3, UP 3, APD 3, other 7; House of Representatives - percent of vote by party - NA; seats by party - CDC 15, LP 9, COTOL 8, UP 8, APD 5, NPP 4, other 15 |
| Legislative branch: | note: junior senators - those who received the second most votes in each county in the 11 October 2005 election - will only serve a six-year first term because the Liberian constitution mandates staggered Senate elections to ensure continuity of government; all senators will be eligible for nine-year terms thereafter |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Alliance for Peace and Democracy or APD [Togba-na TIPOTEH]; Coalition for the Transformation of Liberia or COTOL [H. Varney SHERMAN]; Congress for Democratic Change or CDC [George WEAH]; Liberty Party or LP [Charles BRUMSKINE]; National Patriotic Party or NPP [Roland MASSAQUOI]; Unity Party or UP [Ellen JOHNSON SIRLEAF] |
| Political pressure groups and leaders: | other: demobilized former military officers |
| International organization participation: | ACP, AfDB, AU, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ITU, ITUC, MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Milton Nathaniel BARNES |
| Diplomatic representation in the US: | chancery: 5201 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 723-0437 |
| Diplomatic representation in the US: | FAX: [1] (202) 723-0436 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Linda THOMAS-GREENFIELD |
| Diplomatic representation from the US: | embassy: 111 United Nations Drive, P. O. Box 98, Mamba Point, 1000 Monrovia, 10 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [231] 7-705-4826 |
| Diplomatic representation from the US: | FAX: [231] 7-701-0370 |
| Flag description: | 11 equal horizontal stripes of red (top and bottom) alternating with white; there is a white five-pointed star on a blue square in the upper hoist-side corner; the design was based on the US flag |
