| Government | Liberia |
| --- | --- |
| Country name: | conventional long form: Republic of Liberia |
| Country name: | conventional short form: Liberia |
| Government type: | republic |
| Capital: | name: Monrovia |
| Capital: | geographic coordinates: 6 18 N, 10 48 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| Independence: | 26 July 1847 |
| National holiday: | Independence Day, 26 July (1847) |
| Constitution: | previous 1847 (at independence); latest drafted 19 October 1983, revised version adopted by referendum 3 July 1984, effective 6 January 1986; amended 2011 (2011) |
| Legal system: | mixed legal system of common law (based on  Anglo-American law) and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ellen JOHNSON SIRLEAF (since 16 January 2006); Vice President Joseph BOAKAI (since 16 January 2006); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Ellen JOHNSON SIRLEAF (since 16 January 2006); Vice President Joseph BOAKAI (since 16 January 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president and confirmed by the Senate |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); elections last held on 11 October and 8 November 2011 (next to be held in 2017) |
| Executive branch: | election results: Ellen JOHNSON SIRLEAF reelected president; percent of vote, second round - Ellen JOHNSON SIRLEAF 90.7%, Winston TUBMAN 9.3% |
| Legislative branch: | bicameral National Assembly consists of the Senate (30 seats; members elected by popular vote to serve nine-year terms) and the House of Representatives (73 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: Senate - last held on 11 October 2011 (next to be held in 2014); House of Representatives - last held on 11 October 2011 (next to be held in 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - UP 10, NPP 6, CDC 3, APD 2, NUDP 2, LDP 1, LP 1, NDC 1, NDPL 1, independents 3; House of Representatives - percent of vote by party - NA; seats by party - UP 24, CDC 11, LP 7, NUDP 6, NDC 5, APD 3, NPP 3, MPC 2, LDP 1, LTP 1, NRP 1, independents 9 |
| Judicial branch: | highest court(s): Supreme Court (consists of a chief Justice and 4 associate justices) |
| Judicial branch: | note - the Supreme Court has jurisdiction for all constitutional cases |
| Judicial branch: | judge selection and term of office: chief justice and associate justices appointed by the president of Liberia with consent of the Senate; judges can serve until age 70 |
| Judicial branch: | subordinate courts: judicial circuit courts; special courts including criminal, civil, labor, traffic; magistrate and traditional or customary courts |
| Political parties and leaders: | Alliance for Peace and Democracy or APD [Marcus S. G. DAHN] |
| Political parties and leaders: | Congress for Democratic Change or CDC [Geraldine DOE-SHERIFF] |
| Political parties and leaders: | Liberia Destiny Party or LDP [Nathaniel BARNES] |
| Political parties and leaders: | Liberty Party or LP [Isreal ARKINSAYAN] |
| Political parties and leaders: | Liberia Transformation Party or LTP [Julius SUKU] |
| Political parties and leaders: | Movement for Progressive Change or MPC [Simeon FREEMAN] |
| Political parties and leaders: | National Democratic Coalition or NDC [Dew MAYSON] |
| Political parties and leaders: | National Democratic Party of Liberia or NDPL [D. Nyandeh SIEH] |
| Political parties and leaders: | National Patriotic Party or NPP [Theophilus C. GOULD] |
| Political parties and leaders: | National Reformist Party or NRP [Maximillian T. W. DIABE] |
| Political parties and leaders: | National Union for Democratic Progress or NUDP [Emmanuel LOMAX] |
| Political parties and leaders: | Unity Party or UP [Varney SHERMAN] |
| Political pressure groups and leaders: | other: demobilized former military officers |
| International organization participation: | ACP, AfDB, AU, ECOWAS, EITI (compliant country), FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, ISO (correspondent), ITU, ITUC (NGOs), MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Jeremiah Congbeh SULUNTEH (since 25 April 2012) |
| Diplomatic representation in the US: | chancery: 5201 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 723-0437 |
| Diplomatic representation in the US: | FAX: [1] (202) 723-0436 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Deborah R. MALAC (since 20 July 2012) |
| Diplomatic representation from the US: | embassy: U.S. Embassy, P.O. Box 98, 502 Benson Street, Monrovia |
| Diplomatic representation from the US: | mailing address: P.O. Box 98, Monrovia |
| Diplomatic representation from the US: | telephone: [231] 77-677-7000 |
| Diplomatic representation from the US: | FAX: [231] 77-677-7370 |
| Flag description: | 11 equal horizontal stripes of red (top and bottom) alternating with white; a white five-pointed star appears on a blue square in the upper hoist-side corner; the stripes symbolize the signatories of the Liberian Declaration of Independence; the blue square represents the African mainland, and the star represents the freedom granted to the ex-slaves; according to the constitution, the blue color signifies liberty, justice, and fidelity, the white color purity, cleanliness, and guilelessness, and the red color steadfastness, valor, and fervor |
| Flag description: | note: the design is based on the US flag |
| National symbol(s): | white star |
| National anthem: | name: "All Hail, Liberia Hail!" |
| National anthem: | lyrics/music: Daniel Bashiel WARNER/Olmstead LUCA |
| National anthem: | note: lyrics adopted 1847, music adopted 1860; the anthem's author would become the third president of Liberia |
