| Government | Liberia |
| --- | --- |
| Country name: | conventional long form: Republic of Liberia |
| Country name: | conventional short form: Liberia |
| Government type: | republic |
| Capital: | name: Monrovia |
| Capital: | geographic coordinates: 6 18 N, 10 48 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 15 counties; Bomi, Bong, Gbarpolu, Grand Bassa, Grand Cape Mount, Grand Gedeh, Grand Kru, Lofa, Margibi, Maryland, Montserrado, Nimba, River Cess, River Gee, Sinoe |
| Independence: | 26 July 1847 |
| National holiday: | Independence Day, 26 July (1847) |
| Constitution: | 6 January 1986 |
| Legal system: | mixed legal system of common law (based on Anglo-American law) and customary law |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Ellen JOHNSON SIRLEAF (since 16 January 2006); note - the President is both the chief of state and head of government |
| Executive branch: | head of government: President Ellen JOHNSON SIRLEAF (since 16 January 2006) |
| Executive branch: | cabinet: Cabinet appointed by the president and confirmed by the Senate |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by popular vote for a six-year term (eligible for a second term); elections last held on 11 October and 8 November 2011 (next to be held in 2017) |
| Executive branch: | election results: Ellen JOHNSON SIRLEAF re-elected president; percent of vote, second round - Ellen JOHNSON SIRLEAF 90.7%, Winston TUBMAN 9.3% |
| Legislative branch: | bicameral National Assembly consists of the Senate (30 seats; members elected by popular vote to serve nine-year terms) and the House of Representatives (73 seats; members elected by popular vote to serve six-year terms) |
| Legislative branch: | elections: Senate - last held on 11 October 2011 (next to be held in 2020); House of Representatives - last held on 11 October 2011 (next to be held 1n 2017) |
| Legislative branch: | election results: Senate - percent of vote by party - NA; seats by party - UP 10, NPP 6, CDC 3, ADP 2, NUDP 2, LDP 1, LP 1, NDC 1, NDP 1, independents 3 ; House of Representatives - percent of vote by party - NA; seats by party - UP 30, CDC 11, LP 7, NUDP 6, NDC 5, ADP 3, NPP3, MPC 2, LDP1, LTP 1, NRP 1, independents 9 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Alliance for Peace and Democracy or APD [Togba-na TIPOTEH]; Congress for Democratic Change or CDC [George WEAH]; Liberty Party or LP [Charles BRUMSKINE]; National Patriotic Party or NPP [Roland MASSAQUOI]; Unity Party or UP [Varney SHERMAN] |
| Political pressure groups and leaders: | other: demobilized former military officers |
| International organization participation: | ACP, AfDB, AU, ECOWAS, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, ITUC, MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires William V. BULL |
| Diplomatic representation in the US: | chancery: 5201 16th Street NW, Washington, DC 20011 |
| Diplomatic representation in the US: | telephone: [1] (202) 723-0437 |
| Diplomatic representation in the US: | FAX: [1] (202) 723-0436 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Linda THOMAS-GREENFIELD |
| Diplomatic representation from the US: | embassy: 111 United Nations Drive, P. O. Box 98, Mamba Point, 1000 Monrovia, 10 |
| Diplomatic representation from the US: | mailing address: use embassy street address |
| Diplomatic representation from the US: | telephone: [231] 7-705-4826 |
| Diplomatic representation from the US: | FAX: [231] 7-701-0370 |
| Flag description: | 11 equal horizontal stripes of red (top and bottom) alternating with white; a white five-pointed star appears on a blue square in the upper hoist-side corner; the stripes symbolize the signatories of the Liberian Declaration of Independence; the blue square represents the African mainland, and the star represents the freedom granted to the ex-slaves; according to the constitution, the blue color signifies liberty, justice, and fidelity, the white color purity, cleanliness, and guilelessness, and the red color steadfastness, valor, and fervor |
| Flag description: | note: the design is based on the US flag |
| National symbol(s): | white star |
| National anthem: | name: "All Hail, Liberia Hail!" |
| National anthem: | lyrics/music: Daniel Bashiel WARNER/Olmstead LUCA |
| National anthem: | note: lyrics adopted 1847, music adopted 1860; the anthem's author would become the third president of Liberia |
