| Government | Brunei |
| --- | --- |
| Country name: | conventional long form: Brunei Darussalam |
| Country name: | conventional short form: Brunei |
| Country name: | local long form: Negara Brunei Darussalam |
| Country name: | local short form: Brunei |
| Government type: | constitutional sultanate |
| Capital: | name: Bandar Seri Begawan |
| Capital: | geographic coordinates: 4 53 N, 114 56 E |
| Capital: | time difference: UTC+8 (13 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 4 districts (daerah-daerah, singular - daerah); Belait, Brunei-Muara, Temburong, Tutong |
| Independence: | 1 January 1984 (from the UK) |
| National holiday: | National Day, 23 February (1984); note - 1 January 1984 was the date of independence from the UK, 23 February 1984 was the date of independence from British protection |
| Constitution: | 29 September 1959 (some provisions suspended under a State of Emergency since December 1962, others since independence on 1 January 1984) |
| Legal system: | based on English common law; for Muslims, Islamic Sharia law supersedes civil law in a number of areas; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age for village elections; universal |
| Executive branch: | chief of state: Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967); note - the monarch is both the chief of state and head of government |
| Executive branch: | head of government: Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967) |
| Executive branch: | cabinet: Council of Cabinet Ministers appointed and presided over by the monarch; deals with executive matters; note - there is also a Religious Council (members appointed by the monarch) that advises on religious matters, a Privy Council (members appointed by the monarch) that deals with constitutional matters, and the Council of Succession (members appointed by the monarch) that determines the succession to the throne if the need arises |
| Executive branch: | elections: none; the monarch is hereditary |
| Legislative branch: | The Sultan appointed a council with 29 members as of 2 September 2005; the council has met in March of each year since then |
| Legislative branch: | elections: last held in March 1962 (date of next election NA) |
| Legislative branch: | note: The Legislative Council met on 25 September 2004 for first time in 20 years with 21 members appointed by the Sultan; it passed constitutional amendments calling for a 45-seat council with 15 elected members |
| Judicial branch: | Supreme Court - chief justice and judges are sworn in by monarch for three-year terms; Judicial Committee of Privy Council in London is final court of appeal for civil cases; Sharia courts deal with Islamic laws (2006) |
| Political parties and leaders: | National Development Party or NDP [YASSIN Affendi] |
| Political parties and leaders: | note: Brunei National Solidarity Party or PPKB [Abdul LATIF bin Chuchu] and People's Awareness Party or PAKAR [Awang Haji MAIDIN bin Haji Ahmad] were deregistered; parties are small and have limited activity |
| Political pressure groups and leaders: | NA |
| International organization participation: | ADB, APEC, APT, ARF, ASEAN, C, EAS, G-77, IBRD, ICAO, ICRM, IDB, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, ISO (correspondent), ITSO, ITU, NAM, OIC, OPCW, UN, UNCTAD, UNESCO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Angela SHIM |
| Diplomatic representation in the US: | chancery: 3520 International Court NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 237-1838 |
| Diplomatic representation in the US: | FAX: [1] (202) 885-0560 |
| Diplomatic representation from the US: | chief of mission: Ambassador William E. TODD |
| Diplomatic representation from the US: | embassy: Third Floor, Teck Guan Plaza, Jalan Sultan, Bandar Seri Begawan, BS8811 |
| Diplomatic representation from the US: | mailing address: PSC 470 (BSB), FPO AP 96507; P.O. Box 2991, Bandar Seri Begawan BS8675, Negara Brunei Darussalam |
| Diplomatic representation from the US: | telephone: [673] 222-0384 |
| Diplomatic representation from the US: | FAX: [673] 222-5293 |
| Flag description: | yellow with two diagonal bands of white (top, almost double width) and black starting from the upper hoist side; the national emblem in red is superimposed at the center; the emblem includes a swallow-tailed flag on top of a winged column within an upturned crescent above a scroll and flanked by two upraised hands |
