| Government | Libya |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Libya |
| Country name: | local long form: none |
| Country name: | local short form: Libiya |
| Government type: | Jamahiriya (a state of the masses) in theory, governed by the populace through local councils; in practice, an authoritarian state |
| Capital: | name: Tripoli (Tarabulus) |
| Capital: | geographic coordinates: 32 53 N, 13 10 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 22 districts (shabiyat, singular - shabiyat); Al Butnan, Al Jabal al Akhdar, Al Jabal al Gharbi, Al Jafarah, Al Jufrah, Al Kufrah, Al Marj, Al Marqab, Al Wahat, An Nuqat al Khams, Az Zawiyah, Banghazi, Darnah, Ghat, Misratah, Murzuq, Nalut, Sabha, Surt, Tarabulus, Wadi al Hayat, Wadi ash Shati |
| Independence: | 24 December 1951 (from UN trusteeship) |
| National holiday: | Revolution Day, 1 September (1969) |
| Constitution: | none; note - following the September 1969 military overthrow of the Libyan government, the Revolutionary Command Council replaced the existing constitution with the Constitutional Proclamation in December 1969; in March 1977, Libya adopted the Declaration of the Establishment of the People's Authority |
| Legal system: | mixed system of civil and Islamic law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Suffrage: | 18 years of age; universal and technically compulsory |
| Executive branch: | note: the United States on 17 July 2011 recognized the Libyan Transitional National Council (TNC) as the legitimate governing authority for Libya until an interim government is in place; the TNC on 8 August 2011 dimissed the members of its Executive Committee, which serves as its executive branch, and only reappointed its chairman; however, the previous members of the Executive Committee continue to be responsible for their assigned portfolios in an acting capacity |
| Executive branch: | chief of state: Transitional National Council Chairman Mustafa Abd al-JALIL (since March 2011) |
| Executive branch: | head of government: Transitional National Council Executive Committee Chairman Abd al-Rahim al-KEEB (since 23 October 2011) |
| Executive branch: | cabinet: a new cabinet was formed by the Transitional National Council Chairman in November 2011 |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: TNC Chairman al-JALIL in August 2011 announced presidential elections to be held in April 2012 |
| Executive branch: | election results: NA |
| Legislative branch: | the United States on 17 July 2011 recognized the Libyan Transitional National Council (TNC) as the legitimate governing authority for Libya; announcement of a new interim government expected in November 2011 |
| Legislative branch: | elections: TNC Chairman al-JALIL in August 2011 announced legislative elections to be held in April 2012 |
| Legislative branch: | election results: NA |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | none |
| Political pressure groups and leaders: | other: anti-QADHAFI Libyan exile movement; Islamic elements |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Ali Suleiman AUJALI |
| Diplomatic representation in the US: | chancery: 2600 Virginia Avenue NW, Suite 705, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-9601 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-9060 |
| Diplomatic representation from the US: | chief of mission: Ambassador Gene A. CRETZ |
| Diplomatic representation from the US: | embassy: off Jaraba Street, behind the Libyan-Swiss clinic, Ben Ashour |
| Diplomatic representation from the US: | mailing address: US Embassy, 8850 Tripoli Place, Washington, DC 20521-8850 |
| Diplomatic representation from the US: | telephone: [218] 91-220-3239 |
| Flag description: | three horizontal bands of red (top), black (double width), and green with a white crescent and star centered on the black stripe; the National Transitional Council reintroduced this flag design of the former Kingdom of Libya (1951-1969) on 27 February 2011; it replaced the former all-green banner promulgated by the QADHAFI regime in 1977; the colors represent the three major regions of the country: red stands for Fezzan , black symbolizes Cyrenaica, and green denotes Tripolitania; the crescent and star represent Islam, the main religion of the country |
| National symbol(s): | star and crescent; hawk |
| National anthem: | name: "Allahu Akbar" (God Is Greatest) |
| National anthem: | lyrics/music: Mahmoud el-SHERIF/Abdalla Shams el-DIN |
| National anthem: | note: adopted 1969; the anthem was originally a battle song for the Egyptian Army in the 1956 Suez War |
