| Government | LIBYA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Libya |
| Country name: | local long form: none |
| Country name: | local short form: Libiya |
| Country name: | note: name derives from the Libu, an ancient Libyan tribe first mentioned in texts from the 13th century B.C. |
| Government type: | in transition |
| Capital: | name: Tripoli (Tarabulus) |
| Capital: | geographic coordinates: 32 53 N, 13 10 E |
| Capital: | time difference: UTC+2 (7 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 22 districts (shabiyat, singular - shabiyat); Al Butnan, Al Jabal al Akhdar, Al Jabal al Gharbi, Al Jafarah, Al Jufrah, Al Kufrah, Al Marj, Al Marqab, Al Wahat, An Nuqat al Khams, Az Zawiyah, Banghazi, Darnah, Ghat, Misratah, Murzuq, Nalut, Sabha, Surt, Tarabulus, Wadi al Hayat, Wadi ash Shati |
| Independence: | 24 December 1951 (from UN trusteeship) |
| National holiday: | Liberation Day, 23 October (2011) |
| Constitution: | previous 1951, 1977; latest 2011 (interim); note - the Constitution Drafting Assembly continued drafting a new constitution as of late 2016 (2016) |
| Legal system: | Libya's post-revolution legal system is in flux and driven by state and non-state entities |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent or grandparent must be a citizen of Libya |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: varies from 3 to 5 years |
| Suffrage: | 18 years of age, universal |
| Executive branch: | chief of state: Chairman, Presidential Council, Fayiz al-SARAJ (since December 2015) |
| Executive branch: | head of government: Prime Minister Fayiz al-SARAJ (since December 2015) |
| Executive branch: | cabinet: new cabinet awaiting approval by the House of Representatives |
| Executive branch: | elections/appointments: NA |
| Executive branch: | election results: NA |
| Legislative branch: | description: unicameral Council of Deputies or Majlis Al Nuwab (200 seats including 32 reserved for women; members elected by direct popular vote; member term NA) |
| Legislative branch: | elections: election last held in June 2014; note - the Libyan Supreme Court in November 2014 declared the House election unconstitutional, but the Council rejected the ruling |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - independent 200; note - not all 200 seats were filled in the June election because of boycotts and lack of security at some polling stations; some elected members of the Council also boycotted the election |
| Judicial branch: | highest court(s): NA; note - government is in transition |
| Political parties and leaders: | NA |
| Political pressure groups and leaders: | NA |
| International organization participation: | ABEDA, AfDB, AFESD, AMF, AMU, AU, BDEAC, CAEU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IDB, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, LAS, MIGA, NAM, OAPEC, OIC, OPCW, OPEC, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Wafa M.T. BUGHAIGHIS (since 5 December 2014) |
| Diplomatic representation in the US: | chancery: 2600 Virginia Avenue NW, Suite 400, Washington, DC 20037 |
| Diplomatic representation in the US: | telephone: [1] (202) 944-9601 |
| Diplomatic representation in the US: | FAX: [1] (202) 944-9606 |
| Diplomatic representation from the US: | chief of mission: Ambassador Peter William BODDE (since 21 December 2015) |
| Diplomatic representation from the US: | note: the embassy was closed in July 2014 due to major fighting near the embassy related to the Libyan civil war; embassy staff and operations were temporarily moved to Tunis, Tunisia |
| Diplomatic representation from the US: | embassy: Sidi Slim Area/Walie Al-Ahed Road, Tripoli |
| Diplomatic representation from the US: | mailing address: US Embassy, 8850 Tripoli Place, Washington, DC 20521-8850 |
| Diplomatic representation from the US: | telephone: [218] (0) 91-220-3239 |
| Flag description: | three horizontal bands of red (top), black (double width), and green with a white crescent and star centered on the black stripe; the National Transitional Council reintroduced this flag design of the former Kingdom of Libya (1951-1969) on 27 February 2011; it replaced the former all-green banner promulgated by the QADHAFI regime in 1977; the colors represent the three major regions of the country: red stands for Fezzan, black symbolizes Cyrenaica, and green denotes Tripolitania; the crescent and star represent Islam, the main religion of the country |
| National symbol(s): | star and crescent, hawk; national colors: red, black, green |
| National anthem: | name: "Libya, Libya, Libya" |
| National anthem: | lyrics/music: Al Bashir AL AREBI/Mohamad Abdel WAHAB |
| National anthem: | note: also known as "Ya Beladi" or "Oh, My Country!"; adopted 1951; readopted 2011 with some modification to the lyrics; during the QADHAFI years between 1969 and 2011, the anthem was "Allahu Akbar," (God is Great) a marching song of the Egyptian Army in the 1956 Suez War |
