| Government | NEW CALEDONIA |
| --- | --- |
| Country name: | conventional long form: Territory of New Caledonia and Dependencies |
| Country name: | conventional short form: New Caledonia |
| Country name: | local long form: Territoire des Nouvelle-Caledonie et Dependances |
| Country name: | local short form: Nouvelle-Caledonie |
| Country name: | etymology: British explorer Captain James COOK discovered and named New Caledonia in 1774; he used the appellation because the northeast of the island reminded him of Scotland (Caledonia is the Latin designation for Scotland) |
| Dependency status: | territorial collectivity (or a sui generis collectivity) of France since 1998; an independence referendum is to take place by November 2018 |
| Government type: | parliamentary democracy (Territorial Congress); an overseas collectivity of France |
| Capital: | name: Noumea |
| Capital: | geographic coordinates: 22 16 S, 166 27 E |
| Capital: | time difference: UTC+11 (16 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 3 provinces; Province Iles (Islands Province), Province Nord (North Province), and Province Sud (South Province) |
| Independence: | none (special collectivity of France); note - a referendum on independence was held in 1998 but was rejected; a new referendum must be held before 2019 |
| National holiday: | Fete de la Federation, 14 July (1790); note - the local holiday is New Caledonia Day, 24 September (1853) |
| Constitution: | 4 October 1958 (French Constitution with changes as reflected in Noumea Accord of 5 May 1998) (2016) |
| Legal system: | civil law system based on French law; the 1988 Matignon Accords (signed in the Matignon Hotel) set up a 10-year period of development during which the Kanak community received substantial autonomy but agreed not to raise the independence issue |
| Citizenship: | see France |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Emmanuel MACRON (since 14 May 2017); represented by High Commissioner Thierry LATASTE (since 20 June 2016) |
| Executive branch: | head of government: President of the Government (vacant); Vice President Jean-Louis D'ANGLEBERME (since 1 April 2015) |
| Executive branch: | cabinet: Cabinet elected from and by the Territorial Congress |
| Executive branch: | elections/appointments: French president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); high commissioner appointed by the French president on the advice of the French Ministry of Interior; president of New Caledonia elected by Territorial Congress for a 5-year term (no term limits); election last held on 10 June 2011 (next to be held in June 2016) |
| Executive branch: | election results: Philippe GERMAINE (Caledonia Together) elected president by Territorial Congress; vote NA |
| Legislative branch: | unicameral Territorial Congress or Congres du Territoire (54 seats; members indirectly selected proportionally by the partisan makeup of the 3 Provincial Assemblies or Assemblees Provinciales; members of the 3 Provincial Assemblies directly elected by proportional representation vote; members serve 5-year terms) |
| Legislative branch: | note: the Customary Senate is the assembly of the various traditional councils of the Kanaks, the indigenous population, which rules on laws affecting the indigenous population; New Caledonia holds 2 seats in the French Senate; elections last held on 28 September 2014 (next to be held not later than September 2017); results - percent of vote by party - NA; seats by party - UMP 2; New Caledonia also elects 2 seats to the French National Assembly; elections last held on 11 and 18 June 2017 (next to be held by June 2022); results - percent of vote by party - NA; seats by party - CE 2 |
| Legislative branch: | elections: last held on 11 May 2014 (next to be held in May 2019); note - the government that was elected on 11 May 2014 collapsed within 6 months leading to a new election on 31 December 2014 which reelected the same government |
| Legislative branch: | election results: percent of vote by party - N/A; seats by party - N/A |
| Legislative branch: | note: as of May 2014, seats by party - CE 13, FLNKS 9, UMP 7, Union for Caledonia in France 6, Build Our Rainbow Nation 6, UNI 6, other 7 |
| Judicial branch: | highest resident court(s): Court of Appeal in Noumea or Cour d'Appel; organized into civil, commercial, social, and pre-trial investigation chambers; court bench normally includes the court president and 2 counsilors); Administrative Court (number of judges NA); note - final appeals beyond the Court of Appeal are referred to the Court of Cassation or Cour de Cassation in Paris; final appeals beyond the Administrative Court are referred to the Administrative Court of Appeal (in Paris) |
| Judicial branch: | judge selection and term of office: judge appointment and tenure based on France's judicial system |
| Judicial branch: | subordinate courts: Courts of First Instance include: civil, juvenile, commercial, labor, police, criminal, assizes, and also a pre-trial investigation chamber; Joint Commerce Tribunal; administrative courts |
| Political parties and leaders: | Build Our Rainbow Nation |
| Political parties and leaders: | Caledonia Together or CE [Philippe GERMAIN] |
| Political parties and leaders: | Caledonian Union or UC [Daniel GOA] |
| Political parties and leaders: | Future Together (l'Avenir Ensemble) [Harold MARTIN] |
| Political parties and leaders: | Kanak Socialist Front for National Liberation or FLNKS (alliance includes PALIKA, UNI, UC, and UPM) [Roch WAMYTAN] |
| Political parties and leaders: | Labor Party (Parti Travailliste) or PT [Louis Kotra UREGEI] |
| Political parties and leaders: | National Union for Independence (Union Nationale pour l'Independance) or UNI |
| Political parties and leaders: | Party of Kanak Liberation (Parti de Liberation Kanak) or PALIKA [Paul NEAOUTYINE] |
| Political parties and leaders: | Socialist Kanak Liberation or LKS [Nidoish NAISSELINE] |
| Political parties and leaders: | The Republicans (formerly The Rally or UMP) [Pierre FROGIER] |
| Political parties and leaders: | Union for Caledonia in France |
| Political pressure groups and leaders: | NA |
| International organization participation: | ITUC (NGOs), PIF (associate member), SPC, UPU, WFTU (NGOs), WMO |
| Diplomatic representation in the US: | none (overseas territory of France) |
| Diplomatic representation from the US: | none (overseas territory of France) |
| Flag description: | New Caledonia has two official flags; alongside the flag of France, the Kanak (indigenous Melanesian) flag has equal status; the latter consists of three equal horizontal bands of blue (top), red, and green; a large yellow disk - diameter two-thirds the height of the flag - shifted slightly to the hoist side is edged in black and displays a black fleche faitiere symbol, a native rooftop adornment |
| National symbol(s): | fleche faitiere (native rooftop adornment), kagu bird; national colors: blue, red, green, yellow, black |
| National anthem: | name: "Soyons unis, devenons freres" (Let Us Be United, Let Us Become Brothers) |
| National anthem: | lyrics/music: Chorale Melodia (a local choir) |
| National anthem: | note: adopted 2008; contains a mixture of lyrics in both French and Nengone (an indigenous language); as a self-governing territory of France, in addition to the local anthem, "La Marseillaise" is official (see France) |
