| Government | Madagascar |
| --- | --- |
| Country name: | conventional long form: Republic of Madagascar |
| Country name: | conventional short form: Madagascar |
| Country name: | local long form: Republique de Madagascar/Repoblikan'i Madagasikara |
| Country name: | local short form: Madagascar/Madagasikara |
| Country name: | former: Malagasy Republic |
| Government type: | republic |
| Capital: | name: Antananarivo |
| Capital: | geographic coordinates: 18 55 S, 47 31 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| Independence: | 26 June 1960 (from France) |
| National holiday: | Independence Day, 26 June (1960) |
| Constitution: | previous 1992; latest passed by referendum 17 November 2010, promulgated 11 December 2010 (2012) |
| Legal system: | civil law system based on the old French civil code and customary law in matters of marriage, family, and obligation |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Andry Nirina RAJOELINA (since 18 March 2009) |
| Executive branch: | head of government: Prime Minister Jean Omer BERIZIKY (since 2 November 2011) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 3 December 2006 (next to be held 20 December 2013); prime minister appointed by the president; note - a power-sharing agreement concluded in September 2011 established conditions for general elections which were repeatedly delayed until eventually held 25 October 2013 (first-round) in which there was no decicive winner, a secound round is scheduled for 20 December 2013 along with parliamentary elections |
| Executive branch: | election results: percent of vote - Marc RAVALOMANANA 54.8%, Jean LAHINIRIKO 11.7%, Roland RATSIRAKA 10.1%, Herizo RAZAFIMAHALEO 9.1%, Norbert RATSIRAHONANA 4.2%, Ny Hasina ANDRIAMANJATO 4.2%, Elia RAVELOMANANTSOA 2.6%, Pety RAKOTONIAINA 1.7%, other 1.6%; note - RAVALOMANANA stepped down on 17 March 2009 |
