| Government | Madagascar |
| --- | --- |
| Country name: | conventional long form: Republic of Madagascar |
| Country name: | conventional short form: Madagascar |
| Country name: | local long form: Republique de Madagascar/Repoblikan'i Madagasikara |
| Country name: | local short form: Madagascar/Madagasikara |
| Country name: | former: Malagasy Republic |
| Country name: | etymology: the name "Madageiscar" was first used by the 13th-century Venetian explorer Marco POLO, as a corrupted transliteration of Mogadishu, the Somali port with which POLO confused the island |
| Government type: | semi-presidential republic |
| Capital: | name: Antananarivo |
| Capital: | geographic coordinates: 18 55 S, 47 31 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the name, which means "City of the Thousand," was bestowed by 17th century King Adrianjakaking to honor the soldiers assigned to guard the city |
| Administrative divisions: | 6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| Independence: | 26 June 1960 (from France) |
| National holiday: | Independence Day, 26 June (1960) |
| Constitution: | history: previous 1992; latest passed by referendum 17 November 2010, promulgated 11 December 2010 |
| Constitution: | amendments: proposed by the president of the republic in consultation with the cabinet or supported by a least two thirds of both the Senate and National Assembly membership; passage requires at least three-fourths approval of both the Senate and National Assembly and approval in a referendum; constitutional articles, including the form and powers of government, the sovereignty of the state, and the autonomy of Madagascarâ€™s collectivities, cannot be amended (2017) |
| Legal system: | civil law system based on the old French civil code and customary law in matters of marriage, family, and obligation |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: the father must be a citizen of Madagascar; in the case of a child born out of wedlock, the mother must be a citizen |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: unknown |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Andry RAJOELINA (since 21Â January 2019) (2019) |
| Executive branch: | head of government: Prime Minister Christian NTSAY (since 6 June 2018 and re-appointedÂ 19 July 2019) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
