| Government | Madagascar |
| --- | --- |
| Country name: | conventional long form: Republic of Madagascar |
| Country name: | conventional short form: Madagascar |
| Country name: | local long form: Republique de Madagascar/Repoblikan'i Madagasikara |
| Country name: | local short form: Madagascar/Madagasikara |
| Country name: | former: Malagasy Republic |
| Government type: | republic |
| Capital: | name: Antananarivo |
| Capital: | geographic coordinates: 18 52 S, 47 30 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| Independence: | 26 June 1960 (from France) |
| National holiday: | Independence Day, 26 June (1960) |
| Constitution: | 19 August 1992 by national referendum |
| Legal system: | based on French civil law system and traditional Malagasy law; accepts compulsory ICJ jurisdiction, with reservations |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Marc RAVALOMANANA (since 6 May 2002) |
| Executive branch: | head of government: Prime Minister Jacques SYLLA (27 May 2002) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 16 December 2001 (next to be held December 2006); prime minister appointed by the president |
| Executive branch: | election results: percent of vote - Marc RAVALOMANANA (TIM) 50.5%, Didier RATSIRAKA (AREMA) 37.7% |
| Legislative branch: | bicameral legislature consists of a National Assembly or Assemblee Nationale (160 seats; members are directly elected by popular vote to serve four-year terms) and a Senate or Senat (100 seats; two-thirds of the seats filled by regional assemblies whose members will be elected by popular vote; the remaining one-third of the seats appointed by the president; all members will serve four-year terms) |
| Legislative branch: | elections: National Assembly - last held 15 December 2002 (next to be held December 2006) |
| Legislative branch: | election results: National Assembly - percent of vote by party - NA%; seats by party - TIM 103, FP 22, AREMA 3, LEADER/Fanilo 2, RPSD 5, others 3, independents 22 |
| Judicial branch: | Supreme Court or Cour Supreme; High Constitutional Court or Haute Cour Constitutionnelle |
| Political parties and leaders: | Association for the Rebirth of Madagascar or AREMA [Pierrot RAJAONARIVO]; Economic Liberalism and Democratic Action for National Recovery or LEADER/Fanilo [Herizo RAZAFIMAHALEO]; Fihaonana Party or FP [Guy-Willy RAZANAMASY]; I Love Madagascar or TIM [Marc RAVALOMANANA]; Renewal of the Social Democratic Party or RPSD [Evariste MARSON] |
| Political pressure groups and leaders: | Committee for the Defense of Truth and Justice or KMMR; Committee for National Reconciliation or CRN [Albert Zafy]; National Council of Christian Churches or FFKM |
| International organization participation: | ACCT, ACP, AfDB, AU, COMESA, FAO, G-77, IAEA, IBRD, ICAO, ICC, ICCt (signatory), ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, InOC, Interpol, IOC, IOM, IPU, ISO (correspondent), ITU, MIGA, NAM, OIF, OPCW, SADC, UN, UNCTAD, UNESCO, UNHCR, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Rajaonarivony NARISOA |
| Diplomatic representation in the US: | chancery: 2374 Massachusetts Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 265-5525, 5526 |
| Diplomatic representation in the US: | FAX: [1] (202) 265-3034 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador James D. MCGEE |
| Diplomatic representation from the US: | embassy: 14-16 Rue Rainitovo, Antsahavola, Antananarivo 101 |
| Diplomatic representation from the US: | mailing address: B. P. 620, Antsahavola, Antananarivo |
| Diplomatic representation from the US: | telephone: [261] (20) 22-212-57, 22-212-73, 22-209-56 |
| Diplomatic representation from the US: | FAX: [261] (20) 22-345-39 |
| Flag description: | two equal horizontal bands of red (top) and green with a vertical white band of the same width on hoist side |
