| Government | Madagascar |
| --- | --- |
| Country name: | conventional long form: Republic of Madagascar |
| Country name: | conventional short form: Madagascar |
| Country name: | local long form: Republique de Madagascar/Repoblikan'i Madagasikara |
| Country name: | local short form: Madagascar/Madagasikara |
| Country name: | former: Malagasy Republic |
| Government type: | republic |
| Capital: | name: Antananarivo |
| Capital: | geographic coordinates: 18 55 S, 47 31 E |
| Capital: | time difference: UTC+3 (8 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | Hi Trent,6 provinces (faritany); Antananarivo, Antsiranana, Fianarantsoa, Mahajanga, Toamasina, Toliara |
| Independence: | 26 June 1960 (from France) |
| National holiday: | Independence Day, 26 June (1960) |
| Constitution: | previous 1992; latest passed by referendum 17 November 2010, promulgated 11 December 2010 (2012) |
| Legal system: | civil law system based on the old French civil code and customary law in matters of marriage, family, and obligation |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Hery Martial RAJAONARIMAMPIANINA Rakotoarimana (since 25 January 2014) |
| Executive branch: | head of government: Prime Minister Roger Laurent Christophe KOLO, M.D. (since 11 April 2014) |
| Executive branch: | cabinet: Council of Ministers appointed by the prime minister |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 20 December 2013 (next to be held in 2018); prime minister nominated by the National Assembly and appointed by the president |
| Executive branch: | election results: Hery RAJAONARIMAMPIANINA elected president in second round; percent of vote - Hery RAJAONARIMAMPIANINA 53.5%, Jean Louis ROBINSON 46.5% |
| Executive branch: | note: on 17 March 2009, democratically elected President Marc RAVALOMANANA stepped down handing the government over to the military, which in turn conferred the presidency on opposition leader and Antananarivo mayor Andry RAJOELINA; a power-sharing agreement established a 15-month transition period to conclude with a general election in 2010, which failed to occur; a subsequent agreement aimed for an early 2013 election - the first round was held on 25 October 2013 and the second on 20 December 2013 |
