| Government | VIETNAM |
| --- | --- |
| Country name: | conventional long form: Socialist Republic of Vietnam |
| Country name: | conventional short form: Vietnam |
| Country name: | local long form: Cong Hoa Xa Hoi Chu Nghia Viet Nam |
| Country name: | local short form: Viet Nam |
| Country name: | abbreviation: SRV |
| Country name: | etymology: "Viet nam" translates as "Viet south," where "Viet" is an ethnic self identification dating to a second century B.C. kingdom and "nam" refers to its location in relation to other Viet kingdoms |
| Government type: | communist state |
| Capital: | name: Hanoi (Ha Noi) |
| Capital: | geographic coordinates: 21 02 N, 105 51 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 58 provinces (tinh, singular and plural) and 5 municipalities (thanh pho, singular and plural) |
| Administrative divisions: | provinces: An Giang, Bac Giang, Bac Kan, Bac Lieu, Bac Ninh, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Cao Bang, Dak Lak, Dak Nong, Dien Bien, Dong Nai, Dong Thap, Gia Lai, Ha Giang, Ha Nam, Ha Tinh, Hai Duong, Hau Giang, Hoa Binh, Hung Yen, Khanh Hoa, Kien Giang, Kon Tum, Lai Chau, Lam Dong, Lang Son, Lao Cai, Long An, Nam Dinh, Nghe An, Ninh Binh, Ninh Thuan, Phu Tho, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Ninh, Quang Tri, Soc Trang, Son La, Tay Ninh, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien-Hue, Tien Giang, Tra Vinh, Tuyen Quang, Vinh Long, Vinh Phuc, Yen Bai |
| Administrative divisions: | municipalities: Can Tho, Da Nang, Ha Noi, Hai Phong, Ho Chi Minh City (Saigon) |
| Independence: | 2 September 1945 (from France) |
| National holiday: | Independence Day (National Day), 2 September (1945) |
| Constitution: | several previous; latest adopted 15 April 1992, effective 1 January 1995; amended 2001, 2013 (2016) |
| Legal system: | civil law system; note - the civil code of 2005 reflects a European-style civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Vietnam |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tran Dai QUANG (since 2 April 2016); Vice President Dang Thi Ngoc THINH (since 7 April 2016) |
| Executive branch: | head of government: Prime Minister Nguyen Xuan PHUC (since 7 April 2016); Deputy Prime Ministers Truong Hoa BINH (since 9 April 2016), Vuong Dinh HUE (since 9 April 2016), Vu Duc DAM (since 13 November 2013), Trinh Dinh DUNG (since 9 April 2016), Pham Binh MINH (since 13 November 2013) |
| Executive branch: | cabinet: Cabinet proposed by prime minister, appointed by the president, and confirmed by the National Assembly |
| Executive branch: | elections/appointments: president indirectly elected by National Assembly from among its members for a single 5-year term; election last held on 2 April 2016 (next to be held in spring 2021); prime minister appointed by the president from among members of the National Assembly, confirmed by National Assembly; deputy prime ministers appointed by the prime minister, confirmed by National Assembly |
| Executive branch: | election results: Tran Dai QUANG (CPV) elected president; percent of National Assembly vote - 98.9%; Nguyen Xuan PHUC elected prime minister; percent of National Assembly vote - 91.0% |
| Legislative branch: | description: unicameral National Assembly or Quoc Hoi (500 seats; members directly elected by absolute majority vote with a second round if needed; members serve 5-year terms) |
| Legislative branch: | elections: last held on 22 May 2016 (next to be held in May 2021) |
| Legislative branch: | election results: percent of vote by party - CPV 95.8%, non-party members 4.2%; seats by party - CPV 473, non-party CPV-approved 19, self-nominated 2; note - 496 candidates elected, 2 CPV candidates-elect were disqualified |
| Judicial branch: | highest court(s): Supreme People's Court (consists of the chief justice and 13 judges) |
| Judicial branch: | judge selection and term of office: chief justice elected by the National Assembly on the recommendation of the president for a 5-year, renewable term; other judges appointed by the president for 5-year terms |
| Judicial branch: | subordinate courts: Court of Appeals; administrative, civil, criminal, economic, and labor courts; Central Military Court; People's Special Courts; note - the National Assembly can establish special tribunals |
| Political parties and leaders: | Communist Party of Vietnam or CPV [Nguyen Phu TRONG] |
| Political parties and leaders: | note: other parties proscribed |
| Political pressure groups and leaders: | 8406 Bloc |
| Political pressure groups and leaders: | Democratic Party of Vietnam or DPV |
| Political pressure groups and leaders: | People's Democratic Party Vietnam or PDP-VN |
| Political pressure groups and leaders: | Alliance for Democracy |
| Political pressure groups and leaders: | note: these groups advocate democracy but are not recognized by the government |
| International organization participation: | ADB, APEC, ARF, ASEAN, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Pham Quang VINH (since 23 February 2015) |
| Diplomatic representation in the US: | chancery: 1233 20th Street NW, Suite 400, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 861-0737 |
| Diplomatic representation in the US: | FAX: [1] (202) 861-0917 |
| Diplomatic representation in the US: | consulate(s) general: Houston, San Francisco |
| Diplomatic representation in the US: | consulate: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Ted G. OSIUS III (since 16 December 2014) |
| Diplomatic representation from the US: | embassy: 7 Lang Ha Street, Hanoi |
| Diplomatic representation from the US: | mailing address: 7 Lang Ha Street, Ba Dinh District, Hanoi; 4550 Hanoi Place, Washington, DC 20521-4550 |
| Diplomatic representation from the US: | telephone: [84] (4) 3850-5000 |
| Diplomatic representation from the US: | FAX: [84] (4) 3850-5010 |
| Diplomatic representation from the US: | consulate(s) general: Ho Chi Minh City |
