| Government | Vietnam |
| --- | --- |
| Country name: | conventional long form: Socialist Republic of Vietnam |
| Country name: | conventional short form: Vietnam |
| Country name: | local long form: Cong Hoa Xa Hoi Chu Nghia Viet Nam |
| Country name: | local short form: Viet Nam |
| Country name: | abbreviation: SRV |
| Country name: | etymology: "Viet nam" translates as "Viet south," where "Viet" is an ethnic self identification dating to a second century B.C. kingdom and "nam" refers to its location in relation to other Viet kingdoms |
| Government type: | communist state |
| Capital: | name: Hanoi (Ha Noi) |
| Capital: | geographic coordinates: 21 02 N, 105 51 E |
| Capital: | time difference: UTC+7 (12 hours ahead of Washington, DC, during Standard Time) |
| Capital: | etymology: the city has had many names in its history going back to A.D. 1010 when it first became the capital of imperial Vietnam; in 1831, it received its current name of Ha Noi, meaning "between the rivers," which refers to its geographic location |
| Administrative divisions: | 58 provinces (tinh, singular and plural) and 5 municipalities (thanh pho, singular and plural) |
| Administrative divisions: | provinces: An Giang, Bac Giang, Bac Kan, Bac Lieu, Bac Ninh, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Cao Bang, Dak Lak, Dak Nong, Dien Bien, Dong Nai, Dong Thap, Gia Lai, Ha Giang, Ha Nam, Ha Tinh, Hai Duong, Hau Giang, Hoa Binh, Hung Yen, Khanh Hoa, Kien Giang, Kon Tum, Lai Chau, Lam Dong, Lang Son, Lao Cai, Long An, Nam Dinh, Nghe An, Ninh Binh, Ninh Thuan, Phu Tho, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Ninh, Quang Tri, Soc Trang, Son La, Tay Ninh, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien-Hue, Tien Giang, Tra Vinh, Tuyen Quang, Vinh Long, Vinh Phuc, Yen Bai |
| Administrative divisions: | municipalities: Can Tho, Da Nang, Ha Noi (Hanoi), Hai Phong, Ho Chi Minh City (Saigon) |
| Independence: | 2 September 1945 (from France) |
| National holiday: | Independence Day (National Day), 2 September (1945) |
| Constitution: | history: several previous; latest adopted 28 November 2013, effective 1 January 2014 |
| Constitution: | amendments: proposed by the president, by the National Assemblyâ€™s Standing Committee, or by at least two thirds of the National Assembly membership; a decision to draft an amendment requires approval by at least a two-thirds majority vote of the Assembly membership, followed by the formation of a constitutional drafting committee to write a draft and collect citizensâ€™ opinions; passage requires at least two-thirds majority of the Assembly membership; the Assembly can opt to conduct a referendum |
| Legal system: | civil law system; note - the civil code of 2005 reflects a European-style civil law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; non-party state to the ICCt |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Vietnam |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nguyen Phu TRONG (since 23 October 2018); note - President Tran Dai QUANG (since 2 April 2016) died on 21 September 2018Â  |
| Executive branch: | head of government: Prime Minister Nguyen Xuan PHUC (since 7 April 2016); Deputy Prime Ministers Truong Hoa BINH (since 9 April 2016), Vuong Dinh HUE (since 9 April 2016), Vu Duc DAM (since 13 November 2013), Trinh Dinh DUNG (since 9 April 2016), Pham Binh MINH (since 13 November 2013)Â  |
| Executive branch: | cabinet: Cabinet proposed by prime minister confirmed by the National Assembly and appointed by the presidentÂ  |
| Executive branch: | elections/appointments: president indirectly elected by National Assembly from among its members for a single 5-year term; election last held on 2 April 2016 (next to be held in spring 2021); prime minister recommended by the president and confirmed by National Assembly; deputy prime ministers confirmed by the National Assembly and appointed by the president |
| Executive branch: | election results: Nguyen Phu TRONG (CPV) elected president; percent of National Assembly vote - 99.8%; Nguyen Xuan PHUC elected prime minister; percent of National Assembly vote - 91% |
| Legislative branch: | description: unicameral National Assembly or Quoc Hoi (500 seats - number following 2016 election - 494; number of current serving members - 484; members directly elected in multi-seat constituencies by absolute majority vote; members serve 5-year terms) |
| Legislative branch: | elections: last held on 22 May 2016 (next to be held in May 2021) |
| Legislative branch: | election results: percent of vote by party -CPV 95.8%, non-party members 4.2%; seats by party - CPV 474, non-party CPV-approved 20, self-nominated 2; note - 494 candidates elected, 2 CPV candidates-elect were disqualified; composition - men 364, women 122, percent of women 26.6% |
| Judicial branch: | highest courts: Supreme People's Court (consists of the chief justice and 13 judges) |
| Judicial branch: | judge selection and term of office: chief justice elected by the National Assembly upon the recommendation of the president for a 5-year, renewable term; deputy chief justice appointed by the president from among the judges for a 5-year term; judges appointed by the president and confirmed by the National Assembly for 5-year terms |
| Judicial branch: | subordinate courts: High Courts (administrative, civil, criminal, economic, labor, family, juvenile); provincial courts; district courts; Military Court; note - the National Assembly Standing Committee can establish special tribunals upon the recommendation of the chief justice |
| Political parties and leaders: | Communist Party of Vietnam or CPV [Nguyen Phu TRONG] |
| Political parties and leaders: | note: other parties proscribed |
| International organization participation: | ADB, APEC, ARF, ASEAN, CICA, CP, EAS, FAO, G-77, IAEA, IBRD, ICAO, ICC (NGOs), ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, MIGA, NAM, OIF, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNWTO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Ha Kim NGOC (since 17 September 2018) |
| Diplomatic representation in the US: | chancery: 1233 20th Street NW, Suite 400, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 861-0737 |
| Diplomatic representation in the US: | FAX: [1] (202) 861-0917 |
| Diplomatic representation in the US: | consulate(s) general: Houston, San Francisco |
| Diplomatic representation in the US: | consulate(s): New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Daniel KRITENBRINK (since 6 November 2017) |
