| Government | Vietnam |
| --- | --- |
| Country name: | conventional long form: Socialist Republic of Vietnam |
| Country name: | conventional short form: Vietnam |
| Country name: | local long form: Cong Hoa Xa Hoi Chu Nghia Viet Nam |
| Country name: | local short form: Viet Nam |
| Country name: | abbreviation: SRV |
| Government type: | Communist state |
| Capital: | Hanoi |
| Administrative divisions: | 59 provinces (tinh, singular and plural) and 5 municipalities (thu do, singular and plural) |
| Administrative divisions: | : provinces: An Giang, Bac Giang, Bac Kan, Bac Lieu, Bac Ninh, Ba Ria-Vung Tau, Ben Tre, Binh Dinh, Binh Duong, Binh Phuoc, Binh Thuan, Ca Mau, Cao Bang, Dac Lak, Dac Nong, Dien Bien, Dong Nai, Dong Thap, Gia Lai, Ha Giang, Hai Duong, Ha Nam, Ha Tay, Ha Tinh, Hau Giang, Hoa Binh, Hung Yen, Khanh Hoa, Kien Giang, Kon Tum, Lai Chau, Lam Dong, Lang Son, Lao Cai, Long An, Nam Dinh, Nghe An, Ninh Binh, Ninh Thuan, Phu Tho, Phu Yen, Quang Binh, Quang Nam, Quang Ngai, Quang Ninh, Quang Tri, Soc Trang, Son La, Tay Ninh, Thai Binh, Thai Nguyen, Thanh Hoa, Thua Thien-Hue, Tien Giang, Tra Vinh, Tuyen Quang, Vinh Long, Vinh Phuc, Yen Bai |
| Administrative divisions: | : municipalities: Can Tho, Da Nang, Hai Phong, Hanoi, Ho Chi Minh |
| Independence: | 2 September 1945 (from France) |
| National holiday: | Independence Day, 2 September (1945) |
| Constitution: | 15 April 1992 |
| Legal system: | based on communist legal theory and French civil law system |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tran Duc LUONG (since 24 September 1997) |
| Executive branch: | head of government: Prime Minister Phan Van KHAI (since 25 September 1997); First Deputy Prime Minister Nguyen Tan DUNG (since 29 September 1997); Deputy Prime Ministers Vu KHOAN (8 August 2002) and Pham Gia KHIEM (since 29 September 1997) |
| Executive branch: | cabinet: Cabinet appointed by president based on proposal of prime minister and ratification of National Assembly |
| Executive branch: | elections: president elected by the National Assembly from among its members for a five-year term; election last held 25 July 2002 (next to be held when National Assembly meets following legislative elections in 2007); prime minister appointed by the president from among the members of the National Assembly; deputy prime ministers appointed by the prime minister |
| Executive branch: | election results: Tran Duc LUONG elected president; percent of National Assembly vote - NA% |
| Legislative branch: | unicameral National Assembly or Quoc-Hoi (498 seats; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held 19 May 2002 (next to be held 2007) |
| Legislative branch: | election results: percent of vote by party - CPV 90%, other 10% (the 10% are not CPV members but are approved by the CPV to stand for election); seats by party - CPV 447, CPV-approved 51 |
| Judicial branch: | Supreme People's Court (chief justice is elected for a five-year term by the National Assembly on the recommendation of the president) |
| Political parties and leaders: | only party - Communist Party of Vietnam or CPV [Nong Duc MANH, general secretary] |
| Political pressure groups and leaders: | none |
| International organization participation: | ACCT (observer), APEC, APT, ARF, AsDB, ASEAN, CP, FAO, G-77, IAEA, IBRD, ICAO, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MIGA, NAM, OPCW, UN, UNCTAD, UNESCO, UNIDO, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Nguyen Tam CHIEN |
| Diplomatic representation in the US: | chancery: 1233 20th Street NW, Suite 400, Washington, DC 20036 |
| Diplomatic representation in the US: | telephone: [1] (202) 861-0737 |
| Diplomatic representation in the US: | FAX: [1] (202) 861-0917 |
| Diplomatic representation in the US: | consulate(s) general: San Francisco |
| Diplomatic representation from the US: | chief of mission: Ambassador Michael W. MARINE |
| Diplomatic representation from the US: | embassy: 7 Lang Ha Road, Ba Dinh District, Hanoi |
| Diplomatic representation from the US: | mailing address: PSC 461, Box 400, FPO AP 96521-0002 |
| Diplomatic representation from the US: | telephone: [84] (4) 772-1500 |
| Diplomatic representation from the US: | FAX: [84] (4) 772-1510 |
| Diplomatic representation from the US: | consulate(s) general: Ho Chi Minh City |
| Flag description: | red with a large yellow five-pointed star in the center |
