| Government | Timor-Leste |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Timor-Leste |
| Country name: | conventional short form: Timor-Leste |
| Country name: | local long form: Republika Demokratika Timor Lorosa'e [Tetum]; Republica Democratica de Timor-Leste [Portuguese] |
| Country name: | local short form: Timor Lorosa'e [Tetum]; Timor-Leste [Portuguese] |
| Country name: | former: East Timor, Portuguese Timor |
| Government type: | republic |
| Capital: | name: Dili |
| Capital: | geographic coordinates: 8 35 S, 125 36 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 13 administrative districts; Aileu, Ainaro, Baucau, Bobonaro (Maliana), Cova-Lima (Suai), Dili, Ermera, Lautem (Los Palos), Liquica, Manatuto, Manufahi (Same), Oecussi (Ambeno), Viqueque |
| Independence: | 28 November 1975 (independence proclaimed from Portugal); note - 20 May 2002 is the official date of international recognition of Timor-Leste's independence from Indonesia |
| National holiday: | Independence Day, 28 November (1975) |
| Constitution: | 22 March 2002 (based on the Portuguese model) |
| Legal system: | UN-drafted legal system based on Indonesian law remains in place but is to be replaced by civil and penal codes based on Portuguese law; these have passed but have not been promulgated; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Jose RAMOS-HORTA (since 20 May 2007); note - the president plays a largely symbolic role but is able to veto legislation, dissolve parliament, and call national elections |
| Executive branch: | head of government: Prime Minister Kay Rala Xanana GUSMAO (since 8 August 2007), note - he formerly used the name Jose Alexandre GUSMAO; Deputy Prime Minister Jose Luis GUTERRES (since 8 August 2007) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held on 9 April 2007 with run-off on 8 May 2007 (next to be held in May 2012); following elections, president appoints leader of majority party or majority coalition as prime minister |
| Executive branch: | election results: Jose RAMOS-HORTA elected president; percent of vote - Jose RAMOS-HORTA 69.2%, Francisco GUTTERES 30.8% |
| Legislative branch: | unicameral National Parliament (number of seats can vary from 52 to 65; members elected by popular vote to serve five-year terms) |
| Legislative branch: | elections: last held on 30 June 2007 (next elections due by June 2012) |
| Legislative branch: | election results: percent of vote by party - FRETILIN 29%, CNRT 24.1%, ASDT-PSD 15.8%, PD 11.3%, PUN 4.5%, KOTA-PPT (Democratic Alliance) 3.2%, UNTERDIM 3.2%, others 8.9%; seats by party - FRETILIN 21, CNRT 18, ASDT-PSD 11, PD 8, PUN 3, KOTA-PPT 2, UNDERTIM 2 |
| Judicial branch: | Supreme Court of Justice - constitution calls for one judge to be appointed by National Parliament and rest appointed by Superior Council for Judiciary; note - until Supreme Court is established, Court of Appeals is highest court |
| Political parties and leaders: | Democratic Party or PD [Fernando de ARAUJO]; National Congress for Timorese Reconstruction or CNRT [Xanana GUSMAO]; National Democratic Union of Timorese Resistance or UNDERTIM [Cornelio DA Conceicao GAMA]; National Unity Party or PUN [Fernanda BORGES]; People's Party of Timor or PPT [Jacob XAVIER]; Revolutionary Front of Independent Timor-Leste or FRETILIN [Mari ALKATIRI]; Social Democratic Association of Timor or ASDT [Francisco Xavier do AMARAL]; Social Democratic Party or PSD [Mario CARRASCALAO]; Sons of the Mountain Warriors or KOTA [Manuel TILMAN] (also known as Association of Timorese Heroes) |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, ADB, ARF, CPLP, FAO, G-77, IBRD, ICAO, ICCt, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IPU, MIGA, NAM, OPCW, PIF (observer), UN, UNCTAD, UNESCO, UNIDO, Union Latina, UNWTO, UPU, WCO, WFTU, WHO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Jorge CAMEO |
| Diplomatic representation in the US: | chancery: 4201 Connecticut Avenue NW, Suite 504,Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 966-3202 |
| Diplomatic representation in the US: | FAX: [1] (202) 966-3205 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Hans G. KLEMM |
| Diplomatic representation from the US: | embassy: Avenida de Portugal, Praia dos Conqueiros, Dili |
| Diplomatic representation from the US: | mailing address: US Department of State, 8250 Dili Place, Washington, DC 20521-8250 |
| Diplomatic representation from the US: | telephone: (670) 332-4684 |
| Diplomatic representation from the US: | FAX: (670) 331-3206 |
| Flag description: | red, with a black isosceles triangle (based on the hoist side) superimposed on a slightly longer yellow arrowhead that extends to the center of the flag; a white star is in the center of the black triangle |
