| Government | Timor-Leste |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Timor-Leste |
| Country name: | conventional short form: Timor-Leste |
| Country name: | local long form: Republika Demokratika Timor Lorosa'e [Tetum]; Republica Democratica de Timor-Leste [Portuguese] |
| Country name: | local short form: Timor Lorosa'e [Tetum]; Timor-Leste [Portuguese] |
| Country name: | former: East Timor, Portuguese Timor |
| Country name: | etymology: timor" derives from the Indonesian and Malay word "timur" meaning "east"; "leste" is the Portuguese word for "east", so "Timor-Leste" literally means "Eastern-East"; the local [Tetum] name "Timor Lorosa'e" translates as "East Rising Sun" |
| Country name: | note: pronounced TEE-mor LESS-tay |
| Government type: | semi-presidential republic |
| Capital: | name: Dili |
| Capital: | geographic coordinates: 8 35 S, 125 36 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 12 municipalities (municipios, singular municipio) and 1 special adminstrative region* (regiao administrativa especial); Aileu, Ainaro, Baucau, Bobonaro (Maliana), Covalima (Suai), Dili, Ermera (Gleno), Lautem (Lospalos), Liquica, Manatuto, Manufahi (Same), Oe-Cusse Ambeno* (Pante Macassar), Viqueque |
| Administrative divisions: | note: administrative divisions have the same names as their administrative centers (exceptions have the administrative center name following in parentheses) |
| Independence: | 20 May 2002 (from Indonesia); note - 28 November 1975 was the date independence was proclaimed from Portugal; 20 May 2002 was the date of international recognition of Timor-Leste's independence from Indonesia |
| National holiday: | Restoration of Independence Day, 20 May (2002); Proclamation of Independence Day, 28 November (1975) |
| Constitution: | history: drafted 2001, approved 22 March 2002, entered into force 20 May 2002 |
| Constitution: | amendments: proposed by Parliament and parliamentary groups; consideration of amendments requires at least four-fifths majority approval by Parliament; passage requires two-thirds majority vote by Parliament and promulgation by the president of the republic; passage of amendments to the republican form of government and the flag requires approval in a referendum (2018) |
| Legal system: | civil law system based on the Portuguese model; note - penal and civil law codes to replace the Indonesian codes were passed by Parliament and promulgated in 2009 and 2011, respectively |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Timor-Leste |
| Citizenship: | dual citizenship recognized: no |
| Citizenship: | residency requirement for naturalization: 10 years |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Francisco GUTERRES (since 20 May 2017); note - the president is commander in chief of the military and is able to veto legislation, dissolve parliament, and call national elections |
| Executive branch: | head of government: Prime Minister Taur Matan RUAK (since 22 June 2018); note - President GUTERRES dissolved parliament because of an impasse over passing the country's budget on 26 January 2018, with then Prime Minister Mari ALKATIRI assuming the role of caretaker prime minister until a new prime minister was appointed |
