| Government | East Timor |
| --- | --- |
| Country name: | conventional long form: Democratic Republic of Timor-Leste |
| Country name: | conventional short form: East Timor |
| Country name: | local long form: Republika Demokratika Timor Lorosa'e [Tetum]; Republica Democratica de Timor-Leste [Portuguese] |
| Country name: | local short form: Timor Lorosa'e [Tetum]; Timor-Leste [Portuguese] |
| Country name: | former: Portuguese Timor |
| Government type: | republic |
| Capital: | name: Dili |
| Capital: | geographic coordinates: 8 35 S, 125 36 E |
| Capital: | time difference: UTC+9 (14 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 13 administrative districts; Aileu, Ainaro, Baucau, Bobonaro (Maliana), Cova-Lima (Suai), Dili, Ermera, Lautem (Los Palos), Liquica, Manatuto, Manufahi (Same), Oecussi (Ambeno), Viqueque |
| Independence: | 28 November 1975 (date of proclamation of independence from Portugal); note - 20 May 2002 is the official date of international recognition of East Timor's independence from Indonesia |
| National holiday: | Independence Day, 28 November (1975) |
| Constitution: | 22 March 2002 (based on the Portuguese model) |
| Legal system: | UN-drafted legal system based on Indonesian law remains in place but will be replaced by civil and penal codes based on Portuguese law; these have passed and are expected to be promulgated in early 2006 |
| Suffrage: | 17 years of age; universal |
| Executive branch: | chief of state: President Kay Rala Xanana GUSMAO (since 20 May 2002); note - the president plays a largely symbolic role but is able to veto legislation, dissolve parliament, and call national elections; he formerly used the name Jose Alexandre GUSMAO |
| Executive branch: | head of government: Prime Minister Jose RAMOS-HORTA (since 10 July 2006); First Deputy Prime Minister Estanlislau Maria Alexio da SILVA (since 10 July 2006); Second Deputy Prime Minister Rui Maria do ARAUJO (since 10 July 2006) |
| Executive branch: | cabinet: Council of Ministers |
| Executive branch: | elections: president elected by popular vote for a five-year term (eligible for a second term); election last held 14 April 2002 (next to be held in May 2007) |
| Executive branch: | election results: Kay Rala Xanana GUSMAO elected president; percent of vote - Kay Rala Xanana GUSMAO 82.7%, Francisco Xavier do AMARAL 17.3% |
| Legislative branch: | unicameral National Parliament (number of seats can vary, minimum requirement of 52 and a maximum of 65 seats; members elected by popular vote to serve five-year terms); note - for its first term of office, the National Parliament is comprised of 88 members on an exceptional basis |
| Legislative branch: | elections: (next to be held in May 2007); direct elections for national parliament were never held; elected delegates to the national convention adopted a constitution and named themselves legislators instead of having elections; hence the exceptional numbers for this term of the national parliament |
| Legislative branch: | election results: percent of vote by party - FRETILIN 57.37%, PD 8.72%, PSD 8.18%, ASDT 7.84%, UDT 2.36%, PNT 2.21%, KOTA 2.13%, PPT 2.01%, PDC 1.98%, PST 1.78%, independents/other 5.42%; seats by party - FRETILIN 55, PD 7, PSD 6, ASDT 6, PDC 2, UDT 2, KOTA 2, PNT 2, PPT 2, UDC/PDC 1, PST 1, PL 1, independent 1 |
| Judicial branch: | Supreme Court of Justice - constitution calls for one judge to be appointed by National Parliament and rest appointed by Superior Council for Judiciary; note - until Supreme Court is established, Court of Appeals is highest court |
| Political parties and leaders: | Associacao Social-Democrata Timorense or ASDT [Francisco Xavier do AMARAL]; Christian Democratic Party of Timor or PDC [Antonio XIMENES]; Christian Democratic Union of Timor or UDC [Vicente da Silva GUTERRES]; Democratic Party or PD [Fernando de ARAUJO]; People's Party of Timor or PPT [Jacob XAVIER]; Revolutionary Front of Independent East Timor or FRETILIN [Francisco Guterres Lu OLO]; Social Democrat Party of East Timor or PSD [Mario CARRASCALAO]; Socialist Party of Timor or PST [Pedro da COSTA]; Sons of the Mountain Warriors (also known as Association of Timorese Heroes) or KOTA [Clementino dos Reis AMARAL]; Timor Democratic Union or UDT [Joao CARRASCALAO]; Timor Labor Party or PTT [Paulo Freitas DA SILVA]; Timorese Nationalist Party or PNT [Abilio ARAUJO] |
| Political pressure groups and leaders: | Popular Council for the Defense of the Democratic Republic of East Timor or CPD-RDTL [Antonio-Aitahan MATAK] is largest political pressure group; dissatisfied veterans of struggle against Indonesia, led by one-time government advisor Cornelio GAMA (also known as L-7), also play an important role in pressuring government |
| International organization participation: | ACP, ARF, AsDB, FAO, G-77, IBRD, ICAO, ICCt, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, MIGA, OPCW, PIF (observer), UN, UNCTAD, UNESCO, UNIDO, UPU, WCO, WHO, WToO |
| Diplomatic representation in the US: | chief of mission: Ambassador (vacant); Charge d'Affaires Constancio PINTO |
| Diplomatic representation in the US: | chancery: 4201 Connecticut Avenue NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: 202 966-3202 |
| Diplomatic representation in the US: | FAX: 202 966-3205 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Grover Joseph REES |
| Diplomatic representation from the US: | embassy: Avenida de Portugal, Praia dos Conqueiros, Dili |
| Diplomatic representation from the US: | mailing address: US Department of State, 8250 Dili Place, Washington, DC 20521-8250 |
| Diplomatic representation from the US: | telephone: (670) 332-4684 |
| Diplomatic representation from the US: | FAX: (670) 331-3206 |
| Flag description: | red, with a black isosceles triangle (based on the hoist side) superimposed on a slightly longer yellow arrowhead that extends to the center of the flag; there is a white star in the center of the black triangle |
