| Government | Ghana |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Government type: | constitutional democracy |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC during Standard Time) |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from the UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | approved 28 April 1992 |
| Legal system: | based on English common law and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President John Evans Atta MILLS (since 7 January 2009); Vice President John Dramani MAHAMA (since 7 January 2009); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President John Evans Atta MILLS (since 7 January 2009); Vice President John Dramani MAHAMA (since 7 January 2009) |
| Executive branch: | cabinet: Council of Ministers; president nominates members subject to approval by Parliament |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms (eligible for a second term); election last held on 7 and 28 December 2008 (next to be held on 7 December 2012) |
| Executive branch: | election results: John Evans Atta MILLS elected president in run-off election; percent of vote - John Evans Atta MILLS 50.23%, Nana Addo Dankwa AKUFO-ADDO 49.77% |
| Legislative branch: | unicameral Parliament (230 seats; members elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held on 7 December 2008 (next to be held on 7 December 2012) |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - NDC 114, NPP 107, PNC 2, CPP 1, independent 4, other 2 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Convention People's Party or CPP [Ladi NYLANDER]; Democratic Freedom Party or DFP [Alhaji Abudu Rahman ISSAKAH]; Every Ghanaian Living Everywhere or EGLE; Great Consolidated Popular Party or GCPP [Dan LARTEY]; National Democratic Congress or NDC [Dr. Kwabena ADJEI]; New Patriotic Party or NPP [Peter MAC-MANU]; People's National Convention or PNC [Alhaji Amed RAMADAN]; Reform Party [Kyeretwie OPUKU]; United Renaissance Party or URP [Charles WAYO] |
| Political pressure groups and leaders: | Christian Aid (water rights); Committee for Joint Action or CJA (education reform); National Coalition Against the Privatization of Water or CAP (water rights); Oxfam (water rights); Public Citizen (water rights); Students Coalition Against EPA [Kwabena Ososukene OKAI] (education reform); Third World Network (education reform) |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MINURSO, MONUSCO, NAM, OAS (observer), OIF (associate member), OPCW, UN, UNAMID, UNCTAD, UNESCO, UNHCR, UNIDO, UNIFIL, UNMIL, UNOCI, UNWTO, UPU, WCO, WFTU, WHO, WIPO, WMO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Daniel Ohene AGYEKUM |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation from the US: | chief of mission: Ambassador Donald G. TEITELBAUM |
| Diplomatic representation from the US: | embassy: 24 4th Circular Rd. Cantonments, Accra |
| Diplomatic representation from the US: | mailing address: P. O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] (21) 741-000 |
| Diplomatic representation from the US: | FAX: [233] (21) 741-389 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green, with a large black five-pointed star centered in the yellow band; red symbolizes the blood shed for independence, yellow represents the country's mineral wealth, while green stands for its forests and natural wealth; the black star is said to be the lodestar of African freedom |
| Flag description: | note: uses the popular Pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
| National anthem: | name: "God Bless Our Homeland Ghana" |
| National anthem: | lyrics/music: unknown/Philip GBEHO |
| National anthem: | note: music adopted 1957, lyrics adopted 1966; the lyrics were changed twice, once when a republic was declared in 1960 and again after a 1966 coup |
