| Government | Ghana |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Government type: | constitutional democracy |
| Capital: | Accra |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | approved 28 April 1992 |
| Legal system: | based on English common law and customary law; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President John Agyekum KUFUOR (since 7 January 2001); Vice President Alhaji Aliu MAHAMA (since 7 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President John Agyekum KUFUOR (since 7 January 2001); Vice President Alhaji Aliu MAHAMA (since 7 January 2001); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers; president nominates members subject to approval by Parliament |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for four-year terms; election last held 7 December 2004 (next to be held December 2008) |
| Executive branch: | election results: John Agyekum KUFUOR reelected president in election; percent of vote - John KUFUOR 53.4%, John Atta MILLS 43.7% |
| Legislative branch: | unicameral Parliament (230 seats; note - increased from 200 seats in last election; members are elected by direct, popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 7 December 2004 (next to be held December 2008) |
| Legislative branch: | election results: percent of vote by party - NA%; seats by party - NPP 128, NDC 92, other 10 |
| Judicial branch: | Supreme Court |
| Political parties and leaders: | Convention People's Party or CPP [Nii Noi DOWUONA, general secretary]; Every Ghanaian Living Everywhere or EGLE [Owuraku AMOFA, chairman]; Great Consolidated Popular Party or GCPP [Dan LARTY]; National Convention Party or NCP [Sarpong KUMA-KUMA]; National Democratic Congress or NDC [Dr. Huudu YAHAYA, general secretary]; New Patriotic Party or NPP [Samuel Arthur ODOI-SYKES]; People's Convention Party or PCP [P. K. DONKOH-AYIFI, acting chairman]; People's Heritage Party or PHP [Emmanuel Alexander ERSKINE]; People's National Convention or PNC [Edward MAHAMA]; Reform Party [Kyeretwie OPUKU, general secretary] |
| Political pressure groups and leaders: | NA |
| International organization participation: | ACP, AfDB, AU, C, ECOWAS, FAO, G-24, G-77, IAEA, IBRD, ICAO, ICC, ICCt, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, ILO, IMF, IMO, Interpol, IOC, IOM (observer), ISO, ITU, MIGA, MINURSO, MONUC, NAM, OAS (observer), ONUB, OPCW, UN, UNAMSIL, UNCTAD, UNESCO, UNIDO, UNIFIL, UNITAR, UNMEE, UNMIK, UNMIL, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Alan J. KYEREMATEN |
| Diplomatic representation in the US: | consulate(s) general: New York |
| Diplomatic representation in the US: | FAX: [1] (202) 686-4527 |
| Diplomatic representation in the US: | telephone: [1] (202) 686-4520 |
| Diplomatic representation in the US: | chancery: 3512 International Drive NW, Washington, DC 20008 |
| Diplomatic representation from the US: | chief of mission: Ambassador Mary Carlin YATES |
| Diplomatic representation from the US: | embassy: 6th and 10th Lanes, 798/1 Osu, Accra |
| Diplomatic representation from the US: | mailing address: P. O. Box 194, Accra |
| Diplomatic representation from the US: | telephone: [233] (21) 775-347, 775-348 |
| Diplomatic representation from the US: | FAX: [233] (21) 701-813 |
| Flag description: | three equal horizontal bands of red (top), yellow, and green with a large black five-pointed star centered in the yellow band; uses the popular pan-African colors of Ethiopia; similar to the flag of Bolivia, which has a coat of arms centered in the yellow band |
