| Government | GHANA |
| --- | --- |
| Country name: | conventional long form: Republic of Ghana |
| Country name: | conventional short form: Ghana |
| Country name: | former: Gold Coast |
| Country name: | etymology: named for the medieval West African kingdom of the same name, but whose location was actually further north than the modern country |
| Government type: | presidential republic |
| Capital: | name: Accra |
| Capital: | geographic coordinates: 5 33 N, 0 13 W |
| Capital: | time difference: UTC 0 (5 hours ahead of Washington, DC, during Standard Time) |
| Administrative divisions: | 10 regions; Ashanti, Brong-Ahafo, Central, Eastern, Greater Accra, Northern, Upper East, Upper West, Volta, Western |
| Independence: | 6 March 1957 (from the UK) |
| National holiday: | Independence Day, 6 March (1957) |
| Constitution: | history: several previous; latest drafted 31 March 1992, approved and promulgated 28 April 1992, entered into force 7 January 1993 |
| Constitution: | amendments: proposed by Parliament; consideration requires prior referral to the Council of State, a body of prominent citizens who advise the president of the republic; passage of amendments to “entrenched” constitutional articles (including those on national sovereignty, fundamental rights and freedoms, the structure and authorities of the branches of government, and amendment procedures) requires approval in a referendum by at least 40% participation of eligible voters and at least 75% of votes cast, followed by at least two-thirds majority vote in Parliament, and assent by the president; amendments to non-entrenched articles do not require referenda; amended 1996 (2017) |
| Legal system: | mixed system of English common law and customary law |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent or grandparent must be a citizen of Ghana |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 5 years |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Nana Addo Dankwa AKUFO-ADDO (since 7 January 2017); Vice President Mahamudu BAWUMIA (since 7 January 2017); the president is both chief of state and head of government |
| Executive branch: | head of government: President Nana Addo Dankwa AKUFO-ADDO (since 7 January 2017); Vice President Mahamudu BAWUMIA (since 7 January 2017) |
| Executive branch: | cabinet: Council of Ministers; nominated by the president, approved by Parliament |
| Executive branch: | elections/appointments: president and vice president directly elected on the same ballot by absolute majority popular vote in 2 rounds if needed for a 4-year term (eligible for a second term); election last held on 7 December 2016 (next to be held in December 2020) |
