| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade (Beograd) |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 167 municipalities (opcstine, singular - opcstina) |
| Administrative divisions: | Serbia Proper: Belgrade City (Beograd): Barajevo, Cukarica, Grocka, Lazarevac, Mladenovac, Novi Beograd, Obrenovac, Palilula, Rakovica, Savski Venac, Sopot, Stari Grad, Surcin, Vozdovac, Vracar, Zemun, Zvezdara; Bor: Bor, Kladovo, Majdanpek, Negotin; Branicevo: Golubac, Kucevo, Malo Crnice, Petrovac, Pozarevac, Veliko Gradiste, Zabari, Zagubica; Grad Nis: Crveni Krst, Mediana, Niska Banja, Palilula, Pantelej Jablanica: Bojnik, Crna Trava, Lebane, Leskovac, Medveda, Vlasotince; Kolubara: Lajkovac, Ljig, Mionica, Osecina, Ub, Valjevo; Macva: Bogatic, Koceljeva, Krupanj, Ljubovija, Loznica, Mali Zvornik, Sabac, Vladimirci; Moravica: Cacak, Gornkji Milanovac, Ivanjica, Lucani; Nisava: Aleksinac, Doljevac, Gadzin Han, Merosina, Nis, Razanj, Svrljig; Pcinja: Bosilegrad, Bujanovac, Presevo, Surdulica, Trgoviste, Vladicin Han, Vranje; Pirot: Babusnica, Bela Palanka, Dimitrovgrad, Pirot; Podunavlje: Smederevo, Smederevskia Palanka, Velika Plana; Pomoravlje: Cuprija, Despotovac, Jagodina, Paracin, Rekovac, Svilajnac; Rasina: Aleksandrovac, Brus, Cicevac, Krusevac, Trstenik, Varvarin; Raska: Kraljevo, Novi Pazar, Raska, Tutin, Vrnjacka Banja; Sumadija: Arandelovac, Batocina, Knic, Kragujevac, Lapovo, Raca, Topola; Toplica: Blace, Kursumlija, Prokuplje, Zitorada; Zajecar: Boljevac, Knjazevac, Sokobanja, Zajecar; Zlatibor: Arilje, Bajina Basta, Cajetina, Kosjeric, Nova Varos, Pozega, Priboj, Prijepolje, Sjenica, Uzice |
| Administrative divisions: | Vojvodina Autonomous Province: South Backa: Bac, Backa Palanka, Backi Petrovac, Becej, Beocin, Novi Sad, Sremski Karlovci, Srobobran, Temerin, Titel, Vrbas, Zabalj; South Banat: Alibunar, Bela Crkva, Kovacica, Kovin, Opovo, Pancevo, Plandiste, Vrsac; North Backa: Backa Topola, Mali Idjos, Subotica; North Banat: Ada, Coka, Kanjiza, Kikinda, Novi Knezevac, Senta; Central Banat: Nova Crnja, Novi Becej, Secanj, Zitiste, Zrenjanin; Srem: Indija, Irig, Pecinci, Ruma, Sid, Sremska Mitrovica, Stara Pazova; West Backa: Apatin, Kula, Odzaci, Sombor |
| Independence: | 5 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 15 February |
| Constitution: | adopted 8 November 2006; effective 10 November 2006 |
| Legal system: | based on civil law system; accepts compulsory ICJ jurisdiction with reservations; note - Serbia is working to reform its justice sector and harmonize its judicial systems with EU standards |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Boris TADIC (since 11 July 2004) |
| Executive branch: | head of government: Prime Minister Mirko CVETKOVIC (since 7 July 2008) |
| Executive branch: | cabinet: Republican Ministries act as cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); election last held on 3 February 2008 (next to be held in 2013); prime minister elected by the National Assembly |
| Executive branch: | election results: Boris TADIC elected president in the second round of voting; Boris TADIC received 51.2% of the vote and Tomislav NIKOLIC 48.8% |
| Legislative branch: | unicameral National Assembly (250 seats; deputies elected according to party lists to serve four-year terms) |
| Legislative branch: | elections: last held on 11 May 2008 (next to be held in May 2012) |
| Legislative branch: | election results: percent of vote by party - For a European Serbia coalition 38.4%, SRS 29.5%, DSS-NS 11.6%, SPS-led coalition 7.6%, LPD 5.2%, other 7.7%; seats by party - For a European Serbia coalition 102, SRS 57, DSS-NS 30, SNS 21, SPS-led coalition 20, LDP 13, other 7 |
| Judicial branch: | courts of general jurisdiction (municipal courts, district courts, Appellate Courts, the Supreme Court of Cassation); courts of special jurisdiction (commercial courts, the High Commercial Court, the High Magistrates Court, the Administrative Court) |
| Political parties and leaders: | Coalition for Sandzak or KZS [Sulejman UGLJANIN]; Democratic Party or DS [Boris TADIC]; Democratic Party of Albanians or PDSh [Ragmi MUSTAFA]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Democratic Union of the Valley or BDL [Skender DESTANI]; Force of Serbia Movement or PSS [Bogoljub KARIC]; G17 Plus [Mladjan DINKIC]; League of Social Democrats of Vojvodina or LSV [Nenad CANAK]; League of Vojvodina Hungarians or SVM [Istvan PASTOR]; Liberal Democratic Party or LDP [Cedomir JOVANOVIC]; Movement for Democratic Progress or LPD [Jonuz MUSLIU]; New Serbia or NS [Velimir ILIC]; Party of Democratic Action or PVD [Riza HALIMI]; Party of United Pensioners of Serbia or PUPS [Jovan KRKOBABIC]; People's Party or NS [Maja GOJKOVIC]; Roma Party or RP [Srdjan SAJN]; Sandzak Democratic Party or SDP [Resad HODZIC]; Serbian Progressive Party or SNS [Tomislav NIKOLIC]; Serbian Radical Party or SRS [Vojislav SESELJ (currently on trial at The Hague), with Dragan TODOROVIC as acting leader]; Serbian Renewal Movement or SPO [Vuk DRASKOVIC]; Social Democratic Party of Serbia or SDPS [Rasim LJAJIC]; Socialist Party of Serbia or SPS [Ivica DACIC]; Union of Roma of Serbia or URS [Rajko DJURIC]; United Serbia or JS [Dragan "Palma" MARKOVIC] |
| Political pressure groups and leaders: | Obraz (Orthodox clero-fascist organization); 1389 (Serbian nationalist movement) |
| International organization participation: | BIS, BSEC, CE, CEI, EAPC, EBRD, FAO, G-9, IAEA, IBRD, ICAO, ICC, ICCt, ICRM, IDA, IFC, IFRCS, IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC, MIGA, MONUSCO, NAM (observer), OAS (observer), OIF (observer), OPCW, OSCE, PCA, PFP, SECI, UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNIDO, UNMIL, UNOCI, UNWTO, UPU, WCO, WHO, WIPO, WMO, WTO (observer) |
| Diplomatic representation in the US: | chief of mission: Ambassador Vladimir PETROVIC |
| Diplomatic representation in the US: | chancery: 2134 Kalorama Road NW, Washington, DC 20008 |
| Diplomatic representation in the US: | telephone: [1] (202) 332-0333 |
