| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade (Beograd) |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 167 municipalities (opstine, singular - opstina) |
| Administrative divisions: | Serbia Proper: Belgrade City (Beograd): Barajevo, Cukarica, Grocka, Lazarevac, Mladenovac, Novi Beograd, Obrenovac, Palilula, Rakovica, Savski Venac, Sopot, Stari Grad, Surcin, Vozdovac, Vracar, Zemun, Zvezdara; Bor: Bor, Kladovo, Majdanpek, Negotin; Branicevo: Golubac, Kucevo, Malo Crnice, Petrovac, Pozarevac, Veliko Gradiste, Zabari, Zagubica; Grad Nis: Crveni Krst, Mediana, Niska Banja, Palilula, Pantelej; Jablanica: Bojnik, Crna Trava, Lebane, Leskovac, Medveda, Vlasotince; Kolubara: Lajkovac, Ljig, Mionica, Osecina, Ub, Valjevo; Macva: Bogatic, Koceljeva, Krupanj, Ljubovija, Loznica, Mali Zvornik, Sabac, Vladimirci; Moravica: Cacak, Gornkji Milanovac, Ivanjica, Lucani; Nisava: Aleksinac, Doljevac, Gadzin Han, Merosina, Nis, Razanj, Svrljig; Pcinja: Bosilegrad, Bujanovac, Presevo, Surdulica, Trgoviste, Vladicin Han, Vranje; Pirot: Babusnica, Bela Palanka, Dimitrovgrad, Pirot; Podunavlje: Smederevo, Smederevskia Palanka, Velika Plana; Pomoravlje: Cuprija, Despotovac, Jagodina, Paracin, Rekovac, Svilajnac; Rasina: Aleksandrovac, Brus, Cicevac, Krusevac, Trstenik, Varvarin; Raska: Kraljevo, Novi Pazar, Raska, Tutin, Vrnjacka Banja; Sumadija: Arandelovac, Batocina, Knic, Kragujevac, Lapovo, Raca, Topola; Toplica: Blace, Kursumlija, Prokuplje, Zitorada; Zajecar: Boljevac, Knjazevac, Sokobanja, Zajecar; Zlatibor: Arilje, Bajina Basta, Cajetina, Kosjeric, Nova Varos, Pozega, Priboj, Prijepolje, Sjenica, Uzice |
| Administrative divisions: | Vojvodina Autonomous Province: South Backa: Bac, Backa Palanka, Backi Petrovac, Becej, Beocin, Novi Sad, Sremski Karlovci, Srobobran, Temerin, Titel, Vrbas, Zabalj; South Banat: Alibunar, Bela Crkva, Kovacica, Kovin, Opovo, Pancevo, Plandiste, Vrsac; North Backa: Backa Topola, Mali Idjos, Subotica; North Banat: Ada, Coka, Kanjiza, Kikinda, Novi Knezevac, Senta; Central Banat: Nova Crnja, Novi Becej, Secanj, Zitiste, Zrenjanin; Srem: Indija, Irig, Pecinci, Ruma, Sid, Sremska Mitrovica, Stara Pazova; West Backa: Apatin, Kula, Odzaci, Sombor |
| Independence: | 5 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 15 February |
| Constitution: | adopted 8 November 2006; effective 10 November 2006 |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | chief of state: President Tomislav NIKOLIC (since 31 May 2012) |
| Executive branch: | head of government: Prime Minister Ivica DACIC (since 23 July 2012) |
| Executive branch: | cabinet: Republican Ministries act as cabinet |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); election last held on 20 May 2012 (next to be held in 2017); prime minister elected by the National Assembly |
| Executive branch: | election results: Tomislav NIKOLIC elected president in runoff election; NIKOLIC 51.2% of the vote, Boris TADIC 48.8% of the vote |
| Legislative branch: | unicameral National Assembly (250 seats; deputies elected according to party lists to serve four-year terms) |
| Legislative branch: | elections: last held on 6 May 2012 (next to be held by May 2016) |
| Legislative branch: | election results: percent of vote by party - Let's Get Serbia Moving 24.04%, Choice for a Better Life 22.11%, SPS/PUPS/US 14.53%, DS 7.00%, Turnover 6.52%, United Regions of Serbia 5.49%, Alliance of Vojvodina Hungarians 1.77%, other 18.54%; seats by party - Let's Get Serbia Moving 73, Choice for a Better Life 67, SPS/PUPS/US 44, DS 21, Turnover 19, United Regions of Serbia 16, Alliance of Vojvodina Hungarians 5, other 5 |
| Legislative branch: | note: current composition - For European Serbia coalition 78, SRS 57, United Region of Serbia 24, Forward Serbia 21, DS 20, SPS-JS 15, LDP 12, NS 9, PUPS 5, others 9 |
| Judicial branch: | courts of general jurisdiction (municipal courts, district courts, Appellate Courts, the Supreme Court of Cassation); courts of special jurisdiction (commercial courts, the High Commercial Court, the High Magistrates Court, the Administrative Court) |
| Political parties and leaders: | Alliance of Vojvodina Hungarians or SVM [Istvan PASZTOR]; Bosniak Democratic Union or BDU [Elmir ELFIC]; Democratic Alliance of Croats in Vojvodina or DSHV [Petar KUNTIC]; Democratic Party or DS [Dragan DJILAS]; The Greens of Serbia or ZS [Ivan KARIC]; Christian Democratic Party of Serbia or DHSS [Olgica BATIC]; Democratic Party of Serbia or DSS [Vojislav KOSTUNICA]; Serbian Progressive Party [Aleksandar VUCIC]; Liberal Democratic Party or LDP [Cedomir JOVANOVIC]; New Serbia or NS [Velimir ILIC]; Albanian Coalition of Presevo Valley [Riza HALIMI]; Party of United Pensioners of Serbia or PUPS [Jovan KRKOBABIC]; Serbian Renewal Movement or SPO [Vuk DRASKOVIC]; League of Social Democrats of Vojvodina or LSV [Nenad CANAK]; Socialist Party of Serbia or SPS [Ivica DACIC]; United Regions of Serbia [Mladan DINKIC]; United Serbia or JS [Dragan "Palma" MARKOVIC]; None of the Offered Options or NOPO [Nikola TULIMIROVIC]; Social Democratic Party of Serbia or SDPS [Rasim LJAJIC]; Party of Democratic Action of the Sandzak or SDA [Sulejman UGLJANIN]; Rich Serbia [Zaharije TRNAVCEVIC]; People's Party [Maja GOJKOVIC] |
| Political pressure groups and leaders: | Obraz (Orthodox clero-fascist organization); 1389 (Serbian nationalist movement); Dveri (Movement for the Life of Serbia) |
