| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Government type: | republic |
| Capital: | name: Belgrade (Beograd) |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Administrative divisions: | 122 municipalities (opstine, singular - opstina) and 23 cities (gradovi, singular - grad) |
| Administrative divisions: | municipalities: Ada, Aleksandrovac, Aleksinac, Alibunar, Apatin, Arandelovac, Arilje, Babusnica, Bac, Backa Palanka, Backa Topola, Backi Petrovac, Bajina Basta, Batocina, Becej, Bela Crkva, Bela Palanka, Beocin, Blace, Bogatic, Bojnik, Boljevac, Bor, Bosilegrad, Brus, Bujanovac, Cajetina, Cicevac, Coka, Crna Trava, Cuprija, Despotovac, Dimitrov, Doljevac, Gadzin Han, Golubac, Gornji Milanovac, Indija, Irig, Ivanjica, Kanjiza, Kikinda, Kladovo, Knic, Knjazevac, Koceljeva, Kosjeric, Kovacica, Kovin, Krupanj, Kucevo, Kula, Kursumlija, Lajkovac, Lapovo, Lebane, Ljig, Ljubovija, Lucani, Majdanpek, Mali Idos, Mali Zvornik, Malo Crnice, Medveda, Merosina, Mionica, Negotin, Nova Crnja, Nova Varos, Novi Becej, Novi Knezevac, Odzaci, Opovo, Osecina, Paracin, Pecinci, Petrovac na Mlavi, Pirot, Plandiste, Pozega, Presevo, Priboj, Prijepolje, Prokuplje, Raca, Raska, Razanj, Rekovac, Ruma, Secanj, Senta, Sid, Sjenica, Smederevska Palanka, Sokobanja, Srbobran, Sremski Karlovci, Stara Pazova, Surdulica, Svilajnac, Svrljig, Temerin, Titel, Topola, Trgoviste, Trstenik, Tutin, Ub, Varvarin, Velika Plana, Veliko Gradiste, Vladicin Han, Vladimirci, Vlasotince, Vrbas, Vrnjacka Banja, Vrsac, Zabalj, Zabari, Zagubica, Zitiste, Zitorada |
| Administrative divisions: | cities: Beograd, Cacak, Jagodina, Kragujevac, Kraljevo, Krusevac, Leskovac, Loznica, Nis, Novi Pazar, Novi Sad, Pancevo, Pozarevac, Sabac, Smederevo, Sombor, Sremska Mitrovica, Subotica, Uzice, Vajevo, Vranje, Zajecar, Zrenjanin |
| Independence: | 5 June 2006 (from Serbia and Montenegro) |
| National holiday: | National Day, 15 February |
| Constitution: | many previous; latest approved by referendum 28-29 October 2006, adopted 30 September 2006, effective 8 November 2006 (2011) |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Tomislav NIKOLIC (since 31 May 2012) |
| Executive branch: | head of government: Prime Minister Ivica DACIC (since 23 July 2012) |
| Executive branch: | cabinet: Republican Ministries act as cabinet |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president elected by direct vote for a five-year term (eligible for a second term); election last held on 20 May 2012 (next to be held in 2017); prime minister elected by the National Assembly |
| Executive branch: | election results: Tomislav NIKOLIC elected president in runoff election; NIKOLIC 51.2% of the vote, Boris TADIC 48.8% of the vote |
| Legislative branch: | unicameral National Assembly (250 seats; deputies elected according to party lists to serve four-year terms) |
| Legislative branch: | elections: last held on 6 May 2012 (next to be held by May 2016) |
| Legislative branch: | election results: percent of vote by party - Let's Get Serbia Moving 24.04%, Choice for a Better Life 22.11%, SPS/PUPS/JS 14.53%, DSS 7.00%, Turnover 6.52%, United Regions of Serbia 5.49%, Alliance of Vojvodina Hungarians 1.77%, other 18.54%; seats by party - Let's Get Serbia Moving 73, Choice for a Better Life 67, SPS/PUPS/JS 44, DSS 21, Turnover 19, United Regions of Serbia 16, Alliance of Vojvodina Hungarians 5, other 5 |
| Legislative branch: | note: May 2013 composition by parliamentary groups - SNS 65, DS 45, SPS 25, DSS 21, United Regions of Serbia 16, LDP 13, PUPS 12, SDPS 9, Independent MPs 8, NS 8, JS 7, Together for Serbia Parliamentary Group 6, SVM 5, LSV 5, SPO 5 |
| Judicial branch: | highest court(s): Supreme Court of Cassation (consists of more than 60 judges organized into 3- and 5-member panels for criminal, civil, and administrative cases); Constitutional Court (consists of 15 judges) |
| Judicial branch: | note - in 2003, specialized panels on war crimes were established within the Serbian court system; the panels have jurisdiction over alleged violations of the Basic Criminal Code and crimes against humanity, international law, and criminal acts as defined by the Statute of the International Criminal Tribunal for the former Yugoslavia |
| Judicial branch: | judge selection and term of office: Supreme Court justices proposed by the High Judicial Council (HJC), an 11-member body of which 7 are judges, and elected by the National Assembly; Constitutional Court judges appointed - 5 each by the National Assembly, the president, and the Supreme Court of Cassation; judges of both courts appointed to permanent tenure by the HJC |
| Judicial branch: | subordinate courts: appellate courts, higher courts, and municipal and district courts; courts of special jurisdiction include the Administrative Court, Appellate Commercial Court, and two levels of misdemeanor courts |
| Political parties and leaders: | Albanian Coalition of Presevo Valley [Riza HALIMI] |
| Political parties and leaders: | Alliance of Vojvodina Hungarians or SVM [Istvan PASZTOR] |
| Political parties and leaders: | Bosniak Democratic Union or BDZ [Elmir ELFIC] |
| Political parties and leaders: | Choice for a Better Life [Boris TADIC] (includes Democratic Party of DS [Dragan DJILAS], Social Democratic Party of Serbia or SDPS [Rasim LJAJIC], League of Social Democrats of Vojvodina or LSV [Nenad CANAK], Greens of Serbia or ZS [Ivan KARIC], Democratic Alliance of Croats in Vojvodina or DSHV [Petar KUNTIC], and Christian Democratic Party of Serbia or DHSS [Olgica BATIC]) |
| Political parties and leaders: | Democratic Party of Serbia or DSS [Vojislav KOSTUNICA] |
| Political parties and leaders: | Let's Get Serbia Moving [Tomislav NIKOLIC] (includes Serbian Progressive Party or SNS [Aleksandar VUCIC], New Serbia or NS [Velimir ILIC], Movement of Socialists [Aleksandar VULIN], Strength of Serbia Movement or PSS [Bogoljub KARIC], Association of Small and Medium Businesses and Entrepreneurs of Serbia, Coalition of Refugee Associations in Serbia, Bosniak People's Party [Mujo MUKOVIC], Democratic Party of Macedonians [Mile SPIROVSKI], Roma Party [Srdan SAJN], Movement of Vlach Unity, and Economic Renewal of Serbia) |
| Political parties and leaders: | None of the Offered Options or NOPO [Nikola TULIMIROVIC] |
| Political parties and leaders: | Party of Democratic Action of the Sandzak or SDA [Sulejman UGLJANIN] |
| Political parties and leaders: | Party of United Pensioners of Serbia or PUPS [Jovan KRKOBABIC] |
| Political parties and leaders: | Socialist Party of Serbia or SPS [Ivica DACIC] |
| Political parties and leaders: | Together for Serbia Parliamentary Group |
