| Government | Serbia |
| --- | --- |
| Country name: | conventional long form: Republic of Serbia |
| Country name: | conventional short form: Serbia |
| Country name: | local long form: Republika Srbija |
| Country name: | local short form: Srbija |
| Country name: | former: People's Republic of Serbia, Socialist Republic of Serbia |
| Country name: | etymology: the origin of the name is uncertain, but seems to be related to the name of the West Slavic Sorbs who reside in the Lusatian region in present-day eastern Germany; by tradition, the Serbs migrated from that region to the Balkans in about the 6th century A.D. |
| Government type: | parliamentary republic |
| Capital: | name: Belgrade (Beograd) |
| Capital: | geographic coordinates: 44 50 N, 20 30 E |
| Capital: | time difference: UTC+1 (6 hours ahead of Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins last Sunday in March; ends last Sunday in October |
| Capital: | etymology: the Serbian "Beograd" means "white fortress" or "white city" and dates back to the 9th century; the name derives from the white fortress wall that once enclosed the city |
| Administrative divisions: | 119 municipalities (opstine, singular - opstina) and 26 cities (gradovi, singular - grad) |
| Administrative divisions: | municipalities: Ada*, Aleksandrovac, Aleksinac, Alibunar*, Apatin*, Arandelovac, Arilje, Babusnica, Bac*, Backa Palanka*, Backa Topola*, Backi Petrovac*, Bajina Basta, Batocina, Becej*, Bela Crkva*, Bela Palanka, Beocin*, Blace, Bogatic, Bojnik, Boljevac, Bor, Bosilegrad, Brus, Bujanovac, Cajetina, Cicevac, Coka*, Crna Trava, Cuprija, Despotovac, Dimitrov, Doljevac, Gadzin Han, Golubac, Gornji Milanovac, Indija*, Irig*, Ivanjica, Kanjiza*, Kladovo, Knic, Knjazevac, Koceljeva, Kosjeric, Kovacica*, Kovin*, Krupanj, Kucevo, Kula*, Kursumlija, Lajkovac, Lapovo, Lebane, Ljig, Ljubovija, Lucani, Majdanpek, Mali Idos*, Mali Zvornik, Malo Crnice, Medveda, Merosina, Mionica, Negotin, Nova Crnja*, Nova Varos, Novi Becej*, Novi Knezevac*, Odzaci*, Opovo*, Osecina, Paracin, Pecinci*, Petrovac na Mlavi, Plandiste*, Pozega, Presevo, Priboj, Prijepolje, Prokuplje, Raca, Raska, Razanj, Rekovac, Ruma*, Secanj*, Senta*, Sid*, Sjenica, Smederevska Palanka, Sokobanja, Srbobran*, Sremski Karlovci*, Stara Pazova*, Surdulica, Svilajnac, Svrljig, Temerin*, Titel*, Topola, Trgoviste, Trstenik, Tutin, Ub, Varvarin, Velika Plana, Veliko Gradiste, Vladicin Han, Vladimirci, Vlasotince, Vrbas*, Vrnjacka Banja, Zabalj*, Zabari, Zagubica, Zitiste*, Zitorada; |
| Administrative divisions: | cities: Beograd, Cacak, Jagodina, Kikinda*, Kragujevac, Kraljevo, Krusevac, Leskovac, Loznica, Nis, Novi Pazar, Novi Sad*, Pancevo*, Pirot, Pozarevac, Sabac, Smederevo, Sombor*, Sremska Mitrovica*, Subotica*, Uzice, Valjevo, Vranje, Vrsac*, Zajecar, Zrenjanin* |
| Administrative divisions: | note: the northern 37 municipalities and 8 cities - about 28% of Serbia's area - compose the Autonomous Province of Vojvodina and are indicated with * |
| Independence: | 5 June 2006 (from the State Union of Serbia and Montenegro); notable earlier dates: 1217 (Serbian Kingdom established); 16 April 1346 (Serbian Empire established); 13 July 1878 (Congress of Berlin recognizes Serbian independence); 1 December 1918 (Kingdom of Serbs, Croats, and Slovenes (Yugoslavia) established) |
| National holiday: | National Day (Statehood Day), 15 February (1835), the day the first constitution of the country was adopted |
| Constitution: | history: many previous; latest adopted 30 September 2006, approved by referendum 28-29 October 2006, effective 8 November 2006 |
| Constitution: | amendments: proposed by at least one third of deputies in the National Assembly, by the president of the republic, by the government, or by petition of at least 150,000 voters; passage of proposals and draft amendments each requires at least two-thirds majority vote in the Assembly; amendments to constitutional articles including the preamble, constitutional principles, and human and minority rights and freedoms also require passage by simple majority vote in a referendum |
| Legal system: | civil law system |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; accepts ICCt jurisdiction |
| Citizenship: | citizenship by birth: no |
| Citizenship: | citizenship by descent only: at least one parent must be a citizen of Serbia |
| Citizenship: | dual citizenship recognized: yes |
| Citizenship: | residency requirement for naturalization: 3 years |
| Suffrage: | 18 years of age, 16 if employed; universal |
| Executive branch: | chief of state: President Aleksandar VUCIC (since 31 May 2017) |
| Executive branch: | head of government: Prime Minister Ana BRNABIC (since 29 June 2017) |
| Executive branch: | cabinet: Cabinet elected by the National Assembly |
| Executive branch: | elections/appointments: president directly elected by absolute majority popular vote in 2 rounds if needed for a 5-year term (eligible for a second term); election last held on 2 April 2017 (next to be held in 2022); prime minister elected by the National Assembly |
| Executive branch: | election results: Aleksandar VUCIC elected president in the first round; percent of vote - Aleksandar VUCIC (SNS) 55.1%, Sasa JANKOVIC (independent) 16.4%, Luka MAKSIMOVIC (independent) 9.4%, Vuk JEREMIC (independent) 5.7%, Vojislav SESELJ (SRS) 4.5%, Bosko OBRADOVIC (Dveri) 2.3%, other 5.0%, invalid/blank 1.6%; Prime Minister Ana BRNABIC reelected by the National Assembly on 5 October 2020 |
| Legislative branch: | description: unicameral National Assembly or Narodna Skupstina (250 seats; members directly elected by party list proportional representation vote in a single nationwide constituency to serve 4-year terms) |
| Legislative branch: | elections: last held on 21 June 2020 (originally scheduled for 26 April 2020 but postponed due to the COVID-19 pandemic) (next to be held in 2024) |
| Legislative branch: | election results: percent of vote by party/coalition - For Our Children 60.7%, SPS-JS 10.4%, SPAS 3.8%, SVM 2.2%, Straight Ahead 1%, Albanian Democratic Alternative .8%, SDA .8%, other 20.3%; seats by party/coalition For Our Children 188, SPS-JS 32, SPAS 11, SVM 9, Straight Ahead 4, Albanian Democratic Alternative 3, SDA 3; composition (preliminary) -Â  men 165, women 85, percent of women 30% |
| Legislative branch: | note: seats by party as of May 2019Â  - SNS 91, SRS 22, SPS 20, DS 13, SDPS 10, PUPS 9, Dveri 6, JS 6, LDP 4, SDS 4, SVM 4, other 36, independent 25; composition - men 157, women 93, percent of women 37.2% |
| Judicial branch: | highest courts: Supreme Court of Cassation (consists of 36 judges, including the court president); Constitutional Court (consists of 15 judges, including the court president and vice president) |
| Judicial branch: | judge selection and term of office: Supreme Court justices proposed by the High Judicial Council (HJC), an 11-member independent body consisting ofÂ  8 judges elected by the National Assembly and 3 ex-officio members; justices appointed by the National Assembly; Constitutional Court judges elected - 5 each by the National Assembly, the president, and the Supreme Court of Cassation; initial appointment of Supreme Court judges by the HJC is 3 years and beyond that period tenure is permanent; Constitutional Court judges elected for 9-year terms |
| Judicial branch: | subordinate courts: basic courts, higher courts, appellate courts; courts of special jurisdiction include the Administrative Court, commercial courts, and misdemeanor courts |
| Political parties and leaders: | Albanian Democratic Alternative (coalition of ethnic Albanian parties) Shaip KAMBERI |
| Political parties and leaders: | Alliance of Vojvodina Hungarians or SVM [Istvan PASZTOR] |
