| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Country name: | local short form: Guatemala |
| Government type: | constitutional democratic republic |
| Capital: | name: Guatemala City |
| Capital: | geographic coordinates: 14 37 N, 90 31 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC during Standard Time) |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 31 May 1985, effective 14 January 1986; suspended 25 May 1993; reinstated 5 June 1993; amended November 1993 |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; the Congress ratified Statute of Rome on 18 January 2012, and ICCt jurisdiction entered into force on 23 February 2012 |
| Suffrage: | 18 years of age; universal; note - active duty members of the armed forces and police may not vote by law and are restricted to their barracks on election day |
| Executive branch: | chief of state: President Otto Fernando PEREZ MOLINA (since 14 January 2012); Vice President Ingrid Roxana BALDETTI Elias (since 14 January 2012); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Otto Fernando PEREZ MOLINA (since 14 January 2012); Vice President Ingrid Roxana BALDETTI Elias (since 14 January 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website [Opens in New Window]) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a four-year term (may not serve consecutive terms); election last held on 11 September 2011; runoff held on 6 November 2011 (next to be held in September 2015) |
| Executive branch: | election results: Otto PEREZ MOLINA elected president in a runoff election; percent of vote - Otto PEREZ MOLINA 53.7%, Manuel BALDIZON 46.3% |
| Legislative branch: | unicameral Congress of the Republic or Congreso de la Republica (158 seats; members elected through a party list proportional representation system) |
| Legislative branch: | elections: last held on 11 September 2011 (next to be held in September 2015) |
| Legislative branch: | election results: percent of vote by party - PP 26.62%, UNE-GANA 22.67%, UNC 9.50%, LIDER 8.87%, CREO 8.67%, VIVA-EG 7.87%, Winaq-URNG-ANN 3.23%, PAN 3.12%, FRG 2.74%, PU 2.70%, other 3.59%; seats by party - PP 57, UNE-GANA 48, LIDER 14, UCN 14, CREO 12, VIVA-EG 6, PAN 2, Winaq-URNG-ANN 2, FRG 1, PU 1, VICTORIA 1; note - changes in party affiliation now reflect the following seat distribution: as of 2 March 2012 - PP 62, LIDER 25, UCN 18, Independents 12, CREO 11, GANA 9, UNE 8, VIVA 3, EG 3, PAN 2, FRG 1, PU 1, Winaq 1, URNG 1, VICTORIA 1 |
| Judicial branch: | Constitutional Court or Corte de Constitucionalidad is Guatemala's highest court (five judges and five alternate judges are elected by Congress for concurrent five-year terms); Supreme Court of Justice or Corte Suprema de Justicia (13 members are elected by Congress to serve concurrent five-year terms and elect a president of the Court each year from among their number; the president of the Supreme Court of Justice also supervises trial judges around the country, who are named to five-year terms) |
