| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Country name: | local short form: Guatemala |
| Government type: | constitutional democratic republic |
| Capital: | name: Guatemala City |
| Capital: | geographic coordinates: 14 37 N, 90 31 W |
| Capital: | time difference: UTC-6 (1 hour behind Washington, DC, during Standard Time) |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | several previous; latest adopted 31 May 1985, effective 14 January 1986; suspended, reinstated, and amended in 1993 (2013) |
| Legal system: | civil law system; judicial review of legislative acts |
| International law organization participation: | has not submitted an ICJ jurisdiction declaration; the Congress ratified Statute of Rome on 18 January 2012, and ICCt jurisdiction entered into force on 23 February 2012 |
| Suffrage: | 18 years of age; universal; note - active duty members of the armed forces and police by law cannot vote and are restricted to their barracks on election day |
| Executive branch: | chief of state: President Otto Fernando PEREZ MOLINA (since 14 January 2012); Vice President Ingrid Roxana BALDETTI Elias (since 14 January 2012); note - the president is both chief of state and head of government |
| Executive branch: | head of government: President Otto Fernando PEREZ MOLINA (since 14 January 2012); Vice President Ingrid Roxana BALDETTI Elias (since 14 January 2012) |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | (For more information visit the World Leaders website&nbsp;) |
| Executive branch: | elections: president and vice president elected on the same ticket by popular vote for a four-year term (may not serve consecutive terms); election last held on 11 September 2011; runoff held on 6 November 2011 (next to be held in September 2015) |
| Executive branch: | election results: Otto Fernando PEREZ MOLINA elected president in a runoff election; percent of vote - Otto Fernando PEREZ MOLINA 53.7%, Manuel BALDIZON 46.3% |
| Legislative branch: | unicameral Congress of the Republic or Congreso de la Republica (158 seats; members elected through a party list proportional representation system) |
| Legislative branch: | elections: last held on 11 September 2011 (next to be held in September 2015) |
| Legislative branch: | election results: percent of vote by party - PP 26.62%, UNE-GANA 22.67%, UNC 9.50%, LIDER 8.87%, CREO 8.67%, VIVA-EG 7.87%, Winaq-URNG-ANN 3.23%, PAN 3.12%, FRG 2.74%, PU 2.70%, other 3.59%; seats by party - PP 57, UNE-GANA 48, LIDER 14, UCN 14, CREO 12, VIVA-EG 6, PAN 2, Winaq-URNG-ANN 2, FRG 1, PU 1, Victoria 1; note - changes in party affiliation now reflect the following seat distribution: as of 15 January 2014 - PP 55, LIDER 39, TODOS 18, independents 10, CREO 8, UNE 8, GANA 6, EG 3, PU 2, PRI (formerly FRG) 2, PAN 1, UCN 1, URNG 2, Victoria 1, VIVA 1, Winaq 1 |
| Judicial branch: | highest court(s): Supreme Court of Justice or Corte Suprema de Justicia (consists of 13 magistrates including the court president and organized into 3 chambers); note - the court president also supervises trial judges countrywide; Constitutional Court or Corte de Constitcionalidad (consists of 5 judges and 5 alternates) |
