| Government | Guatemala |
| --- | --- |
| Country name: | conventional long form: Republic of Guatemala |
| Country name: | conventional short form: Guatemala |
| Country name: | local short form: Guatemala |
| Country name: | local long form: Republica de Guatemala |
| Government type: | constitutional democratic republic |
| Capital: | Guatemala |
| Administrative divisions: | 22 departments (departamentos, singular - departamento); Alta Verapaz, Baja Verapaz, Chimaltenango, Chiquimula, El Progreso, Escuintla, Guatemala, Huehuetenango, Izabal, Jalapa, Jutiapa, Peten, Quetzaltenango, Quiche, Retalhuleu, Sacatepequez, San Marcos, Santa Rosa, Solola, Suchitepequez, Totonicapan, Zacapa |
| Independence: | 15 September 1821 (from Spain) |
| National holiday: | Independence Day, 15 September (1821) |
| Constitution: | 31 May 1985, effective 14 January 1986; note - suspended 25 May 1993 by former President SERRANO; reinstated 5 June 1993 following ouster of president; amended November 1993 |
| Legal system: | civil law system; judicial review of legislative acts; has not accepted compulsory ICJ jurisdiction |
| Suffrage: | 18 years of age; universal (active duty members of the armed forces may not vote and are restricted to their barracks on election day) |
| Executive branch: | chief of state: President Oscar Jose Rafael BERGER Perdomo (since 14 January 2004); Vice President Eduardo STEIN Barillas (since 14 January 2004); note - the president is both the chief of state and head of government |
| Executive branch: | head of government: President Oscar Jose Rafael BERGER Perdomo (since 14 January 2004); Vice President Eduardo STEIN Barillas (since 14 January 2004); note - the president is both the chief of state and head of government |
| Executive branch: | cabinet: Council of Ministers appointed by the president |
| Executive branch: | elections: president elected by popular vote for a four-year term; election last held 9 November 2003; runoff held 28 December 2003 (next to be held NA November 2007) |
| Executive branch: | election results: Oscar BERGER Perdomo elected president; percent of vote - Oscar BERGER Perdomo (GANA) 54.1%, Alvaro COLOM (UNE) 45.9% |
| Legislative branch: | unicameral Congress of the Republic or Congreso de la Republica (158 seats; members are elected by popular vote to serve four-year terms) |
| Legislative branch: | elections: last held 9 November 2003 (next to be held NA November 2007) |
| Legislative branch: | note: for the 9 November 2003 election, the number of congressional seats increased from 113 to 158 |
| Legislative branch: | election results: percent of vote by party - NA; seats by party - GANA 49, FRG 41, UNE 33, PAN 17, other 18 |
| Judicial branch: | Constitutional Court or Corte de Constitutcionalidad is Guatemala's highest court (five judges are elected for concurrent five-year terms by Congress, each serving one year as president of the Constitutional Court; one is elected by Congress, one elected by the Supreme Court of Justice, one appointed by the President, one elected by Superior Counsel of Universidad San Carlos de Guatemala, and one by Colegio de Abogados); Supreme Court of Justice or Corte Suprema de Justicia (thirteen members serve concurrent five-year terms and elect a president of the Court each year from among their number; the president of the Supreme Court of Justice also supervises trial judges around the country, who are named to five-year terms) |
| Political parties and leaders: | Authentic Integral Development or DIA [Eduardo SUGER]; Democratic Union or UD [Rodolfo PAIZ Andrade]; Grand National Alliance or GANA [Oscar BERGER Perdomo]; Green Party or LOV [Rodolfo ROSALES Garcis-Salaz]; Guatemalan Christian Democracy or DCG [Vinicio CEREZO Arevalo]; Guatemalan National Revolutionary Unity or URNG [Alba ESTELA Maldonado, secretary general]; Guatemalan Republican Front or FRG [Efrain RIOS Montt]; Movement for Guatemalan Unity or MGU [Jacobo ARBENZ Villanueva]; Movement for Principals and Values or MPV [Francisco BIANCHI]; National Advancement Party or PAN [Leonel LOPEZ Rodas, secretary general]; National Unity for Hope or UNE [Alvarado COLOM Caballeros]; New Nation Alliance or ANN, formed by an alliance of DIA, URNG, and several splinter groups most of whom subsequently defected [led by three co-equal partners - Nineth Varenca MONTENEGRO Cottom, Rodolfo BAUER Paiz, and Jorge Antonio BALSELLS TUT]; Patriot Party or PP [retired General Otto PEREZ Molina]; Progressive Liberator Party or PLP [Acisclo VALLADARES Molina]; Reform Movement or MR [Alfredo SKINNER-KLEE, secretary general]; Unionista Party [leader NA] |
| Political pressure groups and leaders: | Agrarian Owners Group or UNAGRO; Alliance Against Impunity or AAI; Committee for Campesino Unity or CUC; Coordinating Committee of Agricultural, Commercial, Industrial, and Financial Associations or CACIF; Mutual Support Group or GAM |
| International organization participation: | BCIE, CACM, FAO, G-24, G-77, IADB, IAEA, IBRD, ICAO, ICFTU, ICRM, IDA, IFAD, IFC, IFRCS, IHO, ILO, IMF, IMO, Interpol, IOC, IOM, ISO (correspondent), ITU, LAES, LAIA (observer), MIGA, MINUSTAH, NAM, OAS, ONUB, OPANAL, OPCW, PCA, UN, UNCTAD, UNESCO, UNIDO, UNOCI, UPU, WCL, WCO, WFTU, WHO, WIPO, WMO, WToO, WTO |
| Diplomatic representation in the US: | chief of mission: Ambassador Guillermo CASTILLO |
| Diplomatic representation in the US: | chancery: 2220 R Street NW, Washington, DC 20008 |
| Diplomatic representation in the US: | consulate(s) general: Chicago, Denver, Houston, Los Angeles, Miami, New York, and San Francisco |
| Diplomatic representation in the US: | FAX: [1] (202) 745-1908 |
| Diplomatic representation in the US: | telephone: [1] (202) 745-4952 |
| Diplomatic representation from the US: | chief of mission: Ambassador John R. HAMILTON |
| Diplomatic representation from the US: | embassy: 7-01 Avenida Reforma, Zone 10, Guatemala City |
| Diplomatic representation from the US: | mailing address: APO AA 34024 |
| Diplomatic representation from the US: | telephone: [502] 2331-1541/55 |
| Diplomatic representation from the US: | FAX: [502] 2334-8477 |
| Flag description: | three equal vertical bands of light blue (hoist side), white, and light blue with the coat of arms centered in the white band; the coat of arms includes a green and red quetzal (the national bird) and a scroll bearing the inscription LIBERTAD 15 DE SEPTIEMBRE DE 1821 (the original date of independence from Spain) all superimposed on a pair of crossed rifles and a pair of crossed swords and framed by a wreath |
